model,RMSE,MAE,DirAcc,RMSE_skill_vs_M0,DM_stat,DM_p_better_than_M0,DM_p_vs_M1,CW_stat_vs_M1,CW_p_vs_M1
M0_RW,4.1517846708743695,3.01136186770428,,0.0,,,,,
M1_Ridge,4.556461182824052,3.2155477655368707,0.49416342412451364,-0.09747049619133019,2.3202847041466113,0.9894439472375958,,,
M1_XGB,5.221876617822442,3.681566278081681,0.5252918287937743,-0.25774264124413526,3.307495063332826,0.9994618294247687,,,
M2_Ridge,4.450876745637102,3.219138811358103,0.5097276264591439,-0.07203939955290206,2.0287542076326917,0.9782408164877271,0.21901979190898113,2.1718968330506447,0.01493172270691856
M2_XGB,4.866604275613015,3.4880330391642542,0.4785992217898833,-0.1721716469915342,2.8261818496229205,0.9974588598943422,0.0011383626036562528,4.06681855318977,2.3829661035090766e-05
Naive_DirPersist,,,0.5097276264591439,,,,,,
