arm,model,test_weeks,M0_RMSE,M1_RMSE,M2_RMSE,skill_vs_M0,CW_stat,CW_p_vs_M1
all-55,Ridge,257,4.1517846708743695,4.33223697176346,4.411411674849411,-0.06253383172696281,0.7977934159839132,0.2124951913508073
all-55,XGB,257,4.1517846708743695,4.716767766132815,4.586612885684161,-0.1047328436515993,2.6859261534750334,0.0036164536372425005
pca-90,Ridge,257,4.1517846708743695,4.33223697176346,4.411940018901296,-0.06266108882090404,0.886021897820986,0.18780286367001886
pca-90,XGB,257,4.1517846708743695,4.716767766132815,4.534532521977904,-0.09218875289669759,4.558921788404361,2.570845685445633e-06
elastic,Ridge,257,4.1517846708743695,4.33223697176346,4.411411674849411,-0.06253383172696281,0.7977934159839132,0.2124951913508073
elastic,XGB,257,4.1517846708743695,4.716767766132815,4.586612885684161,-0.1047328436515993,2.6859261534750334,0.0036164536372425005
shap-top20,Ridge,257,4.1517846708743695,4.33223697176346,4.375892172631488,-0.053978594634080945,0.6773130053277784,0.24910369052420478
shap-top20,XGB,257,4.1517846708743695,4.716767766132815,4.52126116872206,-0.08899221109409772,3.189459208573852,0.0007126962699816053
