aoi,sum_mean_abs_shap
Ulsan,0.0034144429373554885
Kharg,0.003300467666122131
Yanbu,0.0028277414094191045
Fujairah,0.0018393786303931847
RasTanura,0.00160468730609864
Houston,0.0014733857242390513
Jamnagar,0.0013065445291431388
Jurong,0.0010244192963000387
Rotterdam,0.0009577267919667065
NingboZhoushan,0.0005672139814123511
Basra,0.0005476445076055825
