,RMSE,MAE,DirAcc,RMSE_skill_vs_M0,DM_stat,DM_p_better_than_M0,DM_p_vs_M1,CW_stat_vs_M1,CW_p_vs_M1
M0_RW,4.1517846708743695,3.01136186770428,,0.0,,,,,
M1_Flat_Ridge,4.256348943170461,3.090131492098012,0.4980544747081712,-0.0251853794416727,1.5850618259454587,0.9429066209831216,,,
M1_Flat_XGB,4.368428737773503,3.2651414540476664,0.5525291828793775,-0.0521809496573695,2.120562374879635,0.9825397846770564,,,
M2_Flat_Ridge,4.30226394896789,3.1547516756216374,0.4785992217898833,-0.0362444803915684,1.8697504185805929,0.9686700442313116,0.9154749578771958,0.2665084966796035,0.3949238082804305
M2_Flat_XGB,4.339502172229699,3.1547970306847426,0.4980544747081712,-0.045213689108736,1.839468465990549,0.9664978917777638,0.3651216829140501,2.539982713532297,0.0055428973977599
Naive_DirPersist,,,0.5097276264591439,,,,,,
