arm,model,test_weeks,M0_RMSE,M1_RMSE,M2_RMSE,skill_vs_M0,DM_stat,DM_p_vs_M1,CW_stat,CW_p_vs_M1
all-55,Ridge,257,4.1517846708743695,4.24537486348335,4.413588772342179,-0.06305820802904827,-1.8538913839392237,0.9675475359654796,-0.22310070955207256,0.5882714369355078
all-55,XGB,257,4.1517846708743695,4.496411963407927,4.447099056751978,-0.07112950436695331,0.5481599743755332,0.29202986584130053,,
pca-90,Ridge,257,4.1517846708743695,4.24537486348335,4.416383373102087,-0.06373131633823204,-1.8471302362458069,0.9670589336728954,-0.25200215725908887,0.5994803018237733
pca-90,XGB,257,4.1517846708743695,4.496411963407927,4.4408895120778835,-0.06963387172548807,0.3398243663638109,0.36713371967305997,,
elastic,Ridge,257,4.1517846708743695,4.24537486348335,4.413588772342179,-0.06305820802904827,-1.8538913839392237,0.9675475359654796,-0.22310070955207256,0.5882714369355078
elastic,XGB,257,4.1517846708743695,4.496411963407927,4.447099056751978,-0.07112950436695331,0.5481599743755332,0.29202986584130053,,
shap-top20,Ridge,257,4.1517846708743695,4.24537486348335,4.36552394846185,-0.0514813013032458,-1.1971213613537917,0.883816693957035,-0.09451048689134992,0.5376481738000902
shap-top20,XGB,257,4.1517846708743695,4.496411963407927,4.474957784593746,-0.07783956523239355,0.15146233159206948,0.43986515556640327,,
