week_ending_friday,opt_NDVI_P001,opt_NDVI_P002,opt_NDVI_P003,opt_NDVI_P004,opt_NDVI_P005,opt_NDVI_P006,opt_NDVI_P007,opt_NDVI_P008,opt_NDVI_P009,opt_NDVI_P010,opt_NDVI_P011,opt_NDWI_P001,opt_NDWI_P002,opt_NDWI_P003,opt_NDWI_P004,opt_NDWI_P005,opt_NDWI_P006,opt_NDWI_P007,opt_NDWI_P008,opt_NDWI_P009,opt_NDWI_P010,opt_NDWI_P011,opt_NDBI_P001,opt_NDBI_P002,opt_NDBI_P003,opt_NDBI_P004,opt_NDBI_P005,opt_NDBI_P006,opt_NDBI_P007,opt_NDBI_P008,opt_NDBI_P009,opt_NDBI_P010,opt_NDBI_P011,opt_BSI_P001,opt_BSI_P002,opt_BSI_P003,opt_BSI_P004,opt_BSI_P005,opt_BSI_P006,opt_BSI_P007,opt_BSI_P008,opt_BSI_P009,opt_BSI_P010,opt_BSI_P011,opt_valid_obs_count_P001,opt_valid_obs_count_P002,opt_valid_obs_count_P003,opt_valid_obs_count_P004,opt_valid_obs_count_P005,opt_valid_obs_count_P006,opt_valid_obs_count_P007,opt_valid_obs_count_P008,opt_valid_obs_count_P009,opt_valid_obs_count_P010,opt_valid_obs_count_P011,opt_sensor_flag_P001,opt_sensor_flag_P002,opt_sensor_flag_P003,opt_sensor_flag_P004,opt_sensor_flag_P005,opt_sensor_flag_P006,opt_sensor_flag_P007,opt_sensor_flag_P008,opt_sensor_flag_P009,opt_sensor_flag_P010,opt_sensor_flag_P011,ntl_ntl_avg_rad_mean_P001,ntl_ntl_avg_rad_mean_P002,ntl_ntl_avg_rad_mean_P003,ntl_ntl_avg_rad_mean_P004,ntl_ntl_avg_rad_mean_P005,ntl_ntl_avg_rad_mean_P006,ntl_ntl_avg_rad_mean_P007,ntl_ntl_avg_rad_mean_P008,ntl_ntl_avg_rad_mean_P009,ntl_ntl_avg_rad_mean_P010,ntl_ntl_avg_rad_mean_P011,ntl_ntl_avg_rad_max_P001,ntl_ntl_avg_rad_max_P002,ntl_ntl_avg_rad_max_P003,ntl_ntl_avg_rad_max_P004,ntl_ntl_avg_rad_max_P005,ntl_ntl_avg_rad_max_P006,ntl_ntl_avg_rad_max_P007,ntl_ntl_avg_rad_max_P008,ntl_ntl_avg_rad_max_P009,ntl_ntl_avg_rad_max_P010,ntl_ntl_avg_rad_max_P011,ntl_ntl_avg_rad_stddev_P001,ntl_ntl_avg_rad_stddev_P002,ntl_ntl_avg_rad_stddev_P003,ntl_ntl_avg_rad_stddev_P004,ntl_ntl_avg_rad_stddev_P005,ntl_ntl_avg_rad_stddev_P006,ntl_ntl_avg_rad_stddev_P007,ntl_ntl_avg_rad_stddev_P008,ntl_ntl_avg_rad_stddev_P009,ntl_ntl_avg_rad_stddev_P010,ntl_ntl_avg_rad_stddev_P011,ntl_ntl_cf_cvg_mean_P001,ntl_ntl_cf_cvg_mean_P002,ntl_ntl_cf_cvg_mean_P003,ntl_ntl_cf_cvg_mean_P004,ntl_ntl_cf_cvg_mean_P005,ntl_ntl_cf_cvg_mean_P006,ntl_ntl_cf_cvg_mean_P007,ntl_ntl_cf_cvg_mean_P008,ntl_ntl_cf_cvg_mean_P009,ntl_ntl_cf_cvg_mean_P010,ntl_ntl_cf_cvg_mean_P011
2006-01-06,,0.0193931655867845,,,0.0678352252725765,0.0016429953975602,-0.0050145292678577,-0.0561248857396739,0.0457906910175095,,0.0057827047036605,,-0.035897408251563,,,-0.079698198740005,0.0167377516627311,0.0406863792290139,0.1512311413859393,-0.0411220584773538,,-0.041195000774226,,0.0364425574771197,,,0.0089369969623585,-0.1169740632176399,-0.0564435271843199,-0.0129808651756417,-0.0262688684514382,,0.0318649850464803,,0.0410458931602024,,,0.029964463294055,-0.0660571455955505,-0.0444034913538425,-0.0602869757861079,-0.0138889314394844,,0.0544044910333352,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-13,,0.0193931655867845,,,0.0678352252725765,0.0016429953975602,-0.0050145292678577,-0.0561248857396739,0.0457906910175095,,0.0057827047036605,,-0.035897408251563,,,-0.079698198740005,0.0167377516627311,0.0406863792290139,0.1512311413859393,-0.0411220584773538,,-0.041195000774226,,0.0364425574771197,,,0.0089369969623585,-0.1169740632176399,-0.0564435271843199,-0.0129808651756417,-0.0262688684514382,,0.0318649850464803,,0.0410458931602024,,,0.029964463294055,-0.0660571455955505,-0.0444034913538425,-0.0602869757861079,-0.0138889314394844,,0.0544044910333352,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-20,,0.0193931655867845,,,0.0678352252725765,0.0016429953975602,-0.0050145292678577,-0.0561248857396739,0.0457906910175095,,0.0057827047036605,,-0.035897408251563,,,-0.079698198740005,0.0167377516627311,0.0406863792290139,0.1512311413859393,-0.0411220584773538,,-0.041195000774226,,0.0364425574771197,,,0.0089369969623585,-0.1169740632176399,-0.0564435271843199,-0.0129808651756417,-0.0262688684514382,,0.0318649850464803,,0.0410458931602024,,,0.029964463294055,-0.0660571455955505,-0.0444034913538425,-0.0602869757861079,-0.0138889314394844,,0.0544044910333352,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-27,,0.0193931655867845,,,0.0678352252725765,0.0016429953975602,-0.0050145292678577,-0.0561248857396739,0.0457906910175095,,0.0057827047036605,,-0.035897408251563,,,-0.079698198740005,0.0167377516627311,0.0406863792290139,0.1512311413859393,-0.0411220584773538,,-0.041195000774226,,0.0364425574771197,,,0.0089369969623585,-0.1169740632176399,-0.0564435271843199,-0.0129808651756417,-0.0262688684514382,,0.0318649850464803,,0.0410458931602024,,,0.029964463294055,-0.0660571455955505,-0.0444034913538425,-0.0602869757861079,-0.0138889314394844,,0.0544044910333352,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-03,,0.0130549774636297,-0.0328132461613739,,0.0747306544747377,0.112719575750051,-0.0292969358970512,-0.0561248857396739,0.0451965202361077,0.0014854585619179,0.0007712972694796722,,-0.0285573483758662,0.1142238920954174,,-0.0861013334696382,-0.118984805013052,0.0754380211231679,0.1512311413859393,-0.0337224110813277,0.0206862559908801,-0.0202270344109109,,0.0240503987245013,-0.0068355511727192,,-0.0051511613394028,-0.0335899076101315,-0.0366876987041663,-0.0129808651756417,-0.0185054723967868,0.001613275303547,0.0252415385350641,,0.0342778625674784,-0.0473304955505341,,0.0219906275124096,-0.0033475618633668,-0.0414444217786981,-0.0602869757861079,-0.0116017619743411,-0.010667251157479,0.0441554611602559,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-10,,0.0130549774636297,-0.0328132461613739,,0.0747306544747377,0.112719575750051,-0.0292969358970512,-0.0561248857396739,0.0451965202361077,0.0014854585619179,0.0007712972694796722,,-0.0285573483758662,0.1142238920954174,,-0.0861013334696382,-0.118984805013052,0.0754380211231679,0.1512311413859393,-0.0337224110813277,0.0206862559908801,-0.0202270344109109,,0.0240503987245013,-0.0068355511727192,,-0.0051511613394028,-0.0335899076101315,-0.0366876987041663,-0.0129808651756417,-0.0185054723967868,0.001613275303547,0.0252415385350641,,0.0342778625674784,-0.0473304955505341,,0.0219906275124096,-0.0033475618633668,-0.0414444217786981,-0.0602869757861079,-0.0116017619743411,-0.010667251157479,0.0441554611602559,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-17,,0.0130549774636297,-0.0328132461613739,,0.0747306544747377,0.112719575750051,-0.0292969358970512,-0.0561248857396739,0.0451965202361077,0.0014854585619179,0.0007712972694796722,,-0.0285573483758662,0.1142238920954174,,-0.0861013334696382,-0.118984805013052,0.0754380211231679,0.1512311413859393,-0.0337224110813277,0.0206862559908801,-0.0202270344109109,,0.0240503987245013,-0.0068355511727192,,-0.0051511613394028,-0.0335899076101315,-0.0366876987041663,-0.0129808651756417,-0.0185054723967868,0.001613275303547,0.0252415385350641,,0.0342778625674784,-0.0473304955505341,,0.0219906275124096,-0.0033475618633668,-0.0414444217786981,-0.0602869757861079,-0.0116017619743411,-0.010667251157479,0.0441554611602559,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-24,,0.0130549774636297,-0.0328132461613739,,0.0747306544747377,0.112719575750051,-0.0292969358970512,-0.0561248857396739,0.0451965202361077,0.0014854585619179,0.0007712972694796722,,-0.0285573483758662,0.1142238920954174,,-0.0861013334696382,-0.118984805013052,0.0754380211231679,0.1512311413859393,-0.0337224110813277,0.0206862559908801,-0.0202270344109109,,0.0240503987245013,-0.0068355511727192,,-0.0051511613394028,-0.0335899076101315,-0.0366876987041663,-0.0129808651756417,-0.0185054723967868,0.001613275303547,0.0252415385350641,,0.0342778625674784,-0.0473304955505341,,0.0219906275124096,-0.0033475618633668,-0.0414444217786981,-0.0602869757861079,-0.0116017619743411,-0.010667251157479,0.0441554611602559,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-03,0.0672062686203598,0.0198179875820078,-0.0317355808846378,0.0164345607466733,0.1615235003894198,0.1151117261732328,-0.0349270565711059,-0.0425444159799759,0.0461348616458558,0.002888787493092,0.0019000242860321,-0.0727091406763136,-0.0373201248383995,0.0980280957627194,0.0062570411949817,-0.1575778747189576,-0.1172205334904237,0.0856913028869712,0.1097614649751168,-0.0479511037261219,0.0188742000463234,-0.0302647398975002,-0.013039275007811,0.0348125133474153,-0.0277887996476206,0.0059859074071335,-0.0544237798107145,-0.0229915750581441,-0.0271478392470288,-0.0259914012131293,-0.0047707571416177,0.0027325078989368,0.0271155260187885,0.0043162403394814,0.0423387991379159,-0.0497237222780235,0.0023085749272814,-0.0282399260123634,0.0066734412505944,-0.0377553804001912,-0.0394979244054339,0.0062881640592084,-0.0080782378035012,0.0480724371074074,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-10,0.0672062686203598,0.0198179875820078,-0.0317355808846378,0.0164345607466733,0.1615235003894198,0.1151117261732328,-0.0349270565711059,-0.0425444159799759,0.0461348616458558,0.002888787493092,0.0019000242860321,-0.0727091406763136,-0.0373201248383995,0.0980280957627194,0.0062570411949817,-0.1575778747189576,-0.1172205334904237,0.0856913028869712,0.1097614649751168,-0.0479511037261219,0.0188742000463234,-0.0302647398975002,-0.013039275007811,0.0348125133474153,-0.0277887996476206,0.0059859074071335,-0.0544237798107145,-0.0229915750581441,-0.0271478392470288,-0.0259914012131293,-0.0047707571416177,0.0027325078989368,0.0271155260187885,0.0043162403394814,0.0423387991379159,-0.0497237222780235,0.0023085749272814,-0.0282399260123634,0.0066734412505944,-0.0377553804001912,-0.0394979244054339,0.0062881640592084,-0.0080782378035012,0.0480724371074074,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
