week_ending_friday,ntl_anomaly_rotterdam,ntl_anomaly_fujairah,ntl_anomaly_ras_tanura,ntl_anomaly_jurong,ntl_anomaly_us_gulf,ntl_anomaly_ningbo,ntl_anomaly_jamnagar,ntl_anomaly_basra,ntl_anomaly_ulsan,ntl_anomaly_kharg,ntl_anomaly_yanbu,ntl_valid_obs_count_rotterdam,ntl_valid_obs_count_fujairah,ntl_valid_obs_count_ras_tanura,ntl_valid_obs_count_jurong,ntl_valid_obs_count_us_gulf,ntl_valid_obs_count_ningbo,ntl_valid_obs_count_jamnagar,ntl_valid_obs_count_basra,ntl_valid_obs_count_ulsan,ntl_valid_obs_count_kharg,ntl_valid_obs_count_yanbu,s2_clear_obs_count_rotterdam,s2_clear_obs_count_fujairah,s2_clear_obs_count_ras_tanura,s2_clear_obs_count_jurong,s2_clear_obs_count_us_gulf,s2_clear_obs_count_ningbo,s2_clear_obs_count_jamnagar,s2_clear_obs_count_basra,s2_clear_obs_count_ulsan,s2_clear_obs_count_kharg,s2_clear_obs_count_yanbu,s2_cloud_fraction_rotterdam,s2_cloud_fraction_fujairah,s2_cloud_fraction_ras_tanura,s2_cloud_fraction_jurong,s2_cloud_fraction_us_gulf,s2_cloud_fraction_ningbo,s2_cloud_fraction_jamnagar,s2_cloud_fraction_basra,s2_cloud_fraction_ulsan,s2_cloud_fraction_kharg,s2_cloud_fraction_yanbu
2014-01-03,,,,,,,,,,,,10.707287886676042,13.08697091457011,11.355136079337354,6.10720768416276,8.097148174503253,11.550388105389748,17.84738792058906,10.321482163002884,11.061395759717314,7.995830720658286,12.789094425195398,,,,,,,,,,,,,,,,,,,,,,
2014-01-10,,,,,,,,,,,,10.707287886676042,13.08697091457011,11.355136079337354,6.10720768416276,8.097148174503253,11.550388105389748,17.84738792058906,10.321482163002884,11.061395759717314,7.995830720658286,12.789094425195398,,,,,,,,,,,,,,,,,,,,,,
2014-01-17,,,,,,,,,,,,10.707287886676042,13.08697091457011,11.355136079337354,6.10720768416276,8.097148174503253,11.550388105389748,17.84738792058906,10.321482163002884,11.061395759717314,7.995830720658286,12.789094425195398,,,,,,,,,,,,,,,,,,,,,,
2014-01-24,,,,,,,,,,,,10.707287886676042,13.08697091457011,11.355136079337354,6.10720768416276,8.097148174503253,11.550388105389748,17.84738792058906,10.321482163002884,11.061395759717314,7.995830720658286,12.789094425195398,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,,,,,,,,,,,,10.707287886676042,13.08697091457011,11.355136079337354,6.10720768416276,8.097148174503253,11.550388105389748,17.84738792058906,10.321482163002884,11.061395759717314,7.995830720658286,12.789094425195398,,,,,,,,,,,,,,,,,,,,,,
2014-02-07,,,,,,,,,,,,14.080392872961236,12.23988630656134,12.08203076576323,5.512315333030805,6.278778258251685,3.3032469662184325,11.263840991704724,9.795726130625749,6.235629468321147,8.865725003575237,13.133839052409837,,,,,,,,,,,,,,,,,,,,,,
2014-02-14,,,,,,,,,,,,14.080392872961236,12.23988630656134,12.08203076576323,5.512315333030805,6.278778258251685,3.3032469662184325,11.263840991704724,9.795726130625749,6.235629468321147,8.865725003575237,13.133839052409837,,,,,,,,,,,,,,,,,,,,,,
2014-02-21,,,,,,,,,,,,14.080392872961236,12.23988630656134,12.08203076576323,5.512315333030805,6.278778258251685,3.3032469662184325,11.263840991704724,9.795726130625749,6.235629468321147,8.865725003575237,13.133839052409837,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,,,,,,,,,,,,14.080392872961236,12.23988630656134,12.08203076576323,5.512315333030805,6.278778258251685,3.3032469662184325,11.263840991704724,9.795726130625749,6.235629468321147,8.865725003575237,13.133839052409837,,,,,,,,,,,,,,,,,,,,,,
2014-03-07,,,,,,,,,,,,21.698926903561176,13.14756175517099,11.74935482053305,9.394393183078709,8.416870107832938,6.196884224335848,14.35053360052194,7.192597947403588,8.180705070260501,9.779457223633989,10.411474220989255,,,,,,,,,,,,,,,,,,,,,,
2014-03-14,,,,,,,,,,,,21.698926903561176,13.14756175517099,11.74935482053305,9.394393183078709,8.416870107832938,6.196884224335848,14.35053360052194,7.192597947403588,8.180705070260501,9.779457223633989,10.411474220989255,,,,,,,,,,,,,,,,,,,,,,
2014-03-21,,,,,,,,,,,,21.698926903561176,13.14756175517099,11.74935482053305,9.394393183078709,8.416870107832938,6.196884224335848,14.35053360052194,7.192597947403588,8.180705070260501,9.779457223633989,10.411474220989255,,,,,,,,,,,,,,,,,,,,,,
2014-03-28,,,,,,,,,,,,21.698926903561176,13.14756175517099,11.74935482053305,9.394393183078709,8.416870107832938,6.196884224335848,14.35053360052194,7.192597947403588,8.180705070260501,9.779457223633989,10.411474220989255,,,,,,,,,,,,,,,,,,,,,,
2014-04-04,,,,,,,,,,,,6.1436985694637665,13.996484178804616,6.7646588155744665,2.203083245096557,8.106223657561992,5.835027877992785,13.271833348867554,8.00906910261887,10.245377598816663,8.648790468961419,15.612422732034108,,,,,,,,,,,,,,,,,,,,,,
