date,emodnet_mean_rotterdam,emodnet_mean_suez,emodnet_max_rotterdam,emodnet_max_suez,emodnet_std_rotterdam,emodnet_std_suez,emodnet_sum_rotterdam,emodnet_sum_suez,emodnet_n_valid_pixels_rotterdam,emodnet_n_valid_pixels_suez
2017-01-01,53.5975227355957,0.6580056548118591,2394.37060546875,2.641397714614868,217.59600830078125,0.49236202239990234,10129.931640625,98.0428466796875,189,149
2017-02-01,45.85091781616211,0.8740065097808838,2349.568115234375,2.4942827224731445,203.7883758544922,0.7333629131317139,9491.1396484375,126.73094177246094,207,145
2017-03-01,61.63837432861328,1.3903319835662842,2640.25390625,4.384538173675537,246.2731170654297,1.0930086374282837,10909.9921875,209.94012451171875,177,151
2017-04-01,60.30531692504883,1.2782704830169678,2355.073486328125,4.483165740966797,232.61053466796875,1.0035617351531982,9890.072265625,190.46231079101562,164,149
2017-05-01,67.14844512939453,1.481537103652954,2751.491943359375,4.4034318923950195,276.1717224121094,1.1263504028320312,11079.4931640625,229.63824462890625,165,155
2017-06-01,51.22883605957031,3.1785271167755127,2182.328125,11.348085403442383,217.40463256835938,2.82262921333313,9733.478515625,486.31463623046875,190,153
2017-07-01,54.731510162353516,3.4567337036132812,2235.268310546875,12.171907424926758,224.68060302734375,2.9351255893707275,10453.71875,521.966796875,191,151
2017-08-01,46.643672943115234,3.074242353439331,2279.90673828125,11.340343475341797,202.94967651367188,2.703138828277588,8862.2978515625,467.28485107421875,190,152
2017-09-01,50.525814056396484,3.057676076889038,2403.241455078125,9.613595008850098,219.60987854003906,2.6847493648529053,9903.0595703125,464.7667541503906,196,152
2017-10-01,68.14745330810547,1.3202041387557983,2638.35986328125,4.354586601257324,261.4991149902344,1.038696050643921,10017.67578125,200.6710205078125,147,152
2017-11-01,55.7967529296875,1.0824902057647705,2219.162109375,3.6258480548858643,223.60830688476562,0.8770754933357239,9485.4482421875,166.7034912109375,170,154
2017-12-01,44.74653625488281,1.5590360164642334,2246.036865234375,5.192133903503418,196.53555297851562,1.2521055936813354,9575.7587890625,235.41444396972656,214,151
2018-01-01,45.715267181396484,0.2986319959163666,2385.853515625,1.1999934911727905,201.89816284179688,0.21953843533992767,9371.6298828125,35.537208557128906,205,119
2018-02-01,63.22586441040039,1.0950125455856323,2040.163818359375,3.2971620559692383,223.58633422851562,0.9026527404785156,9483.8798828125,165.34689331054688,150,151
2018-03-01,45.60245895385742,1.081477165222168,2508.24951171875,4.68548059463501,215.07635498046875,0.9945847988128662,10488.5654296875,164.384521484375,230,152
2018-04-01,52.263668060302734,1.8515671491622925,2118.695068359375,6.580683708190918,216.76702880859375,1.5060904026031494,9616.5146484375,279.5866394042969,184,151
2018-05-01,35.27666091918945,1.1874440908432007,1792.629638671875,5.218968391418457,170.41387939453125,1.0470539331436157,9277.76171875,185.24127197265625,263,156
2018-06-01,47.765892028808594,2.2033679485321045,1894.29443359375,8.93449592590332,193.796142578125,1.8215967416763306,8693.392578125,337.11529541015625,182,153
2018-07-01,55.961483001708984,2.88883900642395,2185.934814453125,8.47428035736084,225.1791534423828,2.3397023677825928,8394.22265625,447.7700500488281,150,155
2018-08-01,49.259395599365234,3.481318473815918,2205.071533203125,9.952363014221191,205.46267700195312,2.678816318511963,8571.134765625,525.6790771484375,174,151
2018-09-01,47.21910858154297,3.6713693141937256,2183.1572265625,11.005195617675781,201.01568603515625,3.1343564987182617,8216.125,565.390869140625,174,154
2018-10-01,61.79166793823242,1.1335983276367188,2936.84619140625,3.8590314388275146,268.5323181152344,0.8643750548362732,8774.4169921875,176.84133911132812,142,156
2018-11-01,54.25967788696289,0.7473086714744568,2342.141357421875,2.7113397121429443,224.67356872558594,0.6161990165710449,9007.1064453125,114.33822631835938,166,153
2018-12-01,57.60871887207031,0.3773023784160614,2490.551025390625,1.2837375402450562,241.01028442382812,0.2958964407444,8986.9599609375,49.426612854003906,156,131
2019-01-01,76.42037200927734,0.3839779496192932,2281.8623046875,1.5693180561065674,268.4548645019531,0.33821579813957214,10316.75,57.5966911315918,135,150
2019-02-01,52.85029983520508,0.457302063703537,2286.00048828125,1.477828025817871,228.49832153320312,0.3293975591659546,10675.7607421875,67.22340393066406,202,147
2019-03-01,62.5292854309082,0.7820588946342468,2267.160400390625,2.9623124599456787,241.90858459472656,0.5645771026611328,11005.154296875,112.6164779663086,176,144
2019-04-01,46.56394577026367,0.9273402690887451,2493.096435546875,2.658266305923462,216.95327758789062,0.7451542019844055,9685.30078125,141.883056640625,208,153
2019-05-01,59.636268615722656,2.095935821533203,2727.484375,8.546394348144531,250.83421325683594,1.91713285446167,10436.3466796875,326.9659729003906,175,156
2019-06-01,66.4074935913086,2.0510141849517822,2538.005126953125,7.649540424346924,268.0481262207031,1.7058887481689453,10957.236328125,326.11126708984375,165,159
2019-07-01,59.875404357910156,4.122957229614258,2587.732666015625,13.34316349029541,250.5049591064453,3.3834903240203857,10597.9462890625,634.9354248046875,177,154
2019-08-01,49.923133850097656,4.1625165939331055,2231.845703125,13.22325611114502,210.87135314941406,3.585529327392578,9185.8564453125,666.002685546875,184,160
2019-09-01,58.86868667602539,2.7747504711151123,1946.234130859375,9.188552856445312,215.3710479736328,2.34794020652771,9242.3837890625,432.861083984375,157,156
2019-10-01,65.45597839355469,2.2595529556274414,1340.033447265625,7.439881324768066,213.02957153320312,1.9080818891525269,10276.5888671875,363.78802490234375,157,161
2019-11-01,60.01698684692383,1.1663918495178223,1893.1019287109375,3.6329851150512695,217.414794921875,0.8975275754928589,9422.6669921875,178.4579620361328,157,153
2019-12-01,60.64822006225586,0.2939154803752899,2301.744140625,1.7020772695541382,231.09002685546875,0.27066853642463684,10006.9560546875,43.79340744018555,165,149
2020-01-01,64.35697937011719,0.21519175171852112,2210.011474609375,1.6494224071502686,229.61953735351562,0.25658586621284485,9460.4755859375,23.455900192260742,147,109
2020-02-01,53.01117706298828,0.21626819670200348,2234.0859375,4.114444255828857,209.72805786132812,0.4350087642669678,8428.77734375,21.843088150024414,159,101
2020-03-01,65.01509857177734,0.5383234024047852,2839.26904296875,3.382208824157715,264.2166442871094,0.5088087916374207,10467.4306640625,79.67185974121094,161,148
2020-04-01,55.06060791015625,0.5513920187950134,2121.5224609375,3.3235464096069336,209.81170654296875,0.6077451109886169,8644.515625,76.64349365234375,157,139
2020-05-01,62.834510803222656,1.0928610563278198,2806.357421875,9.988163948059082,266.3047790527344,1.4609110355377197,9990.6875,169.39346313476562,159,155
2020-06-01,59.468109130859375,1.4806398153305054,2226.76806640625,12.310302734375,227.4239501953125,1.6460342407226562,8444.4716796875,217.654052734375,142,147
2020-07-01,46.89768600463867,1.927976369857788,2195.4072265625,9.36457347869873,209.52114868164062,2.026871919631958,8722.9697265625,294.9803771972656,186,153
2020-08-01,63.44835662841797,1.905868649482727,2461.716796875,15.965127944946289,247.14187622070312,2.145799160003662,9707.5986328125,303.0331115722656,153,159
2020-09-01,59.44622802734375,2.4385569095611572,2234.81396484375,10.9291353225708,227.06153869628906,2.362516164779663,9570.8427734375,375.5377502441406,161,154
2020-10-01,80.68315124511719,0.9516977071762085,2588.63916015625,7.112201690673828,277.23272705078125,1.2874873876571655,10811.5419921875,148.46484375,134,156
