date,site,n_tanks,avg_shadow_ratio,fill_level
2023-01-01,fujairah,0,,
2023-02-01,fujairah,0,,
2023-03-01,fujairah,2,0.22349070042735902,0.776509299572641
2023-04-01,fujairah,1,0.16205533596837945,0.8379446640316206
2023-05-01,fujairah,2,0.20855319917337134,0.7914468008266287
2023-06-01,fujairah,0,,
2023-07-01,fujairah,0,,
2023-08-01,fujairah,1,0.9390862944162437,0.060913705583756306
2023-09-01,fujairah,2,0.9612816407181548,0.038718359281845194
2023-10-01,fujairah,2,0.9646373454161414,0.035362654583858566
2023-11-01,fujairah,2,0.9477736517562089,0.05222634824379113
2023-12-01,fujairah,2,0.9679930501141281,0.03200694988587194
2024-01-01,fujairah,0,,
2024-02-01,fujairah,1,0.36363636363636365,0.6363636363636364
2024-03-01,fujairah,1,0.2766798418972332,0.7233201581027668
2024-04-01,fujairah,2,0.1659075861238739,0.8340924138761261
2024-05-01,fujairah,1,0.24110671936758893,0.7588932806324111
2024-06-01,fujairah,0,,
2024-07-01,fujairah,0,,
2024-08-01,fujairah,1,0.934010152284264,0.06598984771573602
2024-09-01,fujairah,3,0.9326891353112309,0.06731086468876912
2024-10-01,fujairah,2,0.9398942804537626,0.060105719546237446
2024-11-01,fujairah,1,0.9390862944162437,0.060913705583756306
2024-12-01,fujairah,2,0.9537981222766273,0.0462018777233727
