date,P_t,P_next_actual,P_hat_M0,r_hat_intact,P_hat_intact,r_hat_gfw,P_hat_gfw,r_hat_portwatch,P_hat_portwatch,r_hat_shipping,P_hat_shipping
2021-01-22,55.22,55.25,55.22,-0.004333707518597796,54.98121046654709,-0.004542409887701104,54.96973695498272,-0.004333817577192534,54.98120441539266,-0.004734322607682584,54.95918857546351
2021-01-29,55.25,59.48,55.25,-0.004744747502115287,54.98847362944184,-0.005033588766341024,54.97259298280431,-0.004739307720752428,54.98877275552945,-0.00528512497825534,54.95876712393129
2021-02-05,59.48,62.47,59.48,-0.006907226283157042,59.0705738081558,-0.007233107977936359,59.051326925725284,-0.006731276269304143,59.08096819085472,-0.007275770418017857,59.04880770576699
2021-02-12,62.47,62.84,62.47,-0.0075830040972396096,61.998081276205276,-0.007888132830660366,61.97916676601797,-0.007465567968175879,62.00536251841181,-0.008022418750154525,61.97084439542041
2021-02-19,62.84,65.86,62.84,-0.008265201996015215,62.32275521744122,-0.008540686477014003,62.30558863023848,-0.008047913252283101,62.3362987220006,-0.008567596104133934,62.30391203263936
2021-02-26,65.86,69.95,65.86,-0.009166703973774115,65.25903949794137,-0.009409049992321283,65.24322614577369,-0.008917213167765281,65.27532305952006,-0.00942002457831459,65.24251013230686
2021-03-05,69.95,68.87,69.95,-0.010587389029109384,69.21331878410128,-0.010929886564628677,69.18961745204821,-0.010395984503185574,69.22656779449058,-0.010900351167975275,69.19166102502267
2021-03-12,68.87,64.0,68.87,-0.012891097043723154,67.98788805769914,-0.01336504664027538,67.95567286037668,-0.012468796802996507,68.01660542244063,-0.012992484464587006,67.98099529050484
2021-03-19,64.0,63.77,64.0,-0.009756927769307921,63.37859306375872,-0.010423227313155148,63.33637800161079,-0.009599104947280113,63.38859644153209,-0.01038020101815662,63.33910318992178
2021-03-26,63.77,63.85,63.77,-0.007018140087303115,63.324020012182146,-0.007470558493963497,63.295377539624354,-0.006999517331095162,63.32519929094962,-0.007652347627468359,63.28387217359351
