period_id,label,kind,n_weeks,node_id,mean_shap_abs,mean_shap_signed,share_shipping,mean_node_attention
year_2023,2023,calendar,52,P005,3.822358e-05,3.3623244e-06,0.032943998,0.046189128349606756
year_2023,2023,calendar,52,P002,3.6968147e-05,7.70893e-06,0.03186197,0.03585365260593016
year_2023,2023,calendar,52,P010,2.9685256e-05,2.2759566e-06,0.025585018,0.03504159294355369
year_2023,2023,calendar,52,P007,2.6744876e-05,3.169976e-06,0.023050774,0.040973276365548324
year_2023,2023,calendar,52,P003,2.530289e-05,5.5059772e-06,0.021807961,0.04636667905232077
year_2024,2024,calendar,52,suez,0.00015006386,1.8247676e-05,0.13092238,0.11569301784038541
year_2024,2024,calendar,52,mandeb,0.00014509632,2.4604633e-05,0.12658848,0.10487900402110353
year_2024,2024,calendar,52,cape,0.00014419433,-6.502754e-05,0.12580155,0.08273760673518361
year_2024,2024,calendar,52,hormuz,9.519898e-05,-1.1211427e-05,0.083055824,0.151734417447677
year_2024,2024,calendar,52,P004,8.937459e-05,-2.0021329e-05,0.077974364,0.033561019334368926
year_2024,2024,calendar,52,P001,7.513626e-05,8.54481e-06,0.06555221,0.03920277258237963
year_2024,2024,calendar,52,panama,7.303017e-05,1.3749835e-05,0.063714765,0.10539230661323432
year_2024,2024,calendar,52,P011,7.122362e-05,5.4823436e-06,0.062138654,0.037054403183551896
year_2024,2024,calendar,52,malacca,6.1985884e-05,-5.7235025e-07,0.054079242,0.06707086313802459
year_2024,2024,calendar,52,P006,3.7484635e-05,-1.0521303e-06,0.03270326,0.034714915252362255
year_2024,2024,calendar,52,P008,3.6714533e-05,1.2416465e-05,0.03203139,0.02752976531449415
year_2024,2024,calendar,52,P005,3.462112e-05,-1.9918575e-06,0.030205004,0.03905320124557381
year_2024,2024,calendar,52,P002,3.45946e-05,1.8336767e-05,0.030181866,0.02778530368008288
year_2024,2024,calendar,52,P003,3.0519834e-05,1.1240601e-05,0.026626859,0.037012301349582534
year_2024,2024,calendar,52,P009,2.9785324e-05,-3.8817957e-06,0.02598604,0.03729778474483348
year_2024,2024,calendar,52,P010,2.1369786e-05,-1.5102806e-07,0.018643951,0.02745106207350121
year_2024,2024,calendar,52,P007,1.581094e-05,1.3034398e-06,0.013794167,0.031830259634611655
year_2025,2025,calendar,51,hormuz,5.7817728e-05,3.3299403e-07,0.13708222,0.18742501648033363
year_2025,2025,calendar,51,suez,5.4444048e-05,6.7303586e-06,0.12908344,0.13882849022161722
year_2025,2025,calendar,51,P004,3.979092e-05,2.4927633e-06,0.094341785,0.02830067392000376
year_2025,2025,calendar,51,mandeb,3.8634807e-05,1.9566035e-06,0.091600716,0.12956319763964294
year_2025,2025,calendar,51,cape,2.9219984e-05,-1.0174299e-05,0.069278754,0.06962140875996323
year_2025,2025,calendar,51,P002,2.4436882e-05,1.0680137e-05,0.057938322,0.02290769008116098
year_2025,2025,calendar,51,malacca,2.3352284e-05,1.1435001e-06,0.055366807,0.052247119154415836
year_2025,2025,calendar,51,P008,2.1600425e-05,8.710077e-06,0.051213257,0.0231975249069578
year_2025,2025,calendar,51,P011,2.0887748e-05,2.4049011e-06,0.049523547,0.02779056503455716
year_2025,2025,calendar,51,P001,2.0439744e-05,-2.112879e-06,0.048461355,0.03428081687831991
year_2025,2025,calendar,51,P006,1.9780788e-05,3.3400481e-06,0.046899013,0.029930542195763615
year_2025,2025,calendar,51,panama,1.6527052e-05,-2.6063128e-07,0.039184608,0.11655990158518151
year_2025,2025,calendar,51,P003,1.3073676e-05,9.624755e-07,0.03099687,0.03278210335502433
year_2025,2025,calendar,51,P009,1.300446e-05,2.346374e-07,0.030832762,0.029548802212172806
year_2025,2025,calendar,51,P010,1.2059093e-05,-2.1249207e-06,0.028591357,0.023059381245105825
year_2025,2025,calendar,51,P005,1.01531705e-05,-3.3392774e-07,0.024072533,0.029065616976688847
year_2025,2025,calendar,51,P007,6.5512572e-06,-6.059289e-08,0.015532622,0.024891146759995594
event_russia_ukraine,Russia–Ukraine,event,16,hormuz,0.00014806981,1.1109616e-05,0.16339935,0.09664963046088809
event_russia_ukraine,Russia–Ukraine,event,16,P004,0.0001003813,-1.181538e-05,0.11077369,0.0460628997534513
event_russia_ukraine,Russia–Ukraine,event,16,P011,8.0215694e-05,3.344001e-06,0.088520356,0.0554446714231744
event_russia_ukraine,Russia–Ukraine,event,16,P006,5.654777e-05,1.9173929e-06,0.06240211,0.05029320879839356
event_russia_ukraine,Russia–Ukraine,event,16,suez,5.500779e-05,-3.0000228e-07,0.060702696,0.05987415276467796
event_russia_ukraine,Russia–Ukraine,event,16,malacca,5.3385258e-05,-4.1917037e-06,0.058912188,0.05346844275481994
event_russia_ukraine,Russia–Ukraine,event,16,P008,4.614603e-05,3.6761007e-06,0.050923485,0.04795681010000403
event_russia_ukraine,Russia–Ukraine,event,16,P005,4.53754e-05,-7.3754204e-06,0.050073076,0.056430553784593884
event_russia_ukraine,Russia–Ukraine,event,16,cape,4.427091e-05,3.5294945e-06,0.04885424,0.06185936671681698
event_russia_ukraine,Russia–Ukraine,event,16,P001,4.3989527e-05,1.2523353e-06,0.04854372,0.06001649680547412
event_russia_ukraine,Russia–Ukraine,event,16,P009,4.3027394e-05,7.7426275e-06,0.04748198,0.06210932182148095
event_russia_ukraine,Russia–Ukraine,event,16,P007,3.7538695e-05,1.1267972e-05,0.04142504,0.06583412876352665
event_russia_ukraine,Russia–Ukraine,event,16,P002,3.6270616e-05,4.4421904e-06,0.04002568,0.051841626642271835
event_russia_ukraine,Russia–Ukraine,event,16,mandeb,3.3069107e-05,-3.0744666e-06,0.036492724,0.05581419891677792
event_russia_ukraine,Russia–Ukraine,event,16,panama,3.0858213e-05,-7.925898e-06,0.034052934,0.059847070137038785
event_russia_ukraine,Russia–Ukraine,event,16,P003,2.8265558e-05,-2.3034133e-06,0.031191867,0.06353478296659884
event_russia_ukraine,Russia–Ukraine,event,16,P010,2.3764536e-05,-3.1424754e-06,0.026224857,0.052962654619477634
