date,P_next_actual,P_hat_M0,P_hat_intact,P_hat_hormuz,P_hat_suez,P_hat_malacca,P_hat_mandeb,P_hat_panama,P_hat_cape,P_hat_joint4
2021-01-22,55.25,55.22,54.98121046654709,54.98445345207383,54.979760423976195,54.9830545124846,54.98234396202365,54.97870749476787,54.97997700373814,54.98256237066059
2021-01-29,59.48,55.25,54.98847362944184,54.987320198608515,54.98698133040017,54.990972018847756,54.9893830505507,54.98717469038774,54.98647996008164,54.98454734114845
2021-02-05,62.47,59.48,59.0705738081558,59.072318684383156,59.07013328967893,59.072943782888565,59.07186600279774,59.068030534208106,59.0664290145101,59.06893591311318
2021-02-12,62.84,62.47,61.998081276205276,61.99963893752987,61.99620072496194,62.00116311578918,62.00097406434142,61.998293883949835,61.991598656086246,61.98892734375069
2021-02-19,65.86,62.84,62.32275521744122,62.32502710089485,62.3228158254128,62.32568838102178,62.32353176856537,62.320539599879055,62.3215056643685,62.32228887161901
2021-02-26,69.95,65.86,65.25903949794137,65.25760850541671,65.25714570903135,65.26209378153627,65.26235753855617,65.25920316080679,65.25766914171955,65.25661600115205
2021-03-05,68.87,69.95,69.21331878410128,69.20879529021045,69.21307077805517,69.21695048029241,69.21591449251237,69.21374341014516,69.21240668567707,69.20836440947775
2021-03-12,64.0,68.87,67.98788805769914,67.99216139928501,67.98829514786613,67.99231629599227,67.99094407393065,67.99005127348238,67.98785084889624,67.98885786530639
2021-03-19,63.77,64.0,63.37859306375872,63.37748014167864,63.3778938927076,63.38064228961497,63.38135845366192,63.37931987745238,63.37682424415453,63.37220510046261
2021-03-26,63.85,63.77,63.324020012182146,63.328437745676695,63.32312923615994,63.325315677604955,63.323757424275435,63.32349891240064,63.32319736732507,63.32251099393498
2021-04-02,61.89,63.85,63.244153360475025,63.24603372927428,63.24479312690037,63.24700733162344,63.24729337485578,63.2446185027351,63.240906626611284,63.23908931649215
2021-04-09,65.98,61.89,61.40747018898389,61.4072106735953,61.40129740285762,61.40864199199054,61.408807853650885,61.406392581316,61.40743192821444,61.40114083027173
2021-04-16,65.75,65.98,65.33269126336036,65.33233142880627,65.33009227140134,65.33619144343724,65.3331673654772,65.33288957005963,65.32911599152264,65.32279127091128
