date,gate_finance,gate_shipping
2021-01-22,0.8026409149169922,0.1973591297864914
2021-01-29,0.7909008860588074,0.20909906923770905
2021-02-05,0.760696291923523,0.23930369317531586
2021-02-12,0.7705050110816956,0.2294950634241104
2021-02-19,0.7319342494010925,0.26806575059890747
2021-02-26,0.7875866889953613,0.2124132513999939
2021-03-05,0.7596024870872498,0.24039752781391144
2021-03-12,0.7683849930763245,0.23161499202251434
2021-03-19,0.7581217288970947,0.24187825620174408
2021-03-26,0.7574573755264282,0.24254260957241058
2021-04-02,0.7314072847366333,0.2685926854610443
2021-04-09,0.7194321751594543,0.2805677652359009
2021-04-16,0.7234665751457214,0.27653342485427856
2021-04-23,0.7106758952140808,0.2893240451812744
2021-04-30,0.724387526512146,0.2756125032901764
2021-05-07,0.7401453256607056,0.25985464453697205
2021-05-14,0.7030985355377197,0.29690149426460266
2021-05-21,0.6986011266708374,0.3013988733291626
2021-05-28,0.7155463099479675,0.2844536304473877
2021-06-04,0.7313669323921204,0.2686331272125244
2021-06-11,0.7222517132759094,0.2777482569217682
2021-06-18,0.6963856816291809,0.3036143481731415
2021-06-25,0.7118790149688721,0.28812095522880554
2021-07-02,0.7074663043022156,0.29253366589546204
2021-07-09,0.7084038257598877,0.2915961742401123
2021-07-16,0.7095204591751099,0.29047954082489014
2021-07-23,0.5999510288238525,0.40004900097846985
2021-07-30,0.6156383752822876,0.38436159491539
2021-08-06,0.5986153483390808,0.4013845920562744
2021-08-13,0.6154747605323792,0.384525328874588
2021-08-20,0.6034481525421143,0.39655178785324097
2021-08-27,0.6122260093688965,0.3877740204334259
2021-09-03,0.6017492413520813,0.3982507884502411
2021-09-10,0.6107497811317444,0.3892502188682556
2021-09-17,0.6156452894210815,0.38435474038124084
2021-09-24,0.6287735104560852,0.37122654914855957
2021-10-01,0.6198903322219849,0.3801096975803375
2021-10-08,0.598446249961853,0.4015536904335022
2021-10-15,0.6339037418365479,0.36609625816345215
2021-10-22,0.5759280323982239,0.42407193779945374
2021-10-29,0.5971863865852356,0.40281355381011963
2021-11-05,0.5909905433654785,0.4090094268321991
2021-11-12,0.5769580602645874,0.4230419099330902
2021-11-19,0.5885549783706665,0.4114449620246887
2021-11-26,0.5953938364982605,0.4046061635017395
2021-12-03,0.5724186301231384,0.4275813400745392
2021-12-10,0.5881802439689636,0.41181981563568115
2021-12-17,0.5750886797904968,0.4249113202095032
2021-12-24,0.5827797651290894,0.41722020506858826
2021-12-31,0.5771964192390442,0.4228035807609558
2022-01-07,0.5752286911010742,0.42477136850357056
2022-01-14,0.5941483378410339,0.4058516323566437
2022-01-21,0.5953619480133057,0.4046380817890167
2022-01-28,0.5787235498428345,0.4212764799594879
2022-02-04,0.5956181287765503,0.4043819010257721
2022-02-11,0.5868732929229736,0.41312676668167114
2022-02-18,0.5910002589225769,0.4089997708797455
2022-02-25,0.5874335765838623,0.4125663936138153
2022-03-04,0.6099033951759338,0.390096515417099
2022-03-11,0.5981757640838623,0.4018242657184601
2022-03-18,0.593696653842926,0.40630337595939636
2022-03-25,0.5940442681312561,0.4059557020664215
2022-04-01,0.5908885598182678,0.4091114401817322
2022-04-08,0.5810375213623047,0.4189625084400177
2022-04-15,0.5907045602798462,0.4092954099178314
2022-04-22,0.6154705286026001,0.3845294713973999
2022-04-29,0.6316944360733032,0.3683055341243744
