date,f_x,e_f_bg,sum_phi,residual,abs_residual,rel_residual,checkpoint_week
2021-01-22,-0.004333707503974438,-0.006886398885399103,0.002558708656579256,-6.017275154590607e-06,6.017275154590607e-06,0.0023572185914015366,2021-01-22
2021-01-29,-0.004744747653603554,-0.006880774628371,0.0021376460790634155,-1.6191042959690094e-06,1.6191042959690094e-06,0.0007579945080984769,2021-01-22
2021-02-05,-0.006907226052135229,-0.006871511228382587,-2.3226206394610927e-05,-1.2488617358030751e-05,1.2488617358030751e-05,0.3495781377257957,2021-01-22
2021-02-12,-0.007583003956824541,-0.006791801191866398,-0.000756360765080899,-3.4841999877244234e-05,3.4841999877244234e-05,0.04403619534511358,2021-01-22
2021-02-19,-0.008265201933681965,-0.006820217706263065,-0.0014550957130268216,1.0111485607922077e-05,1.0111485607922077e-05,0.006997595849212198,2021-01-22
2021-02-26,-0.009166703559458256,-0.006789613980799913,-0.0023969828616827726,1.9893283024430275e-05,1.9893283024430275e-05,0.008368720941702507,2021-01-22
2021-03-05,-0.010587388649582863,-0.0067878360860049725,-0.003774693002924323,-2.4859560653567314e-05,2.4859560653567314e-05,0.006542742812519475,2021-01-22
2021-03-12,-0.012891096994280815,-0.006804962642490864,-0.0061144400388002396,2.830568701028824e-05,2.830568701028824e-05,0.004650840560816383,2021-01-22
2021-03-19,-0.009756927378475666,-0.006841973401606083,-0.0029162191785871983,1.2652017176151276e-06,1.2652017176151276e-06,0.0004340368277805765,2021-01-22
2021-03-26,-0.00701814005151391,-0.006823410280048847,-0.00020552915520966053,1.0799383744597435e-05,1.0799383744597435e-05,0.05545546070713592,2021-01-22
2021-04-02,-0.0095338961109519,-0.006837533321231604,-0.0026917080394923687,-4.654750227928162e-06,4.654750227928162e-06,0.00172630069761645,2021-01-22
2021-04-09,-0.007827123627066612,-0.00676753930747509,-0.0010649473406374454,5.363021045923233e-06,5.363021045923233e-06,0.0050613908991043845,2021-01-22
2021-04-16,-0.009859122335910797,-0.006822563707828522,-0.0030494644306600094,1.2905802577733994e-05,1.2905802577733994e-05,0.004250127086995748,2021-01-22
2021-04-23,-0.00420381361618638,-0.001869840081781149,-0.0023282335605472326,-5.739973857998848e-06,5.739973857998848e-06,0.0024593034926707674,2021-04-23
2021-04-30,-0.00014711788389831781,-0.0018796991789713502,0.0017260841559618711,6.497139111161232e-06,6.497139111161232e-06,0.0037499548391113,2021-04-23
2021-05-07,-0.006595102604478598,-0.0018049079226329923,-0.004764149896800518,-2.6044785045087337e-05,2.6044785045087337e-05,0.00543709231127314,2021-04-23
2021-05-14,-0.001653456361964345,-0.0018202995415776968,0.00014686780923511833,1.9975370378233492e-05,1.9975370378233492e-05,0.11971824824988253,2021-04-23
2021-05-21,-0.005363822914659977,-0.0017998253460973501,-0.003503536805510521,-6.0460763052105904e-05,6.0460763052105904e-05,0.01696426337177782,2021-04-23
2021-05-28,-0.003038614522665739,-0.0018656342290341854,-0.0011795792961493134,6.5990025177598e-06,6.5990025177598e-06,0.0056257946494420044,2021-04-23
2021-06-04,-0.004987303167581558,-0.0018449178896844387,-0.0031126062385737896,-2.9779039323329926e-05,2.9779039323329926e-05,0.009476541520027347,2021-04-23
2021-06-11,-0.003466981928795576,-0.0018633748404681683,-0.001634760177694261,3.115308936685324e-05,3.115308936685324e-05,0.019426763155377877,2021-04-23
2021-06-18,0.0009638783521950245,-0.0018406177405267954,0.0027830428443849087,2.14532483369112e-05,2.14532483369112e-05,0.007649563818950547,2021-04-23
2021-06-25,-0.0020147368777543306,-0.0018616486340761185,-0.0001285350590478629,-2.455318463034928e-05,2.455318463034928e-05,0.16037535141132067,2021-04-23
2021-07-02,-0.0015903175808489323,-0.0018560917815193534,0.0002746905665844679,-8.916365914046764e-06,8.916365914046764e-06,0.03354738878968685,2021-04-23
2021-07-09,-0.003958669025450945,-0.0018117462750524282,-0.0021571898832917213,1.0267132893204689e-05,1.0267132893204689e-05,0.00478223311433434,2021-04-23
2021-07-16,-0.005467192269861698,-0.0018877428956329823,-0.003550361841917038,-2.9087532311677933e-05,2.9087532311677933e-05,0.008126236191169391,2021-04-23
2021-07-23,0.005631796084344387,-0.0005050917970947921,0.0061251455917954445,1.1742289643734694e-05,1.1742289643734694e-05,0.0019133917282946511,2021-07-23
2021-07-30,0.007113090716302395,-0.000497418746817857,0.007632850203663111,-2.234074054285884e-05,2.234074054285884e-05,0.0029355079703980306,2021-07-23
2021-08-06,0.004858528263866901,-0.0005444466951303184,0.005395557731389999,7.417227607220411e-06,7.417227607220411e-06,0.001372801824085964,2021-07-23
2021-08-13,0.005012965761125088,-0.000461368850665167,0.005476826336234808,-2.491724444553256e-06,2.491724444553256e-06,0.00045516397327029006,2021-07-23
2021-08-20,0.004307873547077179,-0.000447926257038489,0.004745565354824066,1.0234449291601777e-05,1.0234449291601777e-05,0.002151988770186921,2021-07-23
2021-08-27,0.005627200473099947,-0.00043594202725216746,0.0060524228028953075,1.0719697456806898e-05,1.0719697456806898e-05,0.0017680072299326723,2021-07-23
2021-09-03,0.006655198521912098,-0.0004581573884934187,0.007084856741130352,2.8499169275164604e-05,2.8499169275164604e-05,0.0040064253173698935,2021-07-23
2021-09-10,0.0051508331671357155,-0.00046745387953706086,0.005593846086412668,2.4440960260108113e-05,2.4440960260108113e-05,0.004350243509211095,2021-07-23
2021-09-17,0.005832243710756302,-0.0005246776854619384,0.006384114734828472,-2.7193338610231876e-05,2.7193338610231876e-05,0.0042777461192060814,2021-07-23
2021-09-24,0.008640055544674397,-0.00045899575343355536,0.009087638929486275,1.141236862167716e-05,1.141236862167716e-05,0.0012542358214522892,2021-07-23
2021-10-01,0.005499072838574648,-0.0004528186982497573,0.005960144568234682,-8.25303141027689e-06,8.25303141027689e-06,0.0013866209578931032,2021-07-23
2021-10-08,0.006928159389644861,-0.0004812261613551527,0.007423691917210817,-1.430636621080339e-05,1.430636621080339e-05,0.00193084120186734,2021-07-23
2021-10-15,0.0053984420374035835,-0.00048387623974122107,0.005889941938221455,-7.6236610766500235e-06,7.6236610766500235e-06,0.0012960278171265946,2021-07-23
2021-10-22,0.006982176098972559,0.0008967575267888606,0.006113964132964611,-2.8545560780912638e-05,2.8545560780912638e-05,0.004690805329865096,2021-10-22
2021-10-29,0.008947378024458885,0.000944512605201453,0.008023788221180439,-2.0922801923006773e-05,2.0922801923006773e-05,0.002614410549570713,2021-10-22
2021-11-05,0.007676329929381609,0.0008753499714657664,0.00680407602339983,-3.0960654839873314e-06,3.0960654839873314e-06,0.00045523747324222166,2021-10-22
2021-11-12,0.007453656289726496,0.0009147064993157983,0.00653851218521595,4.3760519474744797e-07,4.3760519474744797e-07,6.692275358371074e-05,2021-10-22
2021-11-19,0.009257731959223747,0.0009406688623130322,0.008320159278810024,-3.0961818993091583e-06,3.0961818993091583e-06,0.00037226820820646637,2021-10-22
2021-11-26,0.010524401441216469,0.0008896701037883759,0.009630118496716022,4.612840712070465e-06,4.612840712070465e-06,0.000478771619342904,2021-10-22
2021-12-03,0.00791899673640728,0.0009503010078333318,0.006952285300940275,1.6410427633672953e-05,1.6410427633672953e-05,0.002354874530916823,2021-10-22
2021-12-10,0.007953458465635777,0.0009031828958541155,0.007021773140877485,2.850242890417576e-05,2.850242890417576e-05,0.004042733960499482,2021-10-22
2021-12-17,0.009695230051875114,0.000943293736781925,0.00874400045722723,7.935857865959406e-06,7.935857865959406e-06,0.0009067534900521046,2021-10-22
2021-12-24,0.007973127998411655,0.000903791282325983,0.007055662106722593,1.3674609363079071e-05,1.3674609363079071e-05,0.001934352622989011,2021-10-22
2021-12-31,0.009536679834127426,0.0009340696269646287,0.008619531989097595,-1.6921781934797764e-05,1.6921781934797764e-05,0.0019670497508082695,2021-10-22
