lookback,model,test_weeks,M0_RMSE,M1_RMSE,M4_RMSE,skill_vs_M0,CW_p_vs_M1,DM_p_vs_M1
1,Ridge,260,4.13664431077246,4.254551106039699,4.320736865582158,-0.044502872613507716,0.302632612723548,0.7842673442387402
1,XGB,260,4.13664431077246,4.567577056788019,4.518312147644287,-0.09226508449805682,0.0011554848430798126,0.37477262022641084
4,Ridge,257,4.1517846708743695,4.556461182824052,4.604733853181881,-0.10909746487698269,0.0674041941851623,0.6159209118129987
4,XGB,257,4.1517846708743695,5.221876617822442,4.530714734131304,-0.09126919946383727,1.7982912680070129e-06,0.001582974865254279
8,Ridge,253,4.1717189185248165,4.692649456049382,4.674976411372371,-0.12063552283275936,0.003297905997973527,0.46201878490773324
8,XGB,253,4.1717189185248165,5.600098126012232,4.982448592745129,-0.1943394773363587,2.9494401920793223e-07,0.0006330388727498287
