arm,description,n_features,model,test_weeks,M1_RMSE,M4_RMSE,skill_vs_M0,CW_p_vs_M1,DM_p_vs_M1
full,M1 + M2(anom) + M3,208,Ridge,257,4.33223697176346,4.560477400006421,-0.0984378433686881,0.22848688144122664,0.9316866332628717
full,M1 + M2(anom) + M3,208,XGB,257,4.771177922387276,4.469914633243683,-0.07662487040839605,0.00016661435038345385,0.08210631380305496
minus-M2,M1 + M3  (RS removed),153,Ridge,257,4.33223697176346,4.592028803430189,-0.10603732309245784,0.4812387929429127,0.9539366018869827
minus-M2,M1 + M3  (RS removed),153,XGB,257,4.771177922387276,4.455851813597272,-0.07323769579284711,2.476851970001359e-05,0.036120656755164404
minus-M3,M1 + M2(anom)  (shipping removed),89,Ridge,257,4.33223697176346,4.411411674849411,-0.06253383172696281,0.2124951913508073,0.7784805685916942
minus-M3,M1 + M2(anom)  (shipping removed),89,XGB,257,4.771177922387276,4.643049693280322,-0.11832622868239717,0.005846722294944984,0.11937276961068634
M1-only,M1  (finance only),34,Ridge,257,4.33223697176346,4.33223697176346,-0.043463790922251055,,
M1-only,M1  (finance only),34,XGB,257,4.771177922387276,4.771177922387276,-0.14918722925542793,,
