date,gate_finance_mean,gate_finance_std,gate_finance_lo,gate_finance_hi,gate_rs_mean,gate_rs_std,gate_rs_lo,gate_rs_hi,gate_shipping_mean,gate_shipping_std,gate_shipping_lo,gate_shipping_hi
2021-01-22,0.4455995162328084,0.10838761648331068,0.3372118997494977,0.5539871327161191,0.3385859429836273,0.034759744748680856,0.30382619823494644,0.3733456877323082,0.21581450601418814,0.13357400128848224,0.0822405047257059,0.34938850730267035
2021-01-29,0.4505992631117503,0.10887340451498341,0.3417258585967669,0.5594726676267338,0.33703456322352093,0.030430257020157076,0.3066043062033639,0.367464820243678,0.21236616373062134,0.120065241894953,0.09230092183566833,0.3324314056255743
2021-02-05,0.45407283306121826,0.11229235677663721,0.3417804762845811,0.5663651898378554,0.32840508222579956,0.023326039524161436,0.3050790427016381,0.351731121749961,0.2175221120317777,0.11396808212509289,0.10355402990668482,0.3314901941568706
2021-02-12,0.45215222239494324,0.10962850068793685,0.3425237217070064,0.5617807230828801,0.3266746699810028,0.023084046380595392,0.3035906236004074,0.3497587163615982,0.2211731548110644,0.1182771994705624,0.102895955340502,0.3394503542816268
2021-02-19,0.4513430098692576,0.10715956097830047,0.34418344889095714,0.558502570847558,0.33276044329007465,0.024224030150091343,0.3085364131399833,0.356984473440166,0.21589657167593637,0.11133940246651974,0.10455716920941663,0.3272359741424561
2021-02-26,0.46925728519757587,0.12023461117576499,0.34902267402181086,0.5894918963733409,0.3207545876502991,0.04107280863051714,0.2796817790197819,0.3618273962808162,0.20998814205328623,0.11857621210968802,0.0914119299435982,0.32856435416297425
2021-03-05,0.46350788076718646,0.11364970212615645,0.34985817864103,0.577157582893343,0.3233967920144399,0.035003264241303574,0.2883935277731363,0.35840005625574345,0.21309531976779303,0.1165256954736252,0.09656962429416784,0.32962101524141824
2021-03-12,0.4642432729403178,0.11292129622570793,0.35132197671460985,0.5771645691660258,0.3227340479691823,0.022445676229221927,0.30028837173996037,0.34517972419840426,0.21302266667286554,0.11615190095325195,0.09687076571961359,0.3291745676261175
2021-03-19,0.4593449831008911,0.1122735002579055,0.3470714828429856,0.5716184833587966,0.32883428533871967,0.028682260862922186,0.3001520244757975,0.35751654620164186,0.21182074646155039,0.11613265402548013,0.09568809243607025,0.32795340048703053
2021-03-26,0.45693353811899823,0.10877290118014092,0.3481606369388573,0.5657064392991391,0.3312747577826182,0.03182266895423627,0.2994520888283819,0.3630974267368545,0.21179169913132986,0.1115220276912483,0.10026967144008156,0.3233137268225782
2021-04-02,0.45757295687993366,0.11276936607963854,0.3448035908002951,0.5703423229595722,0.3310796817143758,0.025569138715329263,0.3055105429990465,0.3566488204297051,0.21134736637274423,0.10745221106185866,0.10389515531088557,0.3187995774346029
2021-04-09,0.45600326855977374,0.11133354355010013,0.34466972500967363,0.5673368121098739,0.33546895782152814,0.026125246949503345,0.3093437108720248,0.3615942047710315,0.20852780093749365,0.1096670455309253,0.09886075540656836,0.31819484646841895
2021-04-16,0.46048177282015484,0.11301538728812792,0.3474663855320269,0.5734971601082828,0.32454847296079,0.02691472699093107,0.2976337459698589,0.35146319995172104,0.2149698237578074,0.11064289904118747,0.10432692471661993,0.3256127227989949
