date,gate_finance,gate_rs,gate_shipping
2021-01-22,0.5029034614562988,0.3157929480075836,0.18130354583263397
2021-01-29,0.5040819048881531,0.3016204833984375,0.19429759681224823
2021-02-05,0.5106827020645142,0.29722923040390015,0.1920880824327469
2021-02-12,0.5032519102096558,0.300181120634079,0.1965670883655548
2021-02-19,0.5019460320472717,0.30125200748443604,0.19680197536945343
2021-02-26,0.558957576751709,0.26605620980262756,0.17498621344566345
2021-03-05,0.5444793105125427,0.2789773643016815,0.17654328048229218
2021-03-12,0.5262884497642517,0.2940913736820221,0.1796201914548874
2021-03-19,0.5287778973579407,0.2925187945365906,0.17870332300662994
2021-03-26,0.5184827446937561,0.28904271125793457,0.1924745887517929
2021-04-02,0.511120617389679,0.29492703080177307,0.19395235180854797
2021-04-09,0.514603853225708,0.29925674200057983,0.18613941967487335
2021-04-16,0.5171428918838501,0.2869392931461334,0.19591793417930603
2021-04-23,0.5789360404014587,0.33436593413352966,0.08669799566268921
2021-04-30,0.6187853813171387,0.30285245180130005,0.07836217433214188
2021-05-07,0.6376786828041077,0.28597307205200195,0.07634824514389038
2021-05-14,0.6412914991378784,0.27945736050605774,0.07925112545490265
2021-05-21,0.6299072504043579,0.29143229126930237,0.07866057753562927
2021-05-28,0.6175436973571777,0.3066938519477844,0.07576240599155426
2021-06-04,0.6311659812927246,0.29383179545402527,0.07500223815441132
2021-06-11,0.6433556079864502,0.27830639481544495,0.07833798974752426
2021-06-18,0.6078817844390869,0.3076282739639282,0.08448998630046844
2021-06-25,0.641939640045166,0.28298643231391907,0.07507391273975372
2021-07-02,0.6151793599128723,0.30657607316970825,0.07824455201625824
2021-07-09,0.6197931170463562,0.30051425099372864,0.07969263941049576
2021-07-16,0.6144735217094421,0.30576422810554504,0.0797622948884964
2021-07-23,0.3543461561203003,0.3374660611152649,0.3081878423690796
2021-07-30,0.35032448172569275,0.3419327139854431,0.3077428340911865
2021-08-06,0.3577280342578888,0.3353115916252136,0.3069603741168976
2021-08-13,0.35238468647003174,0.3381710648536682,0.30944424867630005
2021-08-20,0.35459306836128235,0.33338236808776855,0.31202462315559387
2021-08-27,0.35567232966423035,0.3372231721878052,0.3071044981479645
2021-09-03,0.3540569543838501,0.34079745411872864,0.3051455020904541
2021-09-10,0.36569446325302124,0.31988969445228577,0.314415842294693
2021-09-17,0.36534005403518677,0.325986385345459,0.30867359042167664
2021-09-24,0.3580821752548218,0.3342028558254242,0.30771490931510925
2021-10-01,0.366329550743103,0.3240378797054291,0.3096325397491455
2021-10-08,0.3632884919643402,0.32855916023254395,0.30815231800079346
2021-10-15,0.3643280565738678,0.3293643295764923,0.30630773305892944
2021-10-22,0.38972681760787964,0.3033633232116699,0.3069098889827728
