model,RMSE,MAE,DirAcc,RMSE_skill_vs_M0,DM_stat,DM_p_better_than_M0,DM_p_vs_M1,CW_stat_vs_M1,CW_p_vs_M1
M0_RW,4.1517846708743695,3.01136186770428,,0.0,,,,,
M1_Flat_Ridge,4.256348943170461,3.090131492098012,0.4980544747081712,-0.02518537944167276,-1.5850618259454587,0.9429066209831216,,,
M1_Flat_XGB,4.368428737773503,3.2651414540476664,0.5525291828793775,-0.052180949657369524,-2.120562374879635,0.9825397846770563,,,
M3_Flat_Ridge,4.406946064981149,3.224463078310807,0.4591439688715953,-0.06145824370343411,-2.2031502531815605,0.9857623755002585,0.8939200409705808,0.8502461279278745,0.1975941304358948
M3_Flat_XGB,4.800560789319485,3.473245487553084,0.5214007782101168,-0.15626439468222308,-2.5272557469204164,0.9939507006029595,0.9722895503587212,,
Naive_DirPersist,,,0.5097276264591439,,,,,,
