config,model,RMSE_zero,RMSE_median,RMSE_delta,MAE_zero,MAE_median,MAE_delta,DirAcc_zero,DirAcc_median,DirAcc_delta,RMSE_skill_vs_M0_zero,RMSE_skill_vs_M0_median,RMSE_skill_vs_M0_delta,CW_p_vs_M1_zero,CW_p_vs_M1_median,CW_p_vs_M1_delta
M1,M1_Flat_Ridge,4.256348943170461,4.256348943170461,0.0,3.090131492098012,3.090131492098012,0.0,0.4980544747081712,0.4980544747081712,0.0,-0.0251853794416727,-0.0251853794416727,0.0,,,
M1,M1_Flat_XGB,4.368428737773503,4.368428737773503,0.0,3.2651414540476664,3.2651414540476664,0.0,0.5525291828793775,0.5525291828793775,0.0,-0.0521809496573695,-0.0521809496573695,0.0,,,
M2,M2_Flat_Ridge,4.413588772342179,4.415038694060452,0.0014499217182724067,3.200966253793274,3.2046435090126635,0.0036772552193893304,0.5058365758754864,0.5019455252918288,-0.0038910505836575737,-0.0630582080290482,-0.0634074365736894,-0.00034922854464120023,0.4738195376977991,0.4810036363040735,0.007184098606274392
M2,M2_Flat_XGB,4.440163806219409,4.464918542598872,0.024754736379463793,3.274799342815578,3.2875520815811963,0.012752738765618332,0.4785992217898833,0.4513618677042801,-0.027237354085603183,-0.0694590780124215,-0.0754215106388349,-0.005962432626413397,0.0852734966864094,0.1467584142952336,0.061484917608824186
M3,M3_Flat_Ridge,4.430243432157846,4.447107712921947,0.016864280764100847,3.2083963253891423,3.210627656221778,0.002231330832635603,0.4941634241245136,0.4941634241245136,0.0,-0.0670696539820387,-0.0711315892944377,-0.004061935312399012,0.2639149368372862,0.2974553547276133,0.033540417890327134
M3,M3_Flat_XGB,4.429198134964165,4.4080070771629805,-0.021191057801184243,3.268400521513706,3.283416404523102,0.015015883009395825,0.5175097276264592,0.5058365758754864,-0.011673151750972832,-0.0668178834118995,-0.0617137993899501,0.0051040840219493955,0.0001851989360097,4.848929986511763e-05,-0.00013670963614458237
M4,M4_Flat_Ridge,4.525221586556121,4.533653131798245,0.008431545242124194,3.327348956769731,3.330505200887077,0.003156244117345608,0.4863813229571984,0.490272373540856,0.0038910505836576292,-0.0899461184250447,-0.0919769427356775,-0.0020308243106327978,0.314424778306154,0.3505324376353278,0.036107659329173813
M4,M4_Flat_XGB,4.50738885667583,4.480506995767201,-0.02688186090862832,3.3832568870263584,3.346661794036164,-0.03659509299019437,0.4863813229571984,0.4941634241245136,0.007782101167315203,-0.0856509221916292,-0.0791761497649159,0.006474772426713307,0.0089865450160407,0.0081822306217924,-0.0008043143942483011
