cfg,mode,RMSE,MAE,DirAcc,skill,CW_p
M1_Flat_Ridge,zero(锁定主结果),4.256348943170461,3.090131492098012,0.4980544747081712,-0.0251853794416727,
M1_Flat_XGB,zero(锁定主结果),4.368428737773503,3.2651414540476664,0.5525291828793775,-0.0521809496573695,
M1_Flat_Ridge,fold_median,4.256348943170461,3.090131492098012,0.4980544747081712,-0.0251853794416727,
M1_Flat_XGB,fold_median,4.368428737773503,3.2651414540476664,0.5525291828793775,-0.0521809496573695,
M1_Flat_Ridge,by_family,4.256348943170461,3.090131492098012,0.4980544747081712,-0.0251853794416727,
M1_Flat_XGB,by_family,4.368428737773503,3.2651414540476664,0.5525291828793775,-0.0521809496573695,
M2_Flat_Ridge,zero(锁定主结果),4.413588772342179,3.200966253793274,0.5058365758754864,-0.0630582080290482,0.4738195376977991
M2_Flat_XGB,zero(锁定主结果),4.440163806219409,3.274799342815578,0.4785992217898833,-0.0694590780124215,0.0852734966864094
M2_Flat_Ridge,fold_median,4.415038694060452,3.2046435090126635,0.5019455252918288,-0.0634074365736894,0.4810036363040735
M2_Flat_XGB,fold_median,4.464918542598872,3.2875520815811963,0.4513618677042801,-0.0754215106388349,0.1467584142952336
M2_Flat_Ridge,by_family,4.413588772342179,3.200966253793274,0.5058365758754864,-0.0630582080290482,0.4738195376977991
M2_Flat_XGB,by_family,4.440163806219409,3.274799342815578,0.4785992217898833,-0.0694590780124215,0.0852734966864094
M3_Flat_Ridge,zero(锁定主结果),4.430243432157846,3.2083963253891423,0.4941634241245136,-0.0670696539820387,0.2639149368372862
M3_Flat_XGB,zero(锁定主结果),4.429198134964165,3.268400521513706,0.5175097276264592,-0.0668178834118995,0.0001851989360097
M3_Flat_Ridge,fold_median,4.447107712921947,3.210627656221778,0.4941634241245136,-0.0711315892944377,0.2974553547276133
M3_Flat_XGB,fold_median,4.4080070771629805,3.283416404523102,0.5058365758754864,-0.0617137993899501,4.848929986511763e-05
M3_Flat_Ridge,by_family,4.447107712921947,3.210627656221778,0.4941634241245136,-0.0711315892944377,0.2974553547276133
M3_Flat_XGB,by_family,4.4080070771629805,3.283416404523102,0.5058365758754864,-0.0617137993899501,4.848929986511763e-05
M4_Flat_Ridge,zero(锁定主结果),4.525221586556121,3.327348956769731,0.4863813229571984,-0.0899461184250447,0.314424778306154
M4_Flat_XGB,zero(锁定主结果),4.50738885667583,3.3832568870263584,0.4863813229571984,-0.0856509221916292,0.0089865450160407
M4_Flat_Ridge,fold_median,4.533653131798245,3.330505200887077,0.490272373540856,-0.0919769427356775,0.3505324376353278
M4_Flat_XGB,fold_median,4.480506995767201,3.346661794036164,0.4941634241245136,-0.0791761497649159,0.0081822306217924
M4_Flat_Ridge,by_family,4.536062411735474,3.3291750522031465,0.490272373540856,-0.092557242565322,0.3498542538674272
M4_Flat_XGB,by_family,4.506073736788279,3.3594346241501194,0.4747081712062256,-0.0853341620530854,0.0164983607160768
