week_fri,NDVI_Houston,NDVI_NingboZhoushan,NDVI_Rotterdam,NDVI_Jamnagar,NDVI_Jurong,NDVI_Ulsan,NDVI_Basra,NDVI_Fujairah,NDVI_Kharg,NDVI_RasTanura,NDVI_Yanbu,NDVI_anom_Houston,NDVI_anom_NingboZhoushan,NDVI_anom_Rotterdam,NDVI_anom_Jamnagar,NDVI_anom_Jurong,NDVI_anom_Ulsan,NDVI_anom_Basra,NDVI_anom_Fujairah,NDVI_anom_Kharg,NDVI_anom_RasTanura,NDVI_anom_Yanbu,NDWI_Houston,NDWI_NingboZhoushan,NDWI_Rotterdam,NDWI_Jamnagar,NDWI_Jurong,NDWI_Ulsan,NDWI_Basra,NDWI_Fujairah,NDWI_Kharg,NDWI_RasTanura,NDWI_Yanbu,NDWI_anom_Houston,NDWI_anom_NingboZhoushan,NDWI_anom_Rotterdam,NDWI_anom_Jamnagar,NDWI_anom_Jurong,NDWI_anom_Ulsan,NDWI_anom_Basra,NDWI_anom_Fujairah,NDWI_anom_Kharg,NDWI_anom_RasTanura,NDWI_anom_Yanbu,NDBI_Houston,NDBI_NingboZhoushan,NDBI_Rotterdam,NDBI_Jamnagar,NDBI_Jurong,NDBI_Ulsan,NDBI_Basra,NDBI_Fujairah,NDBI_Kharg,NDBI_RasTanura,NDBI_Yanbu,NDBI_anom_Houston,NDBI_anom_NingboZhoushan,NDBI_anom_Rotterdam,NDBI_anom_Jamnagar,NDBI_anom_Jurong,NDBI_anom_Ulsan,NDBI_anom_Basra,NDBI_anom_Fujairah,NDBI_anom_Kharg,NDBI_anom_RasTanura,NDBI_anom_Yanbu,BSI_Houston,BSI_NingboZhoushan,BSI_Rotterdam,BSI_Jamnagar,BSI_Jurong,BSI_Ulsan,BSI_Basra,BSI_Fujairah,BSI_Kharg,BSI_RasTanura,BSI_Yanbu,BSI_anom_Houston,BSI_anom_NingboZhoushan,BSI_anom_Rotterdam,BSI_anom_Jamnagar,BSI_anom_Jurong,BSI_anom_Ulsan,BSI_anom_Basra,BSI_anom_Fujairah,BSI_anom_Kharg,BSI_anom_RasTanura,BSI_anom_Yanbu,NTL_Houston,NTL_NingboZhoushan,NTL_Rotterdam,NTL_Jamnagar,NTL_Jurong,NTL_Ulsan,NTL_Basra,NTL_Fujairah,NTL_Kharg,NTL_RasTanura,NTL_Yanbu,NTL_anom_Houston,NTL_anom_NingboZhoushan,NTL_anom_Rotterdam,NTL_anom_Jamnagar,NTL_anom_Jurong,NTL_anom_Ulsan,NTL_anom_Basra,NTL_anom_Fujairah,NTL_anom_Kharg,NTL_anom_RasTanura,NTL_anom_Yanbu,s2_age_days_Houston,s2_age_days_NingboZhoushan,s2_age_days_Rotterdam,s2_age_days_Jamnagar,s2_age_days_Jurong,s2_age_days_Ulsan,s2_age_days_Basra,s2_age_days_Fujairah,s2_age_days_Kharg,s2_age_days_RasTanura,s2_age_days_Yanbu,s2_avail_Houston,s2_avail_NingboZhoushan,s2_avail_Rotterdam,s2_avail_Jamnagar,s2_avail_Jurong,s2_avail_Ulsan,s2_avail_Basra,s2_avail_Fujairah,s2_avail_Kharg,s2_avail_RasTanura,s2_avail_Yanbu,ntl_age_days_Houston,ntl_age_days_NingboZhoushan,ntl_age_days_Rotterdam,ntl_age_days_Jamnagar,ntl_age_days_Jurong,ntl_age_days_Ulsan,ntl_age_days_Basra,ntl_age_days_Fujairah,ntl_age_days_Kharg,ntl_age_days_RasTanura,ntl_age_days_Yanbu,ntl_avail_Houston,ntl_avail_NingboZhoushan,ntl_avail_Rotterdam,ntl_avail_Jamnagar,ntl_avail_Jurong,ntl_avail_Ulsan,ntl_avail_Basra,ntl_avail_Fujairah,ntl_avail_Kharg,ntl_avail_RasTanura,ntl_avail_Yanbu
2019-01-04,0.2131705744966368,0.1094197059855861,0.1284317221979941,0.2136495087321223,,0.1672487492986389,-0.9549894700988342,-0.0490702844229869,-0.2259887108162219,-0.3581535626776257,-0.0642461046804319,0.6765745822926206,,-1.876571269440309,-2.030444930205775,,,-3.0454798097702187,0.4796064867501688,-1.4570159078757576,-0.2859927261672855,1.835710274677788,-0.227324774605357,-0.1666416811105768,-0.0648568041433613,-0.2992488916426316,,-0.112203660288708,0.979435884787232,0.1108917799237147,0.4793839950924342,0.6953084589922219,0.1271187104012718,-1.4181018178411324,,1.1193888102313798,1.9963971933261992,,,1.4041667555031678,0.20415038064627028,0.8025449534424846,-0.4530053860824216,1.2631798433002543,-0.1199410944207046,-0.4431414296083212,0.0262001176988056,0.0490043813979,,-0.0672571578666719,0.3484126664714052,0.0611999763394995,-0.2002797715218525,0.1372725681625027,-0.0483858954282675,-3.550283228161495,,2.7511453040167746,1.031545585985978,,,0.2612299522875952,1.071191214868599,-2.2898318465598333,-0.46902016593837587,-0.4996884004444696,-0.0044915295469591,-0.0786324948310741,-0.1071348208482716,0.1016906673628791,,-0.1111744750642761,-0.4893660250816823,-0.0322141632841968,-0.3621616081968561,-0.3442759553074651,-0.0983425570899814,-2.0561460708533303,,0.9329833151392833,-1.9404191914826625,,,-0.2039178057970121,1.4915779738728903,-1.0634881991988774,1.02945154227435,-1.5293288855789002,57.11074823999947,13.333672199792517,119.19559111624086,64.5563127527869,64.04400518987899,30.450641323336324,1.2854643423143668,22.300983547365306,66.11443585902826,7.459658003551969,139.01113630236603,-1.143193404520588,2.1089900982025416,-0.537508059394028,-1.6268657575351522,-0.26339833765080206,0.43936100303441933,-0.8813816924404227,-1.1098362960451358,-2.8376268542689407,2.27355408182273,-1.4685056310298736,50.0,264.0,50.0,50.0,,50.0,50.0,50.0,50.0,50.0,50.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1,1,1,1,1,1,1,1,1,1,1
2019-01-11,0.2131705744966368,0.1094197059855861,0.1284317221979941,0.2136495087321223,,0.1672487492986389,-0.9549894700988342,-0.0490702844229869,-0.2259887108162219,-0.3581535626776257,-0.0642461046804319,0.6765745822926206,,-1.876571269440309,-2.030444930205775,,,-3.0454798097702187,0.4796064867501688,-1.4570159078757576,-0.2859927261672855,1.835710274677788,-0.227324774605357,-0.1666416811105768,-0.0648568041433613,-0.2992488916426316,,-0.112203660288708,0.979435884787232,0.1108917799237147,0.4793839950924342,0.6953084589922219,0.1271187104012718,-1.4181018178411324,,1.1193888102313798,1.9963971933261992,,,1.4041667555031678,0.20415038064627028,0.8025449534424846,-0.4530053860824216,1.2631798433002543,-0.1199410944207046,-0.4431414296083212,0.0262001176988056,0.0490043813979,,-0.0672571578666719,0.3484126664714052,0.0611999763394995,-0.2002797715218525,0.1372725681625027,-0.0483858954282675,-3.550283228161495,,2.7511453040167746,1.031545585985978,,,0.2612299522875952,1.071191214868599,-2.2898318465598333,-0.46902016593837587,-0.4996884004444696,-0.0044915295469591,-0.0786324948310741,-0.1071348208482716,0.1016906673628791,,-0.1111744750642761,-0.4893660250816823,-0.0322141632841968,-0.3621616081968561,-0.3442759553074651,-0.0983425570899814,-2.0561460708533303,,0.9329833151392833,-1.9404191914826625,,,-0.2039178057970121,1.4915779738728903,-1.0634881991988774,1.02945154227435,-1.5293288855789002,57.11074823999947,13.333672199792517,119.19559111624086,64.5563127527869,64.04400518987899,30.450641323336324,1.2854643423143668,22.300983547365306,66.11443585902826,7.459658003551969,139.01113630236603,-1.143193404520588,2.1089900982025416,-0.537508059394028,-1.6268657575351522,-0.26339833765080206,0.43936100303441933,-0.8813816924404227,-1.1098362960451358,-2.8376268542689407,2.27355408182273,-1.4685056310298736,57.0,271.0,57.0,57.0,,57.0,57.0,57.0,57.0,57.0,57.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,1,1,1,1,1,1,1,1,1,1,1
2019-01-18,0.1930278031454738,0.0512926665558702,-0.013050222721607,0.1940627829400676,,0.0594871621386588,-0.7682961947127189,-0.0479880723308414,-0.1240870001809004,-0.265134822333799,-0.0621192815211343,0.5817116341537667,,-3.9752691391183,-2.5734488232076167,,,-1.8511015160640576,-3.490410188054806,-0.40581579687142555,3.474521722043599,-3.870761897535745,-0.2339173249394142,-0.1024729588358588,0.1072257085241707,-0.278197150031892,,-0.0078801249894768,0.8944363163528292,0.1133655554119873,0.34044883167697,0.5873258254978625,0.1289908694832195,-1.1172169918960202,,3.9889405498738357,2.6341278959837546,,,1.688822314959486,2.9305118386170834,0.22238789623298788,-3.160399579769857,3.483458516967919,-0.0627763336225604,-0.4972993783294254,-0.0192640701633193,0.0464254380935316,,-0.050615550696399,0.461670339184986,0.0200385641791273,-0.1216970823373457,-0.1716574931732855,-0.0200114111284037,-0.5634940793158587,,3.1236310760703954,-2.0180208903378256,,,3.678951298033995,-3.5409454256783284,-1.4303139301531245,-3.222981860867678,-3.102624621170135,0.0468840283506035,-0.0945387176171416,-0.2033352253150778,0.1023846278940111,,-0.0498264431134314,-0.3889954726933202,-0.0259156144539591,-0.2616501251025254,-0.3447997137200701,-0.0993345250902335,0.7825339575785258,,0.394571401732784,-2.970622883478721,,,-0.35875136663148055,-3.177929647559365,-0.642125209286945,2.3596795715525056,-3.113537321985803,62.33704810438102,12.045038337506131,128.8990765169867,63.30292036438111,78.95027939850033,33.03706835198347,1.4844777656574475,23.258982504568113,92.87192134325068,6.8729513312402615,67.06541297795626,0.4496864563194767,0.5886154233372622,-1.0829822295842593,-1.7719653815734608,0.19912549673208735,0.415474496296646,-0.04329560359095233,-1.4166015572102133,-0.5040618735334952,0.7475187379878927,-0.6494582771800631,34.0,34.0,34.0,34.0,,34.0,34.0,34.0,34.0,34.0,34.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,1,1,1,1,1,1,1,1,1,1,1
2019-01-25,0.1930278031454738,0.0512926665558702,-0.013050222721607,0.1940627829400676,,0.0594871621386588,-0.7682961947127189,-0.0479880723308414,-0.1240870001809004,-0.265134822333799,-0.0621192815211343,0.5817116341537667,,-3.9752691391183,-2.5734488232076167,,,-1.8511015160640576,-3.490410188054806,-0.40581579687142555,3.474521722043599,-3.870761897535745,-0.2339173249394142,-0.1024729588358588,0.1072257085241707,-0.278197150031892,,-0.0078801249894768,0.8944363163528292,0.1133655554119873,0.34044883167697,0.5873258254978625,0.1289908694832195,-1.1172169918960202,,3.9889405498738357,2.6341278959837546,,,1.688822314959486,2.9305118386170834,0.22238789623298788,-3.160399579769857,3.483458516967919,-0.0627763336225604,-0.4972993783294254,-0.0192640701633193,0.0464254380935316,,-0.050615550696399,0.461670339184986,0.0200385641791273,-0.1216970823373457,-0.1716574931732855,-0.0200114111284037,-0.5634940793158587,,3.1236310760703954,-2.0180208903378256,,,3.678951298033995,-3.5409454256783284,-1.4303139301531245,-3.222981860867678,-3.102624621170135,0.0468840283506035,-0.0945387176171416,-0.2033352253150778,0.1023846278940111,,-0.0498264431134314,-0.3889954726933202,-0.0259156144539591,-0.2616501251025254,-0.3447997137200701,-0.0993345250902335,0.7825339575785258,,0.394571401732784,-2.970622883478721,,,-0.35875136663148055,-3.177929647559365,-0.642125209286945,2.3596795715525056,-3.113537321985803,62.33704810438102,12.045038337506131,128.8990765169867,63.30292036438111,78.95027939850033,33.03706835198347,1.4844777656574475,23.258982504568113,92.87192134325068,6.8729513312402615,67.06541297795626,0.4496864563194767,0.5886154233372622,-1.0829822295842593,-1.7719653815734608,0.19912549673208735,0.415474496296646,-0.04329560359095233,-1.4166015572102133,-0.5040618735334952,0.7475187379878927,-0.6494582771800631,41.0,41.0,41.0,41.0,,41.0,41.0,41.0,41.0,41.0,41.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,1,1,1,1,1,1,1,1,1,1,1
2019-02-01,0.1930278031454738,0.0512926665558702,-0.013050222721607,0.1940627829400676,,0.0594871621386588,-0.7682961947127189,-0.0479880723308414,-0.1240870001809004,-0.265134822333799,-0.0621192815211343,0.5817116341537667,,-3.9752691391183,-2.5734488232076167,,,-1.8511015160640576,-3.490410188054806,-0.40581579687142555,3.474521722043599,-3.870761897535745,-0.2339173249394142,-0.1024729588358588,0.1072257085241707,-0.278197150031892,,-0.0078801249894768,0.8944363163528292,0.1133655554119873,0.34044883167697,0.5873258254978625,0.1289908694832195,-1.1172169918960202,,3.9889405498738357,2.6341278959837546,,,1.688822314959486,2.9305118386170834,0.22238789623298788,-3.160399579769857,3.483458516967919,-0.0627763336225604,-0.4972993783294254,-0.0192640701633193,0.0464254380935316,,-0.050615550696399,0.461670339184986,0.0200385641791273,-0.1216970823373457,-0.1716574931732855,-0.0200114111284037,-0.5634940793158587,,3.1236310760703954,-2.0180208903378256,,,3.678951298033995,-3.5409454256783284,-1.4303139301531245,-3.222981860867678,-3.102624621170135,0.0468840283506035,-0.0945387176171416,-0.2033352253150778,0.1023846278940111,,-0.0498264431134314,-0.3889954726933202,-0.0259156144539591,-0.2616501251025254,-0.3447997137200701,-0.0993345250902335,0.7825339575785258,,0.394571401732784,-2.970622883478721,,,-0.35875136663148055,-3.177929647559365,-0.642125209286945,2.3596795715525056,-3.113537321985803,62.33704810438102,12.045038337506131,128.8990765169867,63.30292036438111,78.95027939850033,33.03706835198347,1.4844777656574475,23.258982504568113,92.87192134325068,6.8729513312402615,67.06541297795626,0.4496864563194767,0.5886154233372622,-1.0829822295842593,-1.7719653815734608,0.19912549673208735,0.415474496296646,-0.04329560359095233,-1.4166015572102133,-0.5040618735334952,0.7475187379878927,-0.6494582771800631,48.0,48.0,48.0,48.0,,48.0,48.0,48.0,48.0,48.0,48.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,1,1,1,1,1,1,1,1,1,1,1
2019-02-08,0.1930278031454738,0.0512926665558702,-0.013050222721607,0.1940627829400676,,0.0594871621386588,-0.7682961947127189,-0.0479880723308414,-0.1240870001809004,-0.265134822333799,-0.0621192815211343,0.5817116341537667,,-3.9752691391183,-2.5734488232076167,,,-1.8511015160640576,-3.490410188054806,-0.40581579687142555,3.474521722043599,-3.870761897535745,-0.2339173249394142,-0.1024729588358588,0.1072257085241707,-0.278197150031892,,-0.0078801249894768,0.8944363163528292,0.1133655554119873,0.34044883167697,0.5873258254978625,0.1289908694832195,-1.1172169918960202,,3.9889405498738357,2.6341278959837546,,,1.688822314959486,2.9305118386170834,0.22238789623298788,-3.160399579769857,3.483458516967919,-0.0627763336225604,-0.4972993783294254,-0.0192640701633193,0.0464254380935316,,-0.050615550696399,0.461670339184986,0.0200385641791273,-0.1216970823373457,-0.1716574931732855,-0.0200114111284037,-0.5634940793158587,,3.1236310760703954,-2.0180208903378256,,,3.678951298033995,-3.5409454256783284,-1.4303139301531245,-3.222981860867678,-3.102624621170135,0.0468840283506035,-0.0945387176171416,-0.2033352253150778,0.1023846278940111,,-0.0498264431134314,-0.3889954726933202,-0.0259156144539591,-0.2616501251025254,-0.3447997137200701,-0.0993345250902335,0.7825339575785258,,0.394571401732784,-2.970622883478721,,,-0.35875136663148055,-3.177929647559365,-0.642125209286945,2.3596795715525056,-3.113537321985803,62.33704810438102,12.045038337506131,128.8990765169867,63.30292036438111,78.95027939850033,33.03706835198347,1.4844777656574475,23.258982504568113,92.87192134325068,6.8729513312402615,67.06541297795626,0.4496864563194767,0.5886154233372622,-1.0829822295842593,-1.7719653815734608,0.19912549673208735,0.415474496296646,-0.04329560359095233,-1.4166015572102133,-0.5040618735334952,0.7475187379878927,-0.6494582771800631,55.0,55.0,55.0,55.0,,55.0,55.0,55.0,55.0,55.0,55.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,1,1,1,1,1,1,1,1,1,1,1
2019-02-15,0.1851011873448075,0.0870968443558152,0.0635931702085999,0.1942135560220431,-0.014955659064015,0.1139971880292169,-0.7682961947127189,-0.013564645823337,-0.0060523000379513,-0.243369967869852,0.0669426053851344,2.8211098686137954,,-0.652524685683892,-2.0966793564386434,,,-1.8511015160640576,3.5101579400203757,2.342720818977133,1.0654564556340014,3.6998368306871585,-0.2356335300899889,-0.1432719482232861,-0.0532739620267927,-0.2777371739809218,0.1459334822630283,-0.0815708935108171,0.8944363163528292,0.0664700969738793,0.0757576514632496,0.5665506071166208,-0.1074073014940586,-2.6171983864370203,,1.0240712062851811,2.002833550258394,,,1.688822314959486,-3.6137854239624683,-2.211783217340717,-1.7581800613429883,-3.5539756509724008,-0.1189531159930538,-0.5369768980144795,-0.0422098402466543,0.0343280790131688,0.0179651393916201,-0.0952135777415438,0.461670339184986,0.0915030137681035,-0.0771859897218596,-0.1119134260724642,0.0983402085885768,-2.988271548553808,,2.1745771259608953,-2.1486052543638756,,,3.678951298033995,3.2159511762450497,-1.144242617945646,-2.2741205977639454,2.29577907805297,0.0436983377233516,-0.1114490416619924,-0.0507219181409199,0.0976435311969958,-0.0764307044094305,-0.055261699726262,-0.3889954726933202,0.0238417941301067,-0.0600114068732967,-0.2964583551648314,0.1102567088519145,-0.8126614537547112,,1.5745836082294875,-2.5570547320951023,,,-0.35875136663148055,3.505291964641613,1.573715672761463,0.9637380083863778,3.115743954798472,96.00322694494004,10.442585237500923,147.34274104817052,71.76488090405603,76.54180933803393,33.90627206052596,1.333083071834994,24.453648246459007,73.19487948513073,6.355718290790937,82.99991691135841,1.8038949496267005,0.08111402336437279,1.1458319325692239,-0.7512583482991186,0.6738149369651079,0.4666580649309031,-0.2969447185087499,-0.2071548199903309,-0.6874552612121115,-0.8412471915976162,-1.3198630397714175,31.0,31.0,31.0,31.0,31.0,31.0,62.0,31.0,31.0,31.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,1,1,1,1,1,1,1,1,1,1,1
2019-02-22,0.1851011873448075,0.0870968443558152,0.0635931702085999,0.1942135560220431,-0.014955659064015,0.1139971880292169,-0.7682961947127189,-0.013564645823337,-0.0060523000379513,-0.243369967869852,0.0669426053851344,2.8211098686137954,,-0.652524685683892,-2.0966793564386434,,,-1.8511015160640576,3.5101579400203757,2.342720818977133,1.0654564556340014,3.6998368306871585,-0.2356335300899889,-0.1432719482232861,-0.0532739620267927,-0.2777371739809218,0.1459334822630283,-0.0815708935108171,0.8944363163528292,0.0664700969738793,0.0757576514632496,0.5665506071166208,-0.1074073014940586,-2.6171983864370203,,1.0240712062851811,2.002833550258394,,,1.688822314959486,-3.6137854239624683,-2.211783217340717,-1.7581800613429883,-3.5539756509724008,-0.1189531159930538,-0.5369768980144795,-0.0422098402466543,0.0343280790131688,0.0179651393916201,-0.0952135777415438,0.461670339184986,0.0915030137681035,-0.0771859897218596,-0.1119134260724642,0.0983402085885768,-2.988271548553808,,2.1745771259608953,-2.1486052543638756,,,3.678951298033995,3.2159511762450497,-1.144242617945646,-2.2741205977639454,2.29577907805297,0.0436983377233516,-0.1114490416619924,-0.0507219181409199,0.0976435311969958,-0.0764307044094305,-0.055261699726262,-0.3889954726933202,0.0238417941301067,-0.0600114068732967,-0.2964583551648314,0.1102567088519145,-0.8126614537547112,,1.5745836082294875,-2.5570547320951023,,,-0.35875136663148055,3.505291964641613,1.573715672761463,0.9637380083863778,3.115743954798472,96.00322694494004,10.442585237500923,147.34274104817052,71.76488090405603,76.54180933803393,33.90627206052596,1.333083071834994,24.453648246459007,73.19487948513073,6.355718290790937,82.99991691135841,1.8038949496267005,0.08111402336437279,1.1458319325692239,-0.7512583482991186,0.6738149369651079,0.4666580649309031,-0.2969447185087499,-0.2071548199903309,-0.6874552612121115,-0.8412471915976162,-1.3198630397714175,38.0,38.0,38.0,38.0,38.0,38.0,69.0,38.0,38.0,38.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,1,1,1,1,1,1,1,1,1,1,1
2019-03-01,0.1851011873448075,0.0870968443558152,0.0635931702085999,0.1942135560220431,-0.014955659064015,0.1139971880292169,-0.7682961947127189,-0.013564645823337,-0.0060523000379513,-0.243369967869852,0.0669426053851344,2.8211098686137954,,-0.652524685683892,-2.0966793564386434,,,-1.8511015160640576,3.5101579400203757,2.342720818977133,1.0654564556340014,3.6998368306871585,-0.2356335300899889,-0.1432719482232861,-0.0532739620267927,-0.2777371739809218,0.1459334822630283,-0.0815708935108171,0.8944363163528292,0.0664700969738793,0.0757576514632496,0.5665506071166208,-0.1074073014940586,-2.6171983864370203,,1.0240712062851811,2.002833550258394,,,1.688822314959486,-3.6137854239624683,-2.211783217340717,-1.7581800613429883,-3.5539756509724008,-0.1189531159930538,-0.5369768980144795,-0.0422098402466543,0.0343280790131688,0.0179651393916201,-0.0952135777415438,0.461670339184986,0.0915030137681035,-0.0771859897218596,-0.1119134260724642,0.0983402085885768,-2.988271548553808,,2.1745771259608953,-2.1486052543638756,,,3.678951298033995,3.2159511762450497,-1.144242617945646,-2.2741205977639454,2.29577907805297,0.0436983377233516,-0.1114490416619924,-0.0507219181409199,0.0976435311969958,-0.0764307044094305,-0.055261699726262,-0.3889954726933202,0.0238417941301067,-0.0600114068732967,-0.2964583551648314,0.1102567088519145,-0.8126614537547112,,1.5745836082294875,-2.5570547320951023,,,-0.35875136663148055,3.505291964641613,1.573715672761463,0.9637380083863778,3.115743954798472,96.00322694494004,10.442585237500923,147.34274104817052,71.76488090405603,76.54180933803393,33.90627206052596,1.333083071834994,24.453648246459007,73.19487948513073,6.355718290790937,82.99991691135841,1.8038949496267005,0.08111402336437279,1.1458319325692239,-0.7512583482991186,0.6738149369651079,0.4666580649309031,-0.2969447185087499,-0.2071548199903309,-0.6874552612121115,-0.8412471915976162,-1.3198630397714175,45.0,45.0,45.0,45.0,45.0,45.0,76.0,45.0,45.0,45.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1,1,1,1,1,1,1,1,1,1,1
2019-03-08,0.1851011873448075,0.0870968443558152,0.0635931702085999,0.1942135560220431,-0.014955659064015,0.1139971880292169,-0.7682961947127189,-0.013564645823337,-0.0060523000379513,-0.243369967869852,0.0669426053851344,2.8211098686137954,,-0.652524685683892,-2.0966793564386434,,,-1.8511015160640576,3.5101579400203757,2.342720818977133,1.0654564556340014,3.6998368306871585,-0.2356335300899889,-0.1432719482232861,-0.0532739620267927,-0.2777371739809218,0.1459334822630283,-0.0815708935108171,0.8944363163528292,0.0664700969738793,0.0757576514632496,0.5665506071166208,-0.1074073014940586,-2.6171983864370203,,1.0240712062851811,2.002833550258394,,,1.688822314959486,-3.6137854239624683,-2.211783217340717,-1.7581800613429883,-3.5539756509724008,-0.1189531159930538,-0.5369768980144795,-0.0422098402466543,0.0343280790131688,0.0179651393916201,-0.0952135777415438,0.461670339184986,0.0915030137681035,-0.0771859897218596,-0.1119134260724642,0.0983402085885768,-2.988271548553808,,2.1745771259608953,-2.1486052543638756,,,3.678951298033995,3.2159511762450497,-1.144242617945646,-2.2741205977639454,2.29577907805297,0.0436983377233516,-0.1114490416619924,-0.0507219181409199,0.0976435311969958,-0.0764307044094305,-0.055261699726262,-0.3889954726933202,0.0238417941301067,-0.0600114068732967,-0.2964583551648314,0.1102567088519145,-0.8126614537547112,,1.5745836082294875,-2.5570547320951023,,,-0.35875136663148055,3.505291964641613,1.573715672761463,0.9637380083863778,3.115743954798472,96.00322694494004,10.442585237500923,147.34274104817052,71.76488090405603,76.54180933803393,33.90627206052596,1.333083071834994,24.453648246459007,73.19487948513073,6.355718290790937,82.99991691135841,1.8038949496267005,0.08111402336437279,1.1458319325692239,-0.7512583482991186,0.6738149369651079,0.4666580649309031,-0.2969447185087499,-0.2071548199903309,-0.6874552612121115,-0.8412471915976162,-1.3198630397714175,52.0,52.0,52.0,52.0,52.0,52.0,83.0,52.0,52.0,52.0,52.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1,1,1,1,1,1,1,1,1,1,1
