emb_row,site_id,site_name,site_type,month,year,obs_month_start,mean_cloud,n_scenes,patch_px,filename,sensor,emb_model,emb_dim,emb_ok
32,P001,Rotterdam,port,2021_10,2021,2021-10-01,41.230046,1,640,S2_P001_Rotterdam_2021_10.tif,S2,Prithvi-EO-2.0-300M,1024,1
33,P001,Rotterdam,port,2021_11,2021,2021-11-01,24.930755,2,640,S2_P001_Rotterdam_2021_11.tif,S2,Prithvi-EO-2.0-300M,1024,1
34,P001,Rotterdam,port,2021_12,2021,2021-12-01,16.286629333333334,3,640,S2_P001_Rotterdam_2021_12.tif,S2,Prithvi-EO-2.0-300M,1024,1
35,P001,Rotterdam,port,2022_01,2022,2022-01-01,40.18846133333333,3,640,S2_P001_Rotterdam_2022_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
36,P001,Rotterdam,port,2022_02,2022,2022-02-01,17.501621,1,640,S2_P001_Rotterdam_2022_02.tif,S2,Prithvi-EO-2.0-300M,1024,1
37,P001,Rotterdam,port,2022_03,2022,2022-03-01,5.767146250000001,4,640,S2_P001_Rotterdam_2022_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
38,P001,Rotterdam,port,2022_04,2022,2022-04-01,41.91786666666667,3,640,S2_P001_Rotterdam_2022_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
39,P001,Rotterdam,port,2022_05,2022,2022-05-01,18.494089,1,640,S2_P001_Rotterdam_2022_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
40,P001,Rotterdam,port,2022_06,2022,2022-06-01,18.376784,2,640,S2_P001_Rotterdam_2022_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
41,P001,Rotterdam,port,2022_07,2022,2022-07-01,5.6703225,4,640,S2_P001_Rotterdam_2022_07.tif,S2,Prithvi-EO-2.0-300M,1024,1
42,P001,Rotterdam,port,2022_08,2022,2022-08-01,26.914585,5,640,S2_P001_Rotterdam_2022_08.tif,S2,Prithvi-EO-2.0-300M,1024,1
43,P001,Rotterdam,port,2022_09,2022,2022-09-01,44.890045333333326,3,640,S2_P001_Rotterdam_2022_09.tif,S2,Prithvi-EO-2.0-300M,1024,1
44,P001,Rotterdam,port,2022_11,2022,2022-11-01,37.9250305,2,640,S2_P001_Rotterdam_2022_11.tif,S2,Prithvi-EO-2.0-300M,1024,1
45,P001,Rotterdam,port,2022_12,2022,2022-12-01,33.7401675,4,640,S2_P001_Rotterdam_2022_12.tif,S2,Prithvi-EO-2.0-300M,1024,1
46,P001,Rotterdam,port,2023_01,2023,2023-01-01,29.149425,1,640,S2_P001_Rotterdam_2023_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
47,P001,Rotterdam,port,2023_02,2023,2023-02-01,0.147133,1,640,S2_P001_Rotterdam_2023_02.tif,S2,Prithvi-EO-2.0-300M,1024,1
48,P001,Rotterdam,port,2023_03,2023,2023-03-01,27.6043255,2,640,S2_P001_Rotterdam_2023_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
49,P001,Rotterdam,port,2023_04,2023,2023-04-01,28.924801666666667,3,640,S2_P001_Rotterdam_2023_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
50,P001,Rotterdam,port,2023_05,2023,2023-05-01,35.735457000000004,2,640,S2_P001_Rotterdam_2023_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
51,P001,Rotterdam,port,2023_06,2023,2023-06-01,14.3936228,5,640,S2_P001_Rotterdam_2023_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
52,P001,Rotterdam,port,2023_07,2023,2023-07-01,50.954813,1,640,S2_P001_Rotterdam_2023_07.tif,S2,Prithvi-EO-2.0-300M,1024,1
53,P001,Rotterdam,port,2023_08,2023,2023-08-01,28.124028999999997,3,640,S2_P001_Rotterdam_2023_08.tif,S2,Prithvi-EO-2.0-300M,1024,1
54,P001,Rotterdam,port,2023_09,2023,2023-09-01,0.021612,1,640,S2_P001_Rotterdam_2023_09.tif,S2,Prithvi-EO-2.0-300M,1024,1
55,P001,Rotterdam,port,2023_10,2023,2023-10-01,43.947636,2,640,S2_P001_Rotterdam_2023_10.tif,S2,Prithvi-EO-2.0-300M,1024,1
56,P001,Rotterdam,port,2023_11,2023,2023-11-01,57.335832999999994,2,640,S2_P001_Rotterdam_2023_11.tif,S2,Prithvi-EO-2.0-300M,1024,1
57,P001,Rotterdam,port,2023_12,2023,2023-12-01,51.17999,2,640,S2_P001_Rotterdam_2023_12.tif,S2,Prithvi-EO-2.0-300M,1024,1
58,P001,Rotterdam,port,2024_01,2024,2024-01-01,2.392932,1,640,S2_P001_Rotterdam_2024_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
59,P001,Rotterdam,port,2024_03,2024,2024-03-01,12.7733965,2,640,S2_P001_Rotterdam_2024_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
60,P001,Rotterdam,port,2024_04,2024,2024-04-01,33.3085465,2,640,S2_P001_Rotterdam_2024_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
61,P001,Rotterdam,port,2024_05,2024,2024-05-01,11.940564,1,640,S2_P001_Rotterdam_2024_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
62,P001,Rotterdam,port,2024_06,2024,2024-06-01,21.38574,3,640,S2_P001_Rotterdam_2024_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
63,P001,Rotterdam,port,2024_07,2024,2024-07-01,23.6812615,2,640,S2_P001_Rotterdam_2024_07.tif,S2,Prithvi-EO-2.0-300M,1024,1
64,P001,Rotterdam,port,2024_08,2024,2024-08-01,22.113565,5,640,S2_P001_Rotterdam_2024_08.tif,S2,Prithvi-EO-2.0-300M,1024,1
65,P001,Rotterdam,port,2024_09,2024,2024-09-01,36.256089,3,640,S2_P001_Rotterdam_2024_09.tif,S2,Prithvi-EO-2.0-300M,1024,1
66,P001,Rotterdam,port,2024_10,2024,2024-10-01,34.688111,2,640,S2_P001_Rotterdam_2024_10.tif,S2,Prithvi-EO-2.0-300M,1024,1
67,P001,Rotterdam,port,2025_01,2025,2025-01-01,59.870398,1,640,S2_P001_Rotterdam_2025_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
68,P001,Rotterdam,port,2025_02,2025,2025-02-01,34.68650575,4,640,S2_P001_Rotterdam_2025_02.tif,S2,Prithvi-EO-2.0-300M,1024,1
69,P001,Rotterdam,port,2025_03,2025,2025-03-01,37.29462171428572,7,640,S2_P001_Rotterdam_2025_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
70,P001,Rotterdam,port,2025_04,2025,2025-04-01,13.305567399999996,5,640,S2_P001_Rotterdam_2025_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
71,P001,Rotterdam,port,2025_05,2025,2025-05-01,29.707754,4,640,S2_P001_Rotterdam_2025_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
72,P001,Rotterdam,port,2025_06,2025,2025-06-01,24.434963,3,640,S2_P001_Rotterdam_2025_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
73,P001,Rotterdam,port,2025_07,2025,2025-07-01,38.058198749999995,4,640,S2_P001_Rotterdam_2025_07.tif,S2,Prithvi-EO-2.0-300M,1024,1
74,P001,Rotterdam,port,2025_08,2025,2025-08-01,34.1098975,2,640,S2_P001_Rotterdam_2025_08.tif,S2,Prithvi-EO-2.0-300M,1024,1
75,P001,Rotterdam,port,2025_09,2025,2025-09-01,25.4404015,2,640,S2_P001_Rotterdam_2025_09.tif,S2,Prithvi-EO-2.0-300M,1024,1
76,P001,Rotterdam,port,2025_10,2025,2025-10-01,48.387808,1,640,S2_P001_Rotterdam_2025_10.tif,S2,Prithvi-EO-2.0-300M,1024,1
77,P001,Rotterdam,port,2025_12,2025,2025-12-01,24.681045333333337,3,640,S2_P001_Rotterdam_2025_12.tif,S2,Prithvi-EO-2.0-300M,1024,1
78,P001,Rotterdam,port,2026_01,2026,2026-01-01,15.392249,3,640,S2_P001_Rotterdam_2026_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
79,P001,Rotterdam,port,2026_03,2026,2026-03-01,2.3213856666666666,3,640,S2_P001_Rotterdam_2026_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
80,P001,Rotterdam,port,2026_04,2026,2026-04-01,26.64020371428571,7,640,S2_P001_Rotterdam_2026_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
81,P001,Rotterdam,port,2026_05,2026,2026-05-01,17.7944334,5,640,S2_P001_Rotterdam_2026_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
82,P001,Rotterdam,port,2026_06,2026,2026-06-01,39.796461,6,640,S2_P001_Rotterdam_2026_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
83,P002,Fujairah,terminal,2019_01,2019,2019-01-01,30.884456199999995,5,320,S2_P002_Fujairah_2019_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
84,P002,Fujairah,terminal,2019_02,2019,2019-02-01,8.160787800000001,5,320,S2_P002_Fujairah_2019_02.tif,S2,Prithvi-EO-2.0-300M,1024,1
85,P002,Fujairah,terminal,2019_03,2019,2019-03-01,6.221385999999999,4,320,S2_P002_Fujairah_2019_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
86,P002,Fujairah,terminal,2019_04,2019,2019-04-01,17.803443800000004,5,320,S2_P002_Fujairah_2019_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
87,P002,Fujairah,terminal,2019_05,2019,2019-05-01,34.9782134,5,320,S2_P002_Fujairah_2019_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
88,P002,Fujairah,terminal,2019_06,2019,2019-06-01,33.81697316666666,6,320,S2_P002_Fujairah_2019_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
89,P002,Fujairah,terminal,2019_07,2019,2019-07-01,22.176396666666665,6,320,S2_P002_Fujairah_2019_07.tif,S2,Prithvi-EO-2.0-300M,1024,1
90,P002,Fujairah,terminal,2019_08,2019,2019-08-01,18.068168,6,320,S2_P002_Fujairah_2019_08.tif,S2,Prithvi-EO-2.0-300M,1024,1
91,P002,Fujairah,terminal,2019_09,2019,2019-09-01,4.481882400000001,5,320,S2_P002_Fujairah_2019_09.tif,S2,Prithvi-EO-2.0-300M,1024,1
92,P002,Fujairah,terminal,2019_10,2019,2019-10-01,10.254037857142858,7,320,S2_P002_Fujairah_2019_10.tif,S2,Prithvi-EO-2.0-300M,1024,1
93,P002,Fujairah,terminal,2019_11,2019,2019-11-01,21.300564500000004,6,320,S2_P002_Fujairah_2019_11.tif,S2,Prithvi-EO-2.0-300M,1024,1
94,P002,Fujairah,terminal,2019_12,2019,2019-12-01,19.858205333333338,6,320,S2_P002_Fujairah_2019_12.tif,S2,Prithvi-EO-2.0-300M,1024,1
95,P002,Fujairah,terminal,2020_01,2020,2020-01-01,17.542438,5,320,S2_P002_Fujairah_2020_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
96,P002,Fujairah,terminal,2020_02,2020,2020-02-01,18.6172425,6,320,S2_P002_Fujairah_2020_02.tif,S2,Prithvi-EO-2.0-300M,1024,1
97,P002,Fujairah,terminal,2020_03,2020,2020-03-01,15.982301333333334,3,320,S2_P002_Fujairah_2020_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
98,P002,Fujairah,terminal,2020_04,2020,2020-04-01,12.9942982,5,320,S2_P002_Fujairah_2020_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
99,P002,Fujairah,terminal,2020_05,2020,2020-05-01,30.69380316666667,6,320,S2_P002_Fujairah_2020_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
100,P002,Fujairah,terminal,2020_06,2020,2020-06-01,29.22564033333333,6,320,S2_P002_Fujairah_2020_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
101,P002,Fujairah,terminal,2020_07,2020,2020-07-01,31.930099,6,320,S2_P002_Fujairah_2020_07.tif,S2,Prithvi-EO-2.0-300M,1024,1
102,P002,Fujairah,terminal,2020_08,2020,2020-08-01,27.069399333333337,6,320,S2_P002_Fujairah_2020_08.tif,S2,Prithvi-EO-2.0-300M,1024,1
103,P002,Fujairah,terminal,2020_09,2020,2020-09-01,0.7135491666666667,6,320,S2_P002_Fujairah_2020_09.tif,S2,Prithvi-EO-2.0-300M,1024,1
104,P002,Fujairah,terminal,2020_10,2020,2020-10-01,0.208118,6,320,S2_P002_Fujairah_2020_10.tif,S2,Prithvi-EO-2.0-300M,1024,1
105,P002,Fujairah,terminal,2020_11,2020,2020-11-01,8.289508166666666,6,320,S2_P002_Fujairah_2020_11.tif,S2,Prithvi-EO-2.0-300M,1024,1
106,P002,Fujairah,terminal,2020_12,2020,2020-12-01,3.5047076666666666,6,320,S2_P002_Fujairah_2020_12.tif,S2,Prithvi-EO-2.0-300M,1024,1
107,P002,Fujairah,terminal,2021_01,2021,2021-01-01,3.374931,6,320,S2_P002_Fujairah_2021_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
108,P002,Fujairah,terminal,2021_02,2021,2021-02-01,5.2852545,6,320,S2_P002_Fujairah_2021_02.tif,S2,Prithvi-EO-2.0-300M,1024,1
109,P002,Fujairah,terminal,2021_03,2021,2021-03-01,4.7327821666666665,6,320,S2_P002_Fujairah_2021_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
