model,RMSE,MAE,DirAcc,RMSE_skill_vs_M0,DM_stat,DM_p_better_than_M0,CW_p_vs_M0
M0_RW,4.1517846708743695,3.01136186770428,,0.0,,,
M1_Ridge,4.256348943170461,3.090131492098012,0.4980544747081712,-0.02518537944167276,1.5850618259454552,0.9429066209831213,0.529925630459628
M1_XGB,4.3684287377735025,3.265141454047667,0.5525291828793775,-0.0521809496573693,2.1205623748796327,0.9825397846770562,0.10443229245179575
Mfin_TCN,4.249855085312962,3.1153579377589478,0.49416342412451364,-0.023621267048500094,2.011308901070138,0.9773295200392802,0.3153123122722086
Mship_GNN,4.167583924094688,3.012907216969837,0.5058365758754864,-0.0038054124846969017,0.5428751749501938,0.7061559614232158,0.49642770688224347
Mrs_RS,4.2473340827514265,3.1037330644893424,0.4591439688715953,-0.02301405767677589,2.373727716411811,0.9908260022789304,0.9281138079154374
Mfusion_Fusion,4.147268403326599,3.0189183152202634,0.5291828793774319,0.0010877894461754911,-0.14334762776184912,0.4430642053648743,0.16586889151351691
Mfinrs_FinRS,4.252854074526352,3.106046131444684,0.47470817120622566,-0.024343604416916298,1.6351752617791613,0.9483793679970745,0.768963467223124
Mfull_M4rep,4.204943374355334,3.0570236712666747,0.5019455252918288,-0.01280381997021296,2.1892964062053935,0.9852607569512665,0.8944291166651891
Mconcat_M4concat,4.320439963692605,3.082789113468392,0.49416342412451364,-0.04062236030721622,1.1326935228906168,0.8707986323473392,0.6374368985471914
Naive_DirPersist,,,0.5097276264591439,,,,
