combo,fusion,config,RMSE,skill_vs_M0,DirAcc,CW_p_vs_M0,DM_p_vs_M1,n_test
Mfinship,concat,finship_concat,4.1491941666074545,0.0006239495716354737,0.5252918287937743,0.19528917877501661,0.04270080630716529,257
Mfinship,gated,finship,4.147268403326599,0.0010877894461754911,0.5291828793774319,0.16586889151351691,0.06077577656204464,257
Mfinship,xattn,finship_xattn,4.121052976364444,0.007402044408881481,0.5486381322957199,0.04074213212672306,0.05537638039326761,257
Mfinrs,concat,finrs_concat,4.231711930029118,-0.019251301666836307,0.5330739299610895,0.9709595495921144,0.3725776373060329,257
Mfinrs,gated,finrs,4.252854074526352,-0.024343604416916298,0.47470817120622566,0.768963467223124,0.48511519158999367,257
Mfinrs,xattn,finrs_xattn,4.396171812238786,-0.05886315421867683,0.45525291828793774,0.8983603042551367,0.9132221833696179,257
Mfull,concat,m4concat,4.320439963692605,-0.04062236030721622,0.49416342412451364,0.6374368985471914,0.6497723845310719,257
Mfull,gated,m4rep,4.204943374355334,-0.01280381997021296,0.5019455252918288,0.8944291166651891,0.2389903562791369,257
Mfull,xattn,m4xattn,4.146707092423534,0.0012229869449771336,0.5642023346303502,0.01781794726253283,0.08780516928514348,257
