rs_kind,config,seed,RMSE,skill_vs_M0,DirAcc,CW_p_vs_M0
meanpool,m4rep,42,4.204943374355334,-0.01280381997021296,0.5019455252918288,0.8944291166651891
meanpool,m4rep,0,4.180625647237153,-0.006946645514905647,0.49416342412451364,0.7726228624491354
meanpool,m4rep,1,4.200958801663879,-0.011844094693657103,0.49416342412451364,0.7172624177822702
meanpool,m4rep,2,4.160249240342741,-0.002038778534867669,0.4591439688715953,0.11125556440455919
meanpool,m4rep,3,4.238100758015884,-0.020790116536399283,0.47470817120622566,0.9327042701558197
meanpool_anom,m4rep,42,4.149679581079882,0.0005070325080333005,0.5330739299610895,0.04178872312360793
meanpool_anom,m4rep,0,4.192835220599679,-0.009887446719789583,0.42412451361867703,0.9282712039454567
meanpool_anom,m4rep,1,4.186231663917111,-0.008296912237379273,0.48249027237354086,0.7082346728790455
meanpool_anom,m4rep,2,4.15733041031174,-0.0013357483292124606,0.4980544747081712,0.14968623770786682
meanpool_anom,m4rep,3,4.185881220091677,-0.008212504241007945,0.5058365758754864,0.8297973833343943
