comparison,small,large,valid_test,p_value,CW_stat,CW_p,DM_stat,DM_p
RS incr. (M4rep vs fin+ship),Mfusion_Fusion,Mfull_M4rep,CW(nested),0.6429105613376206,-0.3662495419353449,0.6429105613376206,1.2708645803090204,0.89752563107239
shipping incr. (fusion vs fin),Mfin_TCN,Mfusion_Fusion,CW(nested),0.04273086426956596,1.719838904870439,0.04273086426956596,-0.9031165190568098,0.18366325817678353
rs incr. (finrs vs fin),Mfin_TCN,Mfinrs_FinRS,CW(nested),0.4833803283770841,0.041671396097316946,0.4833803283770841,1.3555601912883979,0.9117736112070643
full rep vs flat M1,M1_Ridge,Mfull_M4rep,DM(non-nested),0.20861369340885128,2.605766252728917,0.004583449814406393,-0.8125773636375399,0.20861369340885128
fin+rs rep vs flat M1,M1_Ridge,Mfinrs_FinRS,DM(non-nested),0.8160003633219006,0.7881321193651127,0.21530971467317217,0.9018470411080851,0.8160003633219006
rs-rep vs flat M1,M1_Ridge,Mrs_RS,DM(non-nested),0.5612946790135804,1.2624419948220809,0.10339489305397032,0.1544092629096135,0.5612946790135804
shipping-rep vs flat M1,M1_Ridge,Mship_GNN,DM(non-nested),0.10698240962127693,2.9312944930722593,0.001687763105193807,-1.245881863367385,0.10698240962127693
concat rep vs flat M1,M1_Ridge,Mconcat_M4concat,DM(non-nested),0.21341532637443655,2.1103850350605207,0.01741260220638574,-0.7959148094566978,0.21341532637443655
gating vs concat,Mconcat_M4concat,Mfull_M4rep,DM(non-nested),0.584248602203879,0.5617929307033993,0.2871285545792448,0.21299534757215335,0.584248602203879
