rs_kind,config,RMSE,skill_vs_M0,DirAcc,CW_p_vs_M0,DM_p_vs_M1
meanpool,rs,4.2473340827514265,-0.02301405767677589,0.4591439688715953,0.9281138079154374,0.4572924772135197
meanpool,finrs,4.252854074526352,-0.024343604416916298,0.47470817120622566,0.768963467223124,0.48511519158999367
meanpool,m4rep,4.204943374355334,-0.01280381997021296,0.5019455252918288,0.8944291166651891,0.2389903562791369
meanpool_anom,rs,4.268694635691384,-0.02815896634456072,0.48249027237354086,0.7993595398393217,0.5481207251267739
meanpool_anom,finrs,4.317816090923604,-0.039990373588972394,0.46303501945525294,0.8814762853342496,0.7444948021855637
meanpool_anom,m4rep,4.149679581079882,0.0005070325080333005,0.5330739299610895,0.04178872312360793,0.05579302742463408
