comparison,small,large,valid_test,p_value,CW_stat,CW_p,DM_stat,DM_p
RS incr. (M4rep vs fin+ship),Mfusion_Fusion,Mfull_M4rep,CW(nested),0.7818663041670473,-0.7785117342946948,0.7818663041670473,1.6449432796611996,0.9493955964484768
shipping incr. (fusion vs fin),Mfin_TCN,Mfusion_Fusion,CW(nested),0.0005708072250246721,3.253079767844142,0.0005708072250246721,-1.7293636105440724,0.04247473672742831
rs incr. (finrs vs fin),Mfin_TCN,Mfinrs_FinRS,CW(nested),0.01870162041217205,2.0813351405876057,0.01870162041217205,0.054652382939073506,0.5217709838537485
full rep vs flat M1,M1_Ridge,Mfull_M4rep,DM(non-nested),0.2389903562791369,2.5457801425190487,0.005451691828337268,-0.7105972442159405,0.2389903562791369
fin+rs rep vs flat M1,M1_Ridge,Mfinrs_FinRS,DM(non-nested),0.48511519158999367,1.50766654708978,0.06581994573245697,-0.03735585573093295,0.48511519158999367
rs-rep vs flat M1,M1_Ridge,Mrs_RS,DM(non-nested),0.4572924772135197,1.909213081855132,0.028117304697104717,-0.10736318173151606,0.4572924772135197
shipping-rep vs flat M1,M1_Ridge,Mship_GNN,DM(non-nested),0.10625106118334957,3.0184087698386737,0.0012705294858657012,-1.2498324856566068,0.10625106118334957
concat rep vs flat M1,M1_Ridge,Mconcat_M4concat,DM(non-nested),0.6497723845310719,0.8375803235343217,0.20113322376013598,0.3851376501091087,0.6497723845310719
gating vs concat,Mconcat_M4concat,Mfull_M4rep,DM(non-nested),0.21633060384704705,1.5141575885100003,0.0649929377537033,-0.7858857599056713,0.21633060384704705
