experiment,test_accuracy,test_f1,test_auc
M1,0.4935064935064935,0.625,0.5115646258503401
M2,0.6103896103896104,0.625,0.5081632653061224
M3,0.4935064935064935,0.6037735849056604,0.5591836734693877
M4,0.5454545454545454,0.6067415730337079,0.5666666666666667
