date,gate_finance_mean,gate_finance_std,gate_finance_lo,gate_finance_hi,gate_rs_mean,gate_rs_std,gate_rs_lo,gate_rs_hi,gate_shipping_mean,gate_shipping_std,gate_shipping_lo,gate_shipping_hi
2021-01-22,0.5152245461940765,0.20884281659227508,0.30638172960180143,0.7240673627863516,0.26937741537888843,0.07744502538681848,0.19193238999206996,0.3468224407657069,0.21539800614118576,0.14296127639057363,0.07243672975061213,0.3583592825317594
2021-01-29,0.5171573062737783,0.20370662972730771,0.31345067654647063,0.720863936001086,0.27262041966120404,0.07102250807290139,0.20159791158830265,0.34364292773410543,0.2102222517132759,0.13557330594775366,0.07464894576552225,0.34579555766102954
2021-02-05,0.5168126324812571,0.20283480755485137,0.3139778249264057,0.7196474400361085,0.27402622004350025,0.07366714463483881,0.20035907540866144,0.34769336467833906,0.2091611735522747,0.13289067442124244,0.07627049913103226,0.3420518479735172
2021-02-12,0.5170189241568247,0.20182963361652242,0.3151892905403023,0.7188485577733471,0.26945291956265766,0.07075535664057962,0.19869756292207802,0.3402082762032373,0.21352817739049593,0.13636722656834546,0.07716095082215046,0.3498954039588414
2021-02-19,0.5164685547351837,0.20048418285140576,0.3159843718837779,0.7169527375865895,0.27551663915316266,0.07269939745400504,0.2028172416991576,0.3482160366071677,0.20801481852928796,0.1308781850974898,0.07713663343179816,0.33889300362677777
2021-02-26,0.5286953449249268,0.19891633081156332,0.3297790141133634,0.7276116757364901,0.2651377121607463,0.06502879587020016,0.2001089162905461,0.33016650803094644,0.2061669553319613,0.13551051758995797,0.07065643774200334,0.3416774729219193
2021-03-05,0.5238766769568125,0.19692454990892075,0.3269521270478918,0.7208012268657332,0.2688358922799428,0.0674446483161536,0.2013912439637892,0.3362805405960964,0.2072873997191588,0.13385040577396798,0.07343699394519082,0.3411378054931268
2021-03-12,0.5277703702449799,0.20410092732770468,0.3236694429172752,0.7318712975726845,0.2647189795970917,0.07572920497182616,0.1889897746252655,0.34044818456891784,0.20751067499319711,0.13351793526308495,0.07399273973011217,0.34102861025628206
2021-03-19,0.5248140096664429,0.20014667828278007,0.32466733138366277,0.724960687949223,0.2696608453989029,0.07093447583738023,0.19872636956152268,0.3405953212362831,0.205525158594052,0.1331525010820975,0.07237265751195449,0.3386776596761495
2021-03-26,0.5236968000729879,0.19902922091962366,0.32466757915336425,0.7227260209926116,0.2707588275273641,0.0704658391492676,0.20029298837809648,0.34122466667663165,0.20554435004790625,0.12997866276163866,0.07556568728626759,0.3355230128095449
