kind,name,att_mean,att_std,rank_mean,rank_std,freq_top5,n_seeds
rs,P004,0.11517605503197233,0.009231074676026374,2.0,1.4142135623730951,3,3
rs,P001,0.10414127538272998,0.01899179025115736,4.333333333333333,2.494438257849294,2,3
rs,P008,0.0961976113563691,0.016065986571111454,4.666666666666667,3.0912061651652345,2,3
rs,P009,0.09177956704518982,0.018016315920188493,5.333333333333333,4.0276819911981905,2,3
rs,P007,0.08922568939797744,0.006512078196172132,5.333333333333333,1.247219128924647,2,3
rs,P006,0.10250885066142651,0.01714007908268485,4.666666666666667,1.8856180831641267,1,3
rs,P002,0.08414162179858614,0.01585686222265754,7.666666666666667,3.299831645537222,1,3
rs,P011,0.0808268783435264,0.00981467898440615,7.666666666666667,2.8674417556808756,1,3
rs,P003,0.08069360150681415,0.013598841372879745,7.333333333333333,2.6246692913372702,1,3
rs,P005,0.0788868840448027,0.0076441406444698835,8.0,0.816496580927726,0,3
rs,P010,0.07642196599833773,0.004821021412188452,9.0,0.816496580927726,0,3
ship,hormuz,0.08075664510277623,0.013247126613365353,3.3333333333333335,2.0548046676563256,2,3
ship,P003,0.06984752392950172,0.016174274596256425,5.0,4.96655480858378,2,3
ship,P009,0.06315320458498103,0.016448821115149635,6.666666666666667,4.642796092394706,2,3
ship,P007,0.06432586466611499,0.003765651797314717,6.666666666666667,1.699673171197595,1,3
ship,P002,0.06350229340261175,0.011173702520060003,6.333333333333333,4.109609335312651,1,3
ship,P006,0.0629986702276082,0.00973873455073845,6.666666666666667,2.0548046676563256,1,3
ship,suez,0.06152344849732211,0.016118225019248533,9.0,4.320493798938574,1,3
ship,P010,0.059943030658993396,0.008528531688547683,7.0,2.943920288775949,1,3
ship,P001,0.059699275825008384,0.017858122657941344,9.333333333333334,4.921607686744467,1,3
ship,P005,0.05811741110299812,0.012589908521381971,9.0,3.7416573867739413,1,3
ship,mandeb,0.056863684818796674,0.025593295573648565,11.0,6.377042156569663,1,3
ship,panama,0.05677419283288989,0.012530152508916578,11.0,4.96655480858378,1,3
ship,P011,0.05772303039028071,0.004638353304324375,9.0,0.816496580927726,0,3
ship,malacca,0.050016307187763114,0.010165880263668131,12.333333333333334,3.6817870057290873,0,3
ship,P008,0.045854877325103426,0.006475507540143734,14.0,1.632993161855452,0,3
ship,P004,0.04557007954736155,0.009943804310571559,13.333333333333334,2.8674417556808756,0,3
ship,cape,0.0433304619135265,0.01251672234662326,13.333333333333334,4.4969125210773475,0,3
