period,masked_node,n_weeks,original_RMSE,masked_RMSE,delta_RMSE,delta_RMSE_pct
full OOS,Hormuz,257,4.145610653311856,4.145457461176323,-0.00015319213553244282,-0.003695285166493978
full OOS,Suez,257,4.145610653311856,4.145546131328611,-6.452198324513603e-05,-0.0015563927401984756
full OOS,Malacca,257,4.145610653311856,4.145592777714739,-1.7875597116301378e-05,-0.0004311933418543745
full OOS,Mandeb,257,4.145610653311856,4.1457802528617975,0.00016959954994177906,0.00409106315391039
full OOS,Panama,257,4.145610653311856,4.145640237243029,2.958393117324931e-05,0.0007136205892654957
full OOS,Cape,257,4.145610653311856,4.1461260058289415,0.0005153525170857876,0.01243128118348924
full OOS,Hormuz+Suez+Mandeb+Cape,257,4.145610653311856,4.1461642453702705,0.0005535920584147647,0.013353691523643185
2021,Hormuz,50,3.01352171476674,3.0136090120825223,8.729731578238642e-05,0.002896853716194414
2021,Suez,50,3.01352171476674,3.0138825411295285,0.00036082636278855773,0.011973577659007972
2021,Malacca,50,3.01352171476674,3.013606209490835,8.449472409521874e-05,0.002803853168908965
2021,Mandeb,50,3.01352171476674,3.0136773386488755,0.00015562388213563594,0.005164186518813452
2021,Panama,50,3.01352171476674,3.013491547600801,-3.0167165939065654e-05,-0.0010010601812271425
2021,Cape,50,3.01352171476674,3.0147435208147337,0.001221806047993823,0.040544126229669075
2021,Hormuz+Suez+Mandeb+Cape,50,3.01352171476674,3.015209978915739,0.0016882641489992523,0.05602296279221264
2022,Hormuz,52,6.612841821083311,6.612546744055913,-0.00029507702739817177,-0.004462181848319258
2022,Suez,52,6.612841821083311,6.612557037668196,-0.00028478341511473104,-0.0043065209000880955
2022,Malacca,52,6.612841821083311,6.613100490947967,0.0002586698646558361,0.0039116293970797855
2022,Mandeb,52,6.612841821083311,6.613182313900841,0.00034049281753034677,0.005148963588474942
2022,Panama,52,6.612841821083311,6.612753081167326,-8.873991598523645e-05,-0.001341933141396634
2022,Cape,52,6.612841821083311,6.613603472302765,0.0007616512194541514,0.011517759536094907
2022,Hormuz+Suez+Mandeb+Cape,52,6.612841821083311,6.613524019289403,0.000682198206091833,0.010316263787180091
2023,Hormuz,52,3.79010893018202,3.790086135725646,-2.2794456373986804e-05,-0.0006014195579551185
2023,Suez,52,3.79010893018202,3.7905342575859096,0.0004253274038896748,0.01122203640382402
2023,Malacca,52,3.79010893018202,3.789821503603339,-0.00028742657868097155,-0.007583596777183121
2023,Mandeb,52,3.79010893018202,3.7895718132697023,-0.0005371169123176145,-0.014171542882057686
2023,Panama,52,3.79010893018202,3.790433923839184,0.00032499365716409656,0.008574784080117581
2023,Cape,52,3.79010893018202,3.790588536202706,0.00047960602068597424,0.012654148720292469
2023,Hormuz+Suez+Mandeb+Cape,52,3.79010893018202,3.790473535776714,0.0003646055946942006,0.00961992389691968
2024,Hormuz,52,3.0827395233669748,3.082334498299156,-0.0004050250678186984,-0.013138478445828827
2024,Suez,52,3.0827395233669748,3.082548133484569,-0.00019138988240596788,-0.00620843509336888
2024,Malacca,52,3.0827395233669748,3.0824661529321444,-0.0002733704348303334,-0.008867775975174297
2024,Mandeb,52,3.0827395233669748,3.0836915305798946,0.0009520072129198809,0.030881857052911243
2024,Panama,52,3.0827395233669748,3.082927415893949,0.0001878925269740428,0.006094985500726402
2024,Cape,52,3.0827395233669748,3.0828651405758074,0.00012561720883264016,0.004074856402258575
2024,Hormuz+Suez+Mandeb+Cape,52,3.0827395233669748,3.083599325857743,0.0008598024907682245,0.027890857604129238
2025,Hormuz,51,2.9627386225069015,2.9627023207953536,-3.6301711547892523e-05,-0.0012252755363650891
2025,Suez,51,2.9627386225069015,2.9622201157005716,-0.0005185068063298104,-0.017500929794844744
2025,Malacca,51,2.9627386225069015,2.962604529329426,-0.00013409317747559157,-0.004525987424508493
2025,Mandeb,51,2.9627386225069015,2.9626948083046085,-4.3814202292935533e-05,-0.0014788412977084775
2025,Panama,51,2.9627386225069015,2.9625559866565636,-0.00018263585033784224,-0.006164426687871316
2025,Cape,51,2.9627386225069015,2.962661710225562,-7.691228133932526e-05,-0.002595986050035748
2025,Hormuz+Suez+Mandeb+Cape,51,2.9627386225069015,2.962017742179942,-0.0007208803269596054,-0.024331553296108588
Russia–Ukraine,Hormuz,16,8.821692731134869,8.821616045911908,-7.668522296100377e-05,-0.0008692801404253103
Russia–Ukraine,Suez,16,8.821692731134869,8.821309036038231,-0.000383695096637382,-0.004349449797580451
Russia–Ukraine,Malacca,16,8.821692731134869,8.82128150070743,-0.0004112304274386247,-0.004661581852505314
Russia–Ukraine,Mandeb,16,8.821692731134869,8.822028785075608,0.0003360539407388785,0.003809404283061646
Russia–Ukraine,Panama,16,8.821692731134869,8.82156067871309,-0.00013205242177960486,-0.0014969057051117396
Russia–Ukraine,Cape,16,8.821692731134869,8.823101601436019,0.0014088703011498893,0.015970521124342163
Russia–Ukraine,Hormuz+Suez+Mandeb+Cape,16,8.821692731134869,8.823507076897622,0.001814345762753078,0.02056686645126593
EU RU oil ban,Hormuz,16,5.058500147122012,5.056791986003639,-0.0017081611183726864,-0.03376813420365998
EU RU oil ban,Suez,16,5.058500147122012,5.059137589519068,0.0006374423970560983,0.01260141106091961
EU RU oil ban,Malacca,16,5.058500147122012,5.058019393452646,-0.0004807536693656189,-0.00950387773812622
EU RU oil ban,Mandeb,16,5.058500147122012,5.058674580481644,0.00017443335963207574,0.003448321726962078
EU RU oil ban,Panama,16,5.058500147122012,5.058787683652463,0.00028753653045132666,0.00568422500917265
