channel,node_id,feature,group,mean_abs_shap
choke,cape,pw_capacity_tanker,PortWatch_chokepoint,2.8896438e-06
aoi,P001,gfw_n_visits,GFW,2.8412228e-06
choke,malacca,gfw_total_vessels,GFW,2.8282536e-06
aoi,P003,sar_detections_dark,SAR,2.769112e-06
choke,malacca,gfw_other_hours,GFW,2.7640856e-06
aoi,P001,gfw_self_loops,GFW,2.7063218e-06
choke,panama,pw_tanker_cap_share,PortWatch_chokepoint,2.67704e-06
choke,mandeb,gfw_other_share,GFW,2.6647858e-06
choke,cape,gfw_mean_presence_hours_per_vessel,GFW,2.6507532e-06
choke,cape,pw_n_tanker,PortWatch_chokepoint,2.5868947e-06
choke,malacca,gfw_total_hours,GFW,2.5840768e-06
aoi,P002,pw_import_tanker,PortWatch_directional,2.5332834e-06
choke,malacca,gfw_cargo_hours,GFW,2.5154818e-06
choke,hormuz,sar_detections_total,SAR,2.510376e-06
choke,malacca,pw_capacity,PortWatch_chokepoint,2.4804108e-06
aoi,P002,gfw_dwell_hrs_mean,GFW,2.408463e-06
aoi,P002,sar_detections_dark,SAR,2.2816694e-06
choke,mandeb,pw_tanker_share,PortWatch_chokepoint,2.1598908e-06
aoi,P009,sar_dark_share,SAR,2.1394633e-06
aoi,P001,gfw_dwell_hrs_median,GFW,2.0859827e-06
choke,malacca,pw_n_tanker_wow_pct,PortWatch_chokepoint,2.0627344e-06
aoi,P008,gfw_dwell_hrs_median,GFW,2.047449e-06
choke,panama,pw_tanker_share,PortWatch_chokepoint,2.0262412e-06
choke,hormuz,pw_tanker_cap_share,PortWatch_chokepoint,1.9976321e-06
aoi,P004,sar_dark_share,SAR,1.9885888e-06
aoi,P009,sar_detections_dark,SAR,1.9552597e-06
choke,hormuz,gfw_total_hours,GFW,1.899245e-06
choke,cape,pw_tanker_share,PortWatch_chokepoint,1.859185e-06
aoi,P006,pw_portcalls_tanker,PortWatch_directional,1.8281012e-06
choke,hormuz,gfw_total_vessels,GFW,1.8280115e-06
choke,malacca,sar_detections_total,SAR,1.8273652e-06
aoi,P002,gfw_n_visits,GFW,1.7264916e-06
choke,suez,sar_detections_total,SAR,1.7183347e-06
aoi,P010,sar_dark_share,SAR,1.7136215e-06
choke,malacca,gfw_total_hours_mom_pct,GFW,1.6351128e-06
aoi,P001,gfw_dwell_hrs_mean,GFW,1.6222551e-06
aoi,P006,pw_export_tanker,PortWatch_directional,1.590738e-06
aoi,P010,sar_detections_dark,SAR,1.5579313e-06
aoi,P009,gfw_dwell_hrs_mean,GFW,1.5570521e-06
choke,suez,gfw_cargo_hours,GFW,1.512889e-06
choke,hormuz,gfw_other_hours,GFW,1.4886923e-06
aoi,P011,sar_detections_total,SAR,1.454153e-06
choke,panama,gfw_cargo_hours,GFW,1.4433115e-06
aoi,P009,pw_portcalls_cargo,PortWatch_directional,1.4293473e-06
aoi,P005,pw_portcalls_tanker,PortWatch_directional,1.4212512e-06
aoi,P006,gfw_dwell_hrs_median,GFW,1.3421821e-06
choke,malacca,gfw_mean_presence_hours_per_vessel,GFW,1.3406059e-06
choke,panama,gfw_other_share,GFW,1.336648e-06
aoi,P001,sar_detections_dark,SAR,1.3158549e-06
aoi,P002,sar_dark_share,SAR,1.2849248e-06
choke,malacca,pw_avg_tanker_size,PortWatch_chokepoint,1.1989715e-06
choke,mandeb,gfw_total_vessels,GFW,1.1916568e-06
choke,malacca,gfw_other_share,GFW,1.1864761e-06
choke,panama,pw_n_tanker,PortWatch_chokepoint,1.1844236e-06
aoi,P005,sar_detections_total,SAR,1.1713448e-06
aoi,P007,pw_export_tanker,PortWatch_directional,1.1458592e-06
choke,suez,gfw_total_vessels,GFW,1.1127878e-06
aoi,P009,gfw_n_visits,GFW,1.1044272e-06
choke,panama,sar_detections_dark,SAR,1.0244927e-06
choke,malacca,pw_tanker_share,PortWatch_chokepoint,1.0212725e-06
choke,malacca,pw_tanker_cap_share,PortWatch_chokepoint,9.959379e-07
choke,hormuz,gfw_bunker_hours,GFW,9.940131e-07
aoi,P010,sar_detections_total,SAR,9.611049e-07
aoi,P009,gfw_self_loops,GFW,9.563631e-07
choke,cape,gfw_total_vessels,GFW,8.8715126e-07
choke,malacca,gfw_bunker_hours,GFW,8.3985657e-07
aoi,P002,pw_portcalls_tanker,PortWatch_directional,8.3371833e-07
choke,cape,gfw_other_share,GFW,8.319963e-07
aoi,P002,gfw_self_loops,GFW,8.192844e-07
aoi,P002,gfw_dwell_hrs_median,GFW,8.0840164e-07
aoi,P010,pw_export_tanker,PortWatch_directional,8.0754177e-07
aoi,P011,pw_portcalls_tanker,PortWatch_directional,7.8219887e-07
aoi,P005,pw_portcalls_cargo,PortWatch_directional,7.734512e-07
