period_id,label,kind,n_weeks,RMSE_M0,RMSE_DeepS1,RMSE_intact,skill_intact_vs_M0_pct,skill_intact_vs_S1_pct,RMSE_gfw,delta_RMSE_gfw,damage_gfw_pct,RMSE_portwatch,delta_RMSE_portwatch,damage_portwatch_pct,RMSE_shipping,delta_RMSE_shipping,damage_shipping_pct
full,Full OOS,all,257,4.1517846708743695,4.249855085312962,4.145610653311856,0.14870755715791217,2.4528938024584335,4.144823465906323,-0.000787187405532741,-0.01898845481071998,4.146207962197593,0.0005973088857373909,0.014408224401396552,4.144829763795717,-0.0007808895161387497,-0.018836537761091066
year_2021,2021,calendar,50,2.954908458818988,3.132163559427324,3.01352171476674,-1.9835895684964244,3.7878559790880173,3.0161277750755686,0.002606060308828706,0.08647889597273029,3.0147451123631557,0.001223397596415765,0.040596939800408016,3.019623788090691,0.006102073323951185,0.2024897744738352
year_2022,2022,calendar,52,6.664388280543545,6.692943776582054,6.612841821083311,0.7734612284029385,1.196812018338056,6.608579001431119,-0.004262819652192107,-0.06446274941283026,6.614074817056036,0.0012329959727246376,0.018645478087697676,6.608351971627339,-0.0044898494559717506,-0.0678959149099434
year_2023,2023,calendar,52,3.7763306365999094,3.9480593089358247,3.79010893018202,-0.3648593014756729,4.000709371217104,3.7913876166539078,0.001278686471887891,0.03373745967312214,3.789523356358366,-0.0005855738236539842,-0.015450052609067289,3.789164317600367,-0.0009446125816530149,-0.024923098492779516
year_2024,2024,calendar,52,3.058473412567881,3.2618732426667263,3.0827395233669748,-0.7934059749997946,5.491743730461507,3.0821784000221575,-0.0005611233448172825,-0.01820210045525572,3.083687337184395,0.0009478138174201511,0.030745828839440215,3.0831464358739638,0.00040691250698898784,0.013199704480526542
year_2025,2025,calendar,51,2.9898776943967094,2.996907726158107,2.9627386225069015,0.9076983965153107,1.1401453355725732,2.9632138598541906,0.0004752373472891591,0.016040474974032826,2.9626821665237286,-5.6455983172831736e-05,-0.0019055337093898395,2.962156416867879,-0.0005822056390223374,-0.019650928185144245
event_russia_ukraine,Russia–Ukraine,event,16,8.923886134975053,9.060769211498101,8.821692731134869,1.1451670527222624,2.638589227720811,8.81785131785616,-0.003841413278708572,-0.043545081378215666,8.821291735374718,-0.00040099576015073524,-0.004545564806801572,8.81701500998553,-0.00467772114933851,-0.053025210601920225
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,5.047909839725744,5.191359672204176,5.058500147122012,-0.20979589042824376,2.559243309484549,5.057166372290877,-0.0013337748311350595,-0.026367001924354483,5.064793085438879,0.006292938316867058,0.12440324471370001,5.064845762628702,0.006345615506689661,0.1254446045692026
event_opec_plus,OPEC+ surprise cut,event,16,4.39155866407361,4.270815717781587,4.358140753151505,0.7609578620795698,-2.0446921885751257,4.359721506130576,0.0015807529790707875,0.036271269529963845,4.357880313961438,-0.00026043919006735194,-0.005975924248868836,4.357384389424053,-0.0007563637274525803,-0.017355192736845382
event_red_sea,Houthi Red Sea attacks,event,16,3.350153914374682,3.8840459275176307,3.2647437507362245,2.54943999056233,15.944769663864767,3.265318076869569,0.000574326133344627,0.017591767599367536,3.2698660819022547,0.005122331166030225,0.15689841399879612,3.2697546749777575,0.0050109242415330435,0.1534859892266649
