date,period_id
2023-04-14,year_2023
2023-04-14,event_opec_plus
2023-04-21,full
2023-04-21,year_2023
2023-04-21,event_opec_plus
2023-04-28,full
2023-04-28,year_2023
2023-04-28,event_opec_plus
2023-05-05,full
2023-05-05,year_2023
2023-05-05,event_opec_plus
2023-05-12,full
2023-05-12,year_2023
2023-05-12,event_opec_plus
2023-05-19,full
2023-05-19,year_2023
2023-05-19,event_opec_plus
2023-05-26,full
2023-05-26,year_2023
2023-05-26,event_opec_plus
2023-06-02,full
2023-06-02,year_2023
2023-06-09,full
2023-06-09,year_2023
2023-06-16,full
2023-06-16,year_2023
2023-06-23,full
2023-06-23,year_2023
2023-06-30,full
2023-06-30,year_2023
2023-07-07,full
2023-07-07,year_2023
2023-07-14,full
2023-07-14,year_2023
2023-07-21,full
2023-07-21,year_2023
2023-07-28,full
2023-07-28,year_2023
2023-08-04,full
2023-08-04,year_2023
2023-08-11,full
2023-08-11,year_2023
2023-08-18,full
2023-08-18,year_2023
2023-08-25,full
2023-08-25,year_2023
2023-09-01,full
2023-09-01,year_2023
2023-09-08,full
2023-09-08,year_2023
2023-09-15,full
2023-09-15,year_2023
2023-09-22,full
2023-09-22,year_2023
2023-09-29,full
2023-09-29,year_2023
2023-09-29,event_red_sea
2023-10-06,full
2023-10-06,year_2023
2023-10-06,event_red_sea
2023-10-13,full
2023-10-13,year_2023
2023-10-13,event_red_sea
2023-10-20,full
2023-10-20,year_2023
2023-10-20,event_red_sea
2023-10-27,full
2023-10-27,year_2023
2023-10-27,event_red_sea
2023-11-03,full
2023-11-03,year_2023
2023-11-03,event_red_sea
2023-11-10,full
2023-11-10,year_2023
2023-11-10,event_red_sea
2023-11-17,full
2023-11-17,year_2023
2023-11-17,event_red_sea
2023-11-24,full
2023-11-24,year_2023
2023-11-24,event_red_sea
2023-12-01,full
2023-12-01,year_2023
2023-12-01,event_red_sea
2023-12-08,full
2023-12-08,year_2023
2023-12-08,event_red_sea
2023-12-15,full
2023-12-15,year_2023
2023-12-15,event_red_sea
2023-12-22,full
2023-12-22,year_2023
2023-12-22,event_red_sea
2023-12-29,full
2023-12-29,year_2023
2023-12-29,event_red_sea
2024-01-05,full
2024-01-05,year_2024
2024-01-05,event_red_sea
2024-01-12,full
2024-01-12,year_2024
2024-01-12,event_red_sea
2024-01-19,full
2024-01-19,year_2024
2024-01-26,full
2024-01-26,year_2024
2024-02-02,full
2024-02-02,year_2024
2024-02-09,full
2024-02-09,year_2024
2024-02-16,full
2024-02-16,year_2024
2024-02-23,full
2024-02-23,year_2024
2024-03-01,full
2024-03-01,year_2024
2024-03-08,full
2024-03-08,year_2024
2024-03-15,full
2024-03-15,year_2024
2024-03-22,full
2024-03-22,year_2024
2024-03-29,full
2024-03-29,year_2024
2024-04-05,full
2024-04-05,year_2024
2024-04-12,full
2024-04-12,year_2024
2024-04-19,full
2024-04-19,year_2024
2024-04-26,full
2024-04-26,year_2024
2024-05-03,full
2024-05-03,year_2024
2024-05-10,full
2024-05-10,year_2024
2024-05-17,full
2024-05-17,year_2024
2024-05-24,full
2024-05-24,year_2024
2024-05-31,full
2024-05-31,year_2024
2024-06-07,full
2024-06-07,year_2024
2024-06-14,full
2024-06-14,year_2024
2024-06-21,full
2024-06-21,year_2024
2024-06-28,full
2024-06-28,year_2024
2024-07-05,full
2024-07-05,year_2024
2024-07-12,full
