arm,model,test_weeks,M1_RMSE,M3_RMSE,skill_vs_M0,CW_p_vs_M1,DM_p_vs_M1
full,Ridge,257,4.33223697176346,4.592028803430189,-0.10603732309245784,0.4812387929429127,0.9539366018869827
full,XGB,257,4.771177922387276,4.455851813597272,-0.07323769579284711,2.476851970001359e-05,0.036120656755164404
portwatch-only,Ridge,257,4.33223697176346,4.372161935868489,-0.053080128779344316,0.02605982500051507,0.6932492335429582
portwatch-only,XGB,257,4.771177922387276,4.634181168269575,-0.11619015330426863,0.00011602836178015163,0.1291278247982521
gfw-only,Ridge,257,4.33223697176346,4.5649806476121615,-0.09952249682803815,0.7313895990279453,0.9674845897425742
gfw-only,XGB,257,4.771177922387276,4.612448599120968,-0.11095564070994612,0.0011780755757001549,0.033310246954571944
tanker-only,Ridge,257,4.33223697176346,4.364737450200241,-0.051291865115207,0.13223522057045423,0.6784120893305993
tanker-only,XGB,257,4.771177922387276,4.606543446853687,-0.1095333241074723,4.859129020540198e-05,0.11916912643099428
