model,RMSE,MAE,DirAcc,RMSE_skill_vs_M0,DM_stat,DM_p_better_than_M0,DM_p_vs_M1,CW_stat_vs_M1,CW_p_vs_M1
M0_RW,4.1517846708743695,3.01136186770428,,0.0,,,,,
M1_Ridge,4.33223697176346,3.0809779948649414,0.490272373540856,-0.043463790922251055,1.3577773937002158,0.9121350448847914,,,
M1_XGB,4.771177922387276,3.405954281592332,0.5252918287937743,-0.14918722925542793,2.1517379666343857,0.9838232384381296,,,
M3_Ridge,4.592028803430189,3.277978008026895,0.5019455252918288,-0.10603732309245784,1.7177485222774356,0.9564741379930246,0.9539366018869827,0.04704471958919568,0.4812387929429127
M3_XGB,4.455851813597272,3.2271440973508705,0.4980544747081712,-0.07323769579284711,1.8172745467153688,0.9648279112530639,0.036120656755164404,4.057800577360757,2.476851970001359e-05
Naive_DirPersist,,,0.5097276264591439,,,,,,
