lookback,model,test_weeks,M0_RMSE,M1_RMSE,M3_RMSE,skill_vs_M0,CW_p_vs_M1,DM_p_vs_M1
1,Ridge,260,4.13664431077246,4.224963774678719,4.2954410429468455,-0.03838781394882185,0.4316325109153978,0.8762669682318588
1,XGB,260,4.13664431077246,4.555424031680362,4.4659699303559535,-0.07961178067108143,0.0031738837767871786,0.2758841820858873
4,Ridge,257,4.1517846708743695,4.33223697176346,4.592028803430189,-0.10603732309245784,0.4812387929429127,0.9539366018869827
4,XGB,257,4.1517846708743695,4.771177922387276,4.455851813597272,-0.07323769579284711,2.476851970001359e-05,0.036120656755164404
8,Ridge,253,4.1717189185248165,4.534956003608929,4.76941727843282,-0.14327388100235638,0.2567506004804666,0.9477843167878995
8,XGB,253,4.1717189185248165,5.077665639632268,4.8040042728802295,-0.15156470670823596,0.00012887165074559892,0.052523895619627496
