comparison,small,large,CW_stat,CW_p,DM_stat,DM_p
RS incr. (M4_Deep_gated vs M3_Deep_gated),M3_Deep_gated,M4_Deep_gated,0.6446112783225524,0.2595895621152126,0.3228130090184785,0.6264477291449985
full representation vs flat M1 (M4rep vs M1_Flat_Ridge),M1_Flat_Ridge,M4_Deep_gated,2.86485303859232,0.0020860140684735,-1.3659026792695623,0.0865936433608352
shipping incr. (M3_Deep_gated vs M1_Deep),M1_Deep,M3_Deep_gated,1.559494102670061,0.059439739645923,-0.6271338728455518,0.2655696304645299
rs-rep vs M1_Flat (rs vs M1_Flat_Ridge),M1_Flat_Ridge,M_rs_deep,1.262441994822079,0.1033948930539705,0.1544092629096156,0.5612946790135813
shipping-rep vs M1_Flat (ship vs M1_Flat_Ridge),M1_Flat_Ridge,M_ship_GNN,2.9989147923279593,0.0013547153440048,-1.283650457959379,0.1002216809991557
