group,config,seed,epochs,lookback,d,gat,tcn,rs_kind,lr,wd,dropout,RMSE,skill_vs_M0,DirAcc,DM_p_vs_M0,DM_p_vs_Flat_S1,n_test
seed,m3_deep_xattn,42,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.110184050769248,0.010019936823062792,0.5525291828793775,0.2572241675766258,0.0349311309388981,257
seed,m3_deep_xattn,1,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.271144323720157,-0.028748998878270315,0.4474708171206226,0.9823978775005537,0.5702065313939271,257
seed,m3_deep_xattn,2,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.448418583080136,-0.07144732584199631,0.45525291828793774,0.9985477565836471,0.9452660301810947,257
seed,m3_deep_concat,42,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.161109359587843,-0.002245947093279632,0.5136186770428015,0.6460504594186605,0.06418050171828815,257
seed,m3_deep_concat,1,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.178306676902151,-0.006388097680941618,0.5019455252918288,0.7858690089035777,0.13179042730063428,257
seed,m3_deep_concat,2,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.14897577359892,0.0006765517718571035,0.5136186770428015,0.4607592925320547,0.05185473620553982,257
