model,RMSE,MAE,DirAcc,RMSE_skill_vs_M0,DM_stat,DM_p_better_than_M0,CW_p_vs_M0
M0_RW,4.1517846708743695,3.01136186770428,,0.0,,,
M1_Flat_Ridge,4.256348943170461,3.090131492098012,0.4980544747081712,-0.02518537944167276,1.5850618259454552,0.9429066209831213,0.529925630459628
M1_Flat_XGB,4.3684287377735025,3.265141454047667,0.5525291828793775,-0.0521809496573693,2.1205623748796327,0.9825397846770562,0.10443229245179575
M1_Deep,4.249855085312962,3.1153579377589478,0.49416342412451364,-0.023621267048500094,2.011308901070138,0.9773295200392802,0.3153123122722086
M_ship_GNN,4.160727695788733,3.0014423545799644,0.5175097276264592,-0.002154019445444799,0.3997789183860309,0.6551736439142475,0.4497772664550842
M_rs_deep,4.2473340827514265,3.1037330644893424,0.4591439688715953,-0.02301405767677589,2.373727716411811,0.9908260022789304,0.9281138079154374
M3_Deep_gated,4.14527308033148,3.012040366495634,0.5369649805447471,0.0015683834926628615,-0.19535908680618505,0.4226334042484918,0.14694526129026297
M2_Deep_gated,4.252854074526352,3.106046131444684,0.47470817120622566,-0.024343604416916298,1.6351752617791613,0.9483793679970745,0.768963467223124
M4_Deep_gated,4.179645672391654,3.0352921305550105,0.49416342412451364,-0.006710608503551541,1.6148734829046172,0.9462150580553557,0.7781291694301251
M4_Deep_Concat,4.496450109086841,3.169775130502916,0.45136186770428016,-0.08301621243278134,1.4285143816748778,0.9228186090562245,0.6084869148060623
Naive_DirPersist,,,0.5097276264591439,,,,
