group,config,seed,epochs,lookback,d,gat,tcn,rs_kind,lr,wd,dropout,RMSE,skill_vs_M0,DirAcc,DM_p_vs_M0,DM_p_vs_Flat_S1,n_test
seed,m1_deep,1,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.191267891889647,-0.009509939494757758,0.5447470817120622,0.8969503043456013,0.1888944970791171,257
seed,m1_deep,2,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.139231901405992,0.003023463513519342,0.5058365758754864,0.35638104097338985,0.04122180019770627,257
seed,m2_deep_gated,1,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.233222031447619,-0.019615025110659046,0.4474708171206226,0.9553597183860764,0.39451098855192135,257
seed,m2_deep_gated,2,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.3620861607969985,-0.05065327481888393,0.46303501945525294,0.9184538933537457,0.7338248044221553,257
seed,m2_deep_concat,1,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.252176326589042,-0.024180361861958044,0.45136186770428016,0.9975558325644635,0.4785148544960498,257
seed,m2_deep_concat,2,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.190664121016718,-0.009364515075913404,0.5252918287937743,0.8867344239744447,0.19978171355047614,257
seed,m2_deep_xattn,1,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.17263929180204,-0.005023049743877461,0.5175097276264592,0.6571319537006927,0.19230176337272542,257
seed,m2_deep_xattn,2,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.33144059263356,-0.04327197482555234,0.4085603112840467,0.9982179945271299,0.796662718660306,257
seed,m4_deep_concat,1,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.238697923878925,-0.020933950070741725,0.5369649805447471,0.9846461008323606,0.4094836744596315,257
seed,m4_deep_concat,2,80,4,32,2,2,meanpool,0.001,0.0001,0.1,4.192475505009598,-0.009800805523630052,0.4980544747081712,0.9150988467514398,0.18919408471442112,257
