comparison,small,large,valid_test,p_value,CW_stat,CW_p,DM_stat,DM_p
RS incr. (M4_Deep_gated vs M3_Deep_gated),M3_Deep_gated,M4_Deep_gated,CW(nested),0.6429105613376206,-0.3662495419353449,0.6429105613376206,1.2708645803090204,0.89752563107239
shipping incr. (M3_Deep_gated vs M1_Deep),M1_Deep,M3_Deep_gated,CW(nested),0.0427308642695659,1.719838904870439,0.0427308642695659,-0.9031165190568098,0.1836632581767835
rs incr. (m2_deep_gated vs fin),M1_Deep,M2_Deep_gated,CW(nested),0.4833803283770841,0.0416713960973169,0.4833803283770841,1.355560191288398,0.9117736112070643
full rep vs M1_Flat,M1_Flat_Ridge,M4_Deep_gated,DM(non-nested),0.2086136934088512,2.605766252728917,0.0045834498144063,-0.8125773636375399,0.2086136934088512
fin+rs rep vs M1_Flat,M1_Flat_Ridge,M2_Deep_gated,DM(non-nested),0.8160003633219006,0.7881321193651127,0.2153097146731721,0.9018470411080852,0.8160003633219006
rs-rep vs M1_Flat,M1_Flat_Ridge,M_rs_deep,DM(non-nested),0.5612946790135804,1.2624419948220809,0.1033948930539703,0.1544092629096135,0.5612946790135804
shipping-rep vs M1_Flat,M1_Flat_Ridge,M_ship_GNN,DM(non-nested),0.1069824096212769,2.9312944930722593,0.0016877631051938,-1.245881863367385,0.1069824096212769
concat rep vs M1_Flat,M1_Flat_Ridge,M4_Deep_Concat,DM(non-nested),0.2134153263744365,2.1103850350605207,0.0174126022063857,-0.7959148094566978,0.2134153263744365
gating vs concat,M4_Deep_Concat,M4_Deep_gated,DM(non-nested),0.584248602203879,0.5617929307033993,0.2871285545792448,0.2129953475721533,0.584248602203879
