model,RMSE,MAE,DirAcc,RMSE_skill_vs_M0,DM_stat,DM_p_better_than_M0
M0_RW,4.1717189185248165,3.028853754940711,,0.0,,
M1_Flat_Ridge,4.279053945128159,3.1106080428899623,0.4901185770750988,-0.0257292086786369,1.6106290127477838,0.9457437826632114
M1_Flat_XGB,4.383295239273076,3.2735074734727214,0.5533596837944664,-0.0507168207830925,2.0533351874215695,0.9794638225920904
M1_Deep,4.206258256206087,3.0582046442147455,0.5098814229249012,-0.0082794019337917,0.8081243938799396,0.790109410864495
M_ship_GNN,4.189359033203663,3.0381327307495134,0.5177865612648221,-0.0042285002952895,0.5671688010982986,0.714447812827024
M_rs_deep,4.307355915107819,3.054295103370021,0.466403162055336,-0.0325134553003312,0.8826609327318637,0.8108696503378243
M3_Deep_gated,4.157620472506082,3.0189039157379,0.5533596837944664,0.0033795292286182,-0.3876374496975349,0.3493057812670213
M2_Deep_gated,4.5243590739162975,3.16168245250911,0.4624505928853755,-0.0845311398679229,1.3631018317073835,0.9129664531205562
M4_Deep_gated,4.217620346823695,3.0895938710859663,0.5019762845849802,-0.0110030012077395,1.4158251391673713,0.920969272181347
M4_Deep_Concat,4.209983077764569,3.062288117823379,0.4940711462450592,-0.0091722764613497,0.8172654385291878,0.7927256286019205
Naive_DirPersist,,,0.5019762845849802,,,
