combo,fusion,config,model,RMSE,MAE,skill_vs_M0,DirAcc,n_test
M3_Deep,concat,m3_deep_concat,M3_Deep_Concat,4.161109359587843,3.0310194967967816,-0.002245947093279632,0.5136186770428015,257
M3_Deep,gated,m3_deep_gated,M3_Deep_gated,4.145610653311856,3.0122236403394593,0.0014870755715791217,0.5369649805447471,257
M3_Deep,xattn,m3_deep_xattn,M3_Deep_XAttn,4.110184050769248,2.9852431857193444,0.010019936823062792,0.5525291828793775,257
M2_Deep,concat,m2_deep_concat,M2_Deep_Concat,4.235220065066293,3.068397668731117,-0.020096272038682583,0.5291828793774319,257
M2_Deep,gated,m2_deep_gated,M2_Deep_gated,4.252788421445625,3.105869649491261,-0.024327791197799264,0.47470817120622566,257
M2_Deep,xattn,m2_deep_xattn,M2_Deep_XAttn,4.3956465858241245,3.2254666973957375,-0.05873664803969647,0.45525291828793774,257
M4_Deep,concat,m4_deep_concat,M4_Deep_Concat,4.496439779857558,3.1697694892815256,-0.08301372453176947,0.45136186770428016,257
M4_Deep,gated,m4_deep_gated,M4_Deep_gated,4.180078765480421,3.036107551089174,-0.0068149234242662615,0.490272373540856,257
M4_Deep,xattn,m4_deep_xattn,M4_Deep_XAttn,4.143723389786455,2.993753106294141,0.0019416423844101915,0.5603112840466926,257
