comparison,small,large,valid_test,p_value,CW_stat,CW_p,DM_stat,DM_p
RS incr. (M4 vs M3 gated),M3_Deep_gated,M4_Deep_gated,CW(nested),0.5463451501314539,-0.11643260036031965,0.5463451501314539,0.9801526587609307,0.8360319332988524
shipping incr. (M3 vs M1 deep),M1_Deep,M3_Deep_gated,CW(nested),0.0006129703035498979,3.232775039589452,0.0006129703035498979,-1.7514267331206055,0.04053499667574412
rs incr. (M2 vs M1 deep),M1_Deep,M2_Deep_gated,CW(nested),0.01870162041217205,2.0813351405876057,0.01870162041217205,0.054652382939073506,0.5217709838537485
full rep vs M1_Flat,M1_Flat_Ridge,M4_Deep_gated,DM(non-nested),0.1325999592445287,2.7260534052603784,0.003204831326598545,-1.1166290231423157,0.1325999592445287
fin+rs rep vs M1_Flat,M1_Flat_Ridge,M2_Deep_gated,DM(non-nested),0.48511519158999367,1.50766654708978,0.06581994573245697,-0.03735585573093295,0.48511519158999367
rs-rep vs M1_Flat,M1_Flat_Ridge,M_rs_deep,DM(non-nested),0.4572924772135197,1.909213081855132,0.028117304697104717,-0.10736318173151606,0.4572924772135197
shipping-rep vs M1_Flat,M1_Flat_Ridge,M_ship_GNN,DM(non-nested),0.09157372941627674,3.089208087881931,0.0010034540979753093,-1.3347395330445306,0.09157372941627674
concat rep vs M1_Flat,M1_Flat_Ridge,M4_Deep_Concat,DM(non-nested),0.8302171327880482,0.5244669815894374,0.2999768896636542,0.956810233884257,0.8302171327880482
gating vs concat,M4_Deep_Concat,M4_Deep_gated,DM(non-nested),0.09338320503070757,2.1498564042566737,0.015783287485456654,-1.3237515800681288,0.09338320503070757
