arm,description,n_features,model,test_weeks,M1_RMSE,M4_RMSE,skill_vs_M0,CW_p_vs_M1,DM_p_vs_M1
full,M1 + M2(anom) + M3,199,Ridge,257,4.256348943170461,4.525221586556121,-0.08994611842504474,0.314424778306154,0.9411503971970931
full,M1 + M2(anom) + M3,199,XGB,257,4.368428737773503,4.50738885667583,-0.08565092219162929,0.008986545016040792,0.8732114591861595
minus-M2,M1 + M3  (RS removed),144,Ridge,257,4.256348943170461,4.430243432157846,-0.06706965398203879,0.2639149368372862,0.8417522184417363
minus-M2,M1 + M3  (RS removed),144,XGB,257,4.368428737773503,4.429198134964165,-0.06681788341189954,0.00018519893600976722,0.7046045250776587
minus-M3,M1 + M2(anom)  (shipping removed),86,Ridge,257,4.256348943170461,4.413588772342179,-0.06305820802904827,0.47381953769779916,0.9560576300691846
minus-M3,M1 + M2(anom)  (shipping removed),86,XGB,257,4.368428737773503,4.440163806219409,-0.06945907801242157,0.08527349668640949,0.8215103716503945
M1-only,M1  (finance only),31,Ridge,257,4.256348943170461,4.256348943170461,-0.02518537944167276,,
M1-only,M1  (finance only),31,XGB,257,4.368428737773503,4.368428737773503,-0.052180949657369524,,
