date,gate_finance,gate_rs,gate_shipping
2021-01-22,0.7954351305961609,0.1607087105512619,0.04385609179735184
2021-01-29,0.7886688113212585,0.17277416586875916,0.03855695575475693
2021-02-05,0.7867205142974854,0.17025931179523468,0.04302019253373146
2021-02-12,0.7864537239074707,0.16941016912460327,0.04413612559437752
2021-02-19,0.7849584221839905,0.17314183712005615,0.04189976304769516
2021-02-26,0.7844845056533813,0.17592251300811768,0.03959300369024277
2021-03-05,0.7820195555686951,0.17383408546447754,0.04414638504385948
2021-03-12,0.7984194159507751,0.1578054130077362,0.04377523064613342
2021-03-19,0.786966860294342,0.17001847922801971,0.04301467165350914
2021-03-26,0.7861863970756531,0.17324548959732056,0.04056813567876816
2021-04-02,0.7904213070869446,0.1675899177789688,0.041988667100667953
2021-04-09,0.7795208096504211,0.17771504819393158,0.04276410490274429
2021-04-16,0.7874962091445923,0.1580832451581955,0.05442051216959953
2021-04-23,0.3705253005027771,0.3533642590045929,0.27611044049263
2021-04-30,0.36958110332489014,0.36247000098228455,0.26794883608818054
2021-05-07,0.38753774762153625,0.3435746729373932,0.26888754963874817
2021-05-14,0.3702256977558136,0.3595121502876282,0.27026212215423584
2021-05-21,0.3796772062778473,0.35285845398902893,0.2674643397331238
2021-05-28,0.3737276792526245,0.35924476385116577,0.26702746748924255
2021-06-04,0.37737491726875305,0.35460805892944336,0.2680169939994812
2021-06-11,0.37159648537635803,0.3600795865058899,0.2683239281177521
2021-06-18,0.36649012565612793,0.3629657030105591,0.2705441415309906
2021-06-25,0.3709430396556854,0.36189740896224976,0.2671595513820648
2021-07-02,0.3644166886806488,0.35917502641677856,0.2764083743095398
2021-07-09,0.3658994138240814,0.3616514503955841,0.2724491059780121
2021-07-16,0.37325215339660645,0.3580777049064636,0.26867005228996277
2021-07-23,0.38315901160240173,0.5061468482017517,0.11069414764642715
2021-07-30,0.39340242743492126,0.5086300373077393,0.09796756505966187
2021-08-06,0.4060744643211365,0.49669110774993896,0.09723443537950516
2021-08-13,0.39946043491363525,0.5001806616783142,0.10035888105630875
2021-08-20,0.3943726718425751,0.5095692276954651,0.09605810791254044
2021-08-27,0.39616647362709045,0.5003154873847961,0.10351792722940445
2021-09-03,0.404885858297348,0.49450698494911194,0.10060716420412064
2021-09-10,0.39978042244911194,0.4968000650405884,0.10341954976320267
2021-09-17,0.3857864439487457,0.5082035064697266,0.1060100868344307
2021-09-24,0.3926658630371094,0.5035997629165649,0.10373440384864807
2021-10-01,0.3849029242992401,0.5088620781898499,0.10623494535684586
2021-10-08,0.37367013096809387,0.5102963447570801,0.11603350192308426
2021-10-15,0.3809903562068939,0.5077024698257446,0.11130716651678085
2021-10-22,0.36552268266677856,0.5440972447395325,0.09038012474775314
2021-10-29,0.3659335672855377,0.5469841361045837,0.08708232641220093
2021-11-05,0.36415308713912964,0.5504888892173767,0.08535795658826828
2021-11-12,0.3557256758213043,0.557013213634491,0.08726108074188232
2021-11-19,0.3616992235183716,0.5531898140907288,0.08511094003915787
2021-11-26,0.3653871417045593,0.555910050868988,0.07870278507471085
2021-12-03,0.36236894130706787,0.5611019134521484,0.07652923464775085
2021-12-10,0.35569241642951965,0.5700410008430481,0.07426660507917404
2021-12-17,0.36113661527633667,0.5713527798652649,0.06751057505607605
2021-12-24,0.35604754090309143,0.5790234208106995,0.06492907553911209
2021-12-31,0.3584807217121124,0.5774618983268738,0.06405732780694962
2022-01-07,0.3582748770713806,0.5817930698394775,0.05993196368217468
2022-01-14,0.36123567819595337,0.5743927955627441,0.06437152624130249
2022-01-21,0.37068262696266174,0.33850622177124023,0.29081109166145325
2022-01-28,0.3778042197227478,0.3354513347148895,0.2867443859577179
2022-02-04,0.3798055648803711,0.3289627432823181,0.2912317216396332
