model,RMSE,MAE,DirAcc,RMSE_skill_vs_M0,DM_stat,DM_p_better_than_M0,CW_p_vs_M0
M0_RW,4.1517846708743695,3.01136186770428,,0.0,,,
Naive_DirPersist,,,0.5097276264591439,,,,
M1_Flat_Ridge,4.256348943170461,3.090131492098012,0.4980544747081712,-0.02518537944167276,1.5850618259454552,0.9429066209831213,0.529925630459628
M1_Flat_XGB,4.3684287377735025,3.265141454047667,0.5525291828793775,-0.0521809496573693,2.1205623748796327,0.9825397846770562,0.10443229245179575
M4_Deep_gated,4.179645672391654,3.0352921305550105,0.49416342412451364,-0.006710608503551541,1.6148734829046172,0.9462150580553557,0.7781291694301251
M4_Deep_Concat,4.496450109086841,3.169775130502916,0.45136186770428016,-0.08301621243278134,1.4285143816748778,0.9228186090562245,0.6084869148060623
