name,att_mean,att_std,rank_mean,freq_top5,n_seeds
hormuz,0.09360674518280106,0.03196206864097026,4.0,2,3
suez,0.07513445040667684,0.0209535627220938,6.333333333333333,2,3
panama,0.07068349016001678,0.022883538507510494,7.0,2,3
mandeb,0.06340078977280901,0.015929299749334335,7.666666666666667,1,3
malacca,0.06145877877175421,0.009229210779827895,7.0,1,3
P006,0.059734019955158736,0.013073367538483203,7.333333333333333,1,3
P003,0.05889401566382165,0.0072467091481272245,6.333333333333333,1,3
P007,0.05725924176165179,0.025173348436522365,10.0,1,3
P002,0.05691748539024503,0.012528998737706253,8.666666666666666,1,3
cape,0.0551270896680025,0.014364707553819314,11.0,1,3
P011,0.05199970544319499,0.015709709611007407,10.666666666666666,1,3
P010,0.049351890086427076,0.02505884356419937,12.0,1,3
P009,0.055021422582976855,0.005639024733892612,9.0,0,3
P001,0.05365471305366697,0.002183183205659235,8.666666666666666,0,3
P005,0.05269529435773961,0.005463705790569191,10.0,0,3
P004,0.04462251112942527,0.007565489914575665,12.666666666666666,0,3
P008,0.04043835548058287,0.00423167103532553,14.666666666666666,0,3
