date,gate_finance_mean,gate_finance_std,gate_finance_lo,gate_finance_hi,gate_shipping_mean,gate_shipping_std,gate_shipping_lo,gate_shipping_hi
2021-01-22,0.702329138914744,0.1372422242055423,0.5650869147092017,0.8395713631202864,0.2976708809534709,0.13724220992146705,0.16042867103200384,0.4349130908749379
2021-01-29,0.7043636043866476,0.12150588233902157,0.582857722047626,0.8258694867256692,0.2956363707780838,0.12150589992541719,0.1741304708526666,0.41714227070350096
2021-02-05,0.684262752532959,0.12318195103968281,0.5610808014932762,0.8074447035726418,0.31573721766471863,0.12318193001696671,0.19255528764775193,0.43891914768168533
2021-02-12,0.6851387818654379,0.13031839679433493,0.5548203850711029,0.8154571786597729,0.3148612429698308,0.13031835896007757,0.18454288400975324,0.44517960192990835
2021-02-19,0.6683242321014404,0.12118071490182182,0.5471435171996186,0.7895049470032622,0.33167576293150586,0.12118076443736348,0.21049499849414238,0.45285652736886933
2021-02-26,0.6928098003069559,0.14037550333300408,0.5524342969739519,0.83318530363996,0.3071901549895604,0.14037553509001896,0.16681461989954147,0.44756569007957936
2021-03-05,0.6787980496883392,0.1427606801817103,0.536037369506629,0.8215587298700495,0.32120195031166077,0.14276065923991796,0.1784412910717428,0.46396260955157875
2021-03-12,0.6818823019663492,0.14318235861832265,0.5386999433480266,0.8250646605846719,0.3181176980336507,0.1431823576191999,0.1749353404144508,0.4613000556528506
2021-03-19,0.6780591110388438,0.13201798575646173,0.546041125282382,0.8100770967953055,0.32194089889526367,0.13201795481769243,0.18992294407757124,0.4539588537129561
2021-03-26,0.6810529430707296,0.12157206844854322,0.5594808746221864,0.8026250115192728,0.31894706686337787,0.12157208170233061,0.19737498516104726,0.4405191485657085
2021-04-02,0.6657868425051371,0.12583870906234348,0.5399481334427936,0.7916255515674806,0.33421314756075543,0.12583871424263035,0.20837443331812508,0.46005186180338575
2021-04-09,0.6668661236763,0.11989840752451955,0.5469677161517805,0.7867645312008196,0.33313386142253876,0.11989841154034611,0.21323544988219265,0.45303227296288484
2021-04-16,0.6635404725869497,0.12655496972864072,0.536985502858309,0.7900954423155904,0.33645956218242645,0.12655496076390316,0.2099046014185233,0.4630145229463296
2021-04-23,0.6032608946164449,0.07596083890286298,0.527300055713582,0.6792217335193079,0.3967390755812327,0.075960860139097,0.3207782154421357,0.47269993572032976
2021-04-30,0.6107825835545858,0.0807106231483555,0.5300719604062303,0.6914932067029413,0.38921744624773663,0.08071062786409774,0.3085068183836389,0.46992807411183435
2021-05-07,0.6167338093121847,0.08747856664377976,0.529255242668405,0.7042123759559644,0.3832662105560303,0.08747860083104508,0.2957876097249852,0.47074481138707536
2021-05-14,0.6032036344210306,0.07075698797871197,0.5324466464423186,0.6739606223997426,0.3967963655789693,0.07075696765134844,0.3260393979276209,0.4675533332303177
2021-05-21,0.6011897524197897,0.06919786981236825,0.5319918826074215,0.6703876222321579,0.3988102674484253,0.06919788379683141,0.3296123836515939,0.4680081512452567
2021-05-28,0.6104708909988403,0.07430408235026512,0.5361668086485752,0.6847749733491054,0.3895291288693746,0.07430413881165332,0.31522499005772125,0.4638332676810279
2021-06-04,0.6141970554987589,0.08286529407563302,0.5313317614231259,0.697062349574392,0.3858029246330261,0.08286523744698367,0.30293768718604247,0.4686681620800098
2021-06-11,0.6096623341242472,0.07963737112657603,0.5300249629976712,0.6892997052508232,0.39033763607343036,0.07963737173206441,0.31070026434136594,0.4699750078054948
2021-06-18,0.6010142763455709,0.06746078938787206,0.5335534869576989,0.668475065733443,0.39898574352264404,0.06746078268362797,0.33152496083901606,0.466446526206272
2021-06-25,0.6026215155919393,0.07743707349501731,0.525184442096922,0.6800585890869566,0.39737849434216815,0.07743709986767908,0.3199413944744891,0.4748155942098472
2021-07-02,0.6080132921536764,0.07096423533474634,0.53704905681893,0.6789775274884228,0.3919866780440013,0.0709642320732175,0.3210224459707838,0.4629509101172188
