event_date,event,n_seeds_valid,n_up,n_down,same_direction,delta_seed42,delta_seed1,delta_seed2
2022-02-24,Russia–Ukraine,3,0,3,True,-0.013201750814914703,-0.0064667463302612305,-0.007071569561958313
2022-06-01,EU RU oil ban announced,3,1,2,False,0.008427329361438751,-0.006428692489862442,-0.010627254843711853
2023-04-02,OPEC+ surprise cut,3,1,2,False,-0.0019491352140903473,0.08241692557930946,-0.16762069053947926
2023-11-19,Houthi Red Sea attacks,3,2,1,False,0.0037922412157058716,-0.03302297368645668,0.01962924376130104
