date,gate_finance,gate_shipping
2021-01-22,0.5508779287338257,0.4491220712661743
2021-01-29,0.5672823190689087,0.4327176511287689
2021-02-05,0.5458027720451355,0.4541971981525421
2021-02-12,0.5415042638778687,0.45849570631980896
2021-02-19,0.5327138900756836,0.4672861099243164
2021-02-26,0.5407404899597168,0.4592595398426056
2021-03-05,0.5320644378662109,0.4679355025291443
2021-03-12,0.5246485471725464,0.47535139322280884
2021-03-19,0.5350062251091003,0.46499380469322205
2021-03-26,0.5471788048744202,0.45282119512557983
2021-04-02,0.5287521481513977,0.4712478518486023
2021-04-09,0.5299779772758484,0.4700219929218292
2021-04-16,0.5327210426330566,0.46727895736694336
2021-04-23,0.5787976980209351,0.42120227217674255
2021-04-30,0.5947081446647644,0.405291885137558
2021-05-07,0.5766974687576294,0.4233025312423706
2021-05-14,0.5893375873565674,0.410662442445755
2021-05-21,0.5734236836433411,0.42657631635665894
2021-05-28,0.5974140167236328,0.4025859832763672
2021-06-04,0.5875359177589417,0.41246408224105835
2021-06-11,0.5830704569816589,0.41692960262298584
2021-06-18,0.591066837310791,0.408933162689209
2021-06-25,0.5734232664108276,0.42657670378685
2021-07-02,0.5840710401535034,0.4159289002418518
2021-07-09,0.574871838092804,0.42512816190719604
2021-07-16,0.5697843432426453,0.43021559715270996
2021-07-23,0.5073009133338928,0.49269914627075195
2021-07-30,0.5111592411994934,0.488840788602829
2021-08-06,0.509331464767456,0.49066856503486633
2021-08-13,0.5077380537986755,0.4922620356082916
2021-08-20,0.5177776217460632,0.48222243785858154
2021-08-27,0.5050315260887146,0.494968444108963
2021-09-03,0.506467342376709,0.4935327470302582
2021-09-10,0.513564944267273,0.48643508553504944
2021-09-17,0.5165518522262573,0.48344817757606506
2021-09-24,0.5159173607826233,0.48408257961273193
2021-10-01,0.5076398849487305,0.4923601448535919
2021-10-08,0.49959686398506165,0.500403106212616
2021-10-15,0.49881497025489807,0.5011849999427795
2021-10-22,0.5231871008872986,0.4768129587173462
2021-10-29,0.531673789024353,0.468326210975647
2021-11-05,0.5320843458175659,0.4679155945777893
2021-11-12,0.5273951292037964,0.47260481119155884
2021-11-19,0.5242180228233337,0.4757819175720215
2021-11-26,0.5315173268318176,0.46848273277282715
2021-12-03,0.5362133383750916,0.46378663182258606
2021-12-10,0.5128316879272461,0.4871683120727539
2021-12-17,0.5328458547592163,0.4671541154384613
2021-12-24,0.5268300771713257,0.47316989302635193
2021-12-31,0.5300087332725525,0.4699912965297699
2022-01-07,0.5100862979888916,0.4899137020111084
2022-01-14,0.5264976620674133,0.47350236773490906
2022-01-21,0.5229878425598145,0.47701209783554077
2022-01-28,0.5348600149154663,0.4651399254798889
2022-02-04,0.538661003112793,0.46133896708488464
2022-02-11,0.5336706042289734,0.466329425573349
2022-02-18,0.5364694595336914,0.4635305106639862
2022-02-25,0.5402190685272217,0.4597809612751007
2022-03-04,0.5405446290969849,0.4594554305076599
2022-03-11,0.5419255495071411,0.4580743610858917
2022-03-18,0.5394403338432312,0.4605597257614136
2022-03-25,0.5351958274841309,0.46480414271354675
2022-04-01,0.5437754392623901,0.45622459053993225
2022-04-08,0.541546642780304,0.4584534168243408
2022-04-15,0.5414164066314697,0.4585835635662079
2022-04-22,0.5181705355644226,0.4818294048309326
2022-04-29,0.5301728248596191,0.46982714533805847
2022-05-06,0.51796954870224,0.48203045129776
2022-05-13,0.5261929035186768,0.47380712628364563
2022-05-20,0.5143797397613525,0.48562026023864746
2022-05-27,0.5139487981796265,0.48605111241340637
2022-06-03,0.5015594959259033,0.49844053387641907
2022-06-10,0.522287905216217,0.4777120351791382
2022-06-17,0.5297302007675171,0.4702697694301605
2022-06-24,0.5302298665046692,0.4697701334953308
2022-07-01,0.5170428156852722,0.4829571843147278
2022-07-08,0.5267810821533203,0.47321900725364685
2022-07-15,0.5216339230537415,0.47836604714393616
2022-07-22,0.5125703811645508,0.4874296486377716
2022-07-29,0.5053009390830994,0.49469900131225586
2022-08-05,0.5227034091949463,0.4772966206073761
2022-08-12,0.5042284727096558,0.49577146768569946
2022-08-19,0.4983731508255005,0.5016268491744995
2022-08-26,0.5215937495231628,0.47840628027915955
2022-09-02,0.5114023089408875,0.4885976314544678
2022-09-09,0.5208585262298584,0.4791414141654968
2022-09-16,0.5217461585998535,0.4782537519931793
2022-09-23,0.5278692245483398,0.47213083505630493
2022-09-30,0.5150248408317566,0.4849751591682434
2022-10-07,0.5071750283241272,0.492824912071228
2022-10-14,0.5187254548072815,0.4812745153903961
2022-10-21,0.5351844429969788,0.46481558680534363
2022-10-28,0.531597375869751,0.46840256452560425
2022-11-04,0.5334138870239258,0.46658602356910706
2022-11-11,0.5186650156974792,0.48133501410484314
2022-11-18,0.5267248153686523,0.47327521443367004
2022-11-25,0.5172675848007202,0.482732355594635
2022-12-02,0.5103352665901184,0.4896647334098816
2022-12-09,0.5327126979827881,0.46728724241256714
2022-12-16,0.5253725051879883,0.4746275246143341
2022-12-23,0.5100641846656799,0.48993587493896484
2022-12-30,0.5263845324516296,0.47361546754837036
2023-01-06,0.5307876467704773,0.4692123830318451
2023-01-13,0.5240643620491028,0.47593560814857483
2023-01-20,0.48686930537223816,0.5131307244300842
2023-01-27,0.48747676610946655,0.5125232338905334
2023-02-03,0.5075520277023315,0.49244794249534607
2023-02-10,0.4863918423652649,0.5136081576347351
2023-02-17,0.5071623921394348,0.4928376376628876
2023-02-24,0.499519407749176,0.5004806518554688
2023-03-03,0.47728684544563293,0.5227131247520447
2023-03-10,0.5103693604469299,0.48963072896003723
2023-03-17,0.5015186667442322,0.4984813630580902
2023-03-24,0.4740476608276367,0.5259523391723633
2023-03-31,0.4923880398273468,0.5076119303703308
2023-04-07,0.4757486581802368,0.5242512822151184
2023-04-14,0.47795578837394714,0.5220442414283752
2023-04-21,0.49180665612220764,0.5081933736801147
2023-04-28,0.5063675045967102,0.493632435798645
2023-05-05,0.49493563175201416,0.5050643682479858
2023-05-12,0.4820798635482788,0.5179201364517212
2023-05-19,0.4922094941139221,0.5077905058860779
