aoi,sum_mean_abs_shap
Yanbu,0.0058094459236599505
Kharg,0.004597343067871407
Ulsan,0.00456226448295638
Rotterdam,0.004167849030636717
Basra,0.003325741970911622
Jurong,0.002762978314422071
Houston,0.0026606306491885334
Jamnagar,0.0024769096198724583
RasTanura,0.0019332663068780676
Fujairah,0.0018542777106631547
NingboZhoushan,0.0018455198587616906
