model,RMSE,MAE,DirAcc,RMSE_skill_vs_M0,DM_stat,DM_p_better_than_M0,DM_p_vs_M1,CW_stat_vs_M1,CW_p_vs_M1
M0_RW,4.1517846708743695,3.01136186770428,,0.0,,,,,
M1_Flat_Ridge,4.256348943170461,3.090131492098012,0.4980544747081712,-0.02518537944167276,-1.5850618259454587,0.9429066209831216,,,
M1_Flat_XGB,4.368428737773503,3.2651414540476664,0.5525291828793775,-0.052180949657369524,-2.120562374879635,0.9825397846770563,,,
M2_Flat_Ridge,4.245532220244354,3.084635286189415,0.5330739299610895,-0.022580060576754546,-1.0628368949220484,0.855571260465674,0.41013843383770876,1.2354053228046016,0.10833984640056327
M2_Flat_XGB,4.345170378474183,3.1749029305005085,0.5291828793774319,-0.04657893482685993,-1.6294384173582095,0.9477749615242185,0.3910652336366096,,
Naive_DirPersist,,,0.5097276264591439,,,,,,
