dropped_aoi,Ridge_RMSE,XGB_RMSE,Ridge_dRMSE,XGB_dRMSE
(none/full),4.413588772342179,4.440163806219409,0.0,0.0
Basra,4.423691257155628,4.461656742704657,0.010102484813448775,0.021492936485248748
Fujairah,4.374845836384776,4.421919235861669,-0.03874293595740319,-0.018244570357739853
Houston,4.40789212193432,4.349223050538463,-0.005696650407859494,-0.09094075568094606
Jamnagar,4.409519298923761,4.402326930795397,-0.004069473418418568,-0.03783687542401193
Jurong,4.448705999939437,4.449883051371566,0.035117227597257994,0.009719245152157718
Kharg,4.342742593712398,4.426904063759141,-0.0708461786297816,-0.013259742460268065
NingboZhoushan,4.397310530236846,4.386146637708616,-0.016278242105333796,-0.05401716851079286
RasTanura,4.405874354003616,4.401142163593069,-0.007714418338563789,-0.03902164262633967
Rotterdam,4.423572418065184,4.445750374599497,0.00998364572300492,0.005586568380087975
Ulsan,4.422879053868265,4.4104238099860265,0.00929028152608602,-0.029739996233382193
Yanbu,4.373655798790518,4.392615499045951,-0.03993297355166181,-0.04754830717345726
