lookback,model,test_weeks,M0_RMSE,M1_RMSE,M4_RMSE,skill_vs_M0,CW_p_vs_M1,DM_p_vs_M1
1,Ridge,260,4.13664431077246,4.188317765507916,4.368491495899075,-0.05604716473273985,0.6019241623116944,0.9822881660879986
1,XGB,260,4.13664431077246,4.47937331770215,4.577511226271155,-0.10657597858984635,0.030802902970438417,0.7344212541571744
4,Ridge,257,4.1517846708743695,4.256348943170461,4.533653131798245,-0.09197694273567758,0.3505324376353278,0.9378147936206136
4,XGB,257,4.1517846708743695,4.368428737773503,4.480506995767201,-0.07917614976491594,0.008182230621792463,0.8131632228936958
8,Ridge,253,4.1717189185248165,4.339442586697888,4.575067466411436,-0.09668641530365862,0.07317373765880175,0.9374615726290899
8,XGB,253,4.1717189185248165,4.645899801753014,4.583324098146422,-0.09866560706998806,0.0006537976253421229,0.3417480282980928
