week_ending_friday,from_site,to_site,n_voyages,mean_transit_days
2019-03-01,P003,P004,6.0,15.186547067901236
2019-03-01,P003,P006,0.0,
2019-03-01,P003,P008,0.0,
2019-03-01,P004,P001,15.0,26.971918981481483
2019-03-01,P004,P002,15.0,24.29204012345679
2019-03-01,P004,P003,9.0,17.452752057613168
2019-03-01,P004,P005,1.0,39.73600694444445
2019-03-01,P004,P006,12.0,15.840830439814816
2019-03-01,P004,P008,1.0,13.780439814814814
2019-03-01,P004,P009,3.0,17.492191358024694
2019-03-01,P004,P011,1.0,22.679699074074072
2019-03-01,P005,P001,3.0,24.504047067901237
2019-03-01,P005,P004,1.0,38.06243055555556
2019-03-01,P006,P001,1.0,25.823877314814816
2019-03-01,P006,P004,33.0,11.825956790123456
2019-03-01,P006,P008,1.0,21.170868055555555
2019-03-01,P006,P009,0.0,
2019-03-01,P008,P002,2.0,2.3697222222222223
2019-03-01,P008,P003,2.0,14.240526620370371
2019-03-01,P008,P004,0.0,
2019-03-01,P008,P006,0.0,
2019-03-01,P009,P004,7.0,14.106833664021163
2019-03-01,P009,P006,1.0,1.9694097222222224
2019-03-01,P011,P001,0.0,
2019-03-01,P011,P004,2.0,26.849114583333332
2019-03-08,P001,P004,10.0,32.59166087962963
2019-03-08,P001,P005,1.0,18.516747685185184
2019-03-08,P001,P006,0.0,
2019-03-08,P002,P003,6.0,9.025679012345678
2019-03-08,P002,P004,4.0,34.91487847222222
2019-03-08,P002,P005,0.0,
2019-03-08,P002,P006,2.0,24.94046296296296
2019-03-08,P002,P008,1.0,2.97525462962963
2019-03-08,P002,P011,0.0,
2019-03-08,P003,P002,11.0,6.735755471380472
2019-03-08,P003,P004,7.0,20.289517195767196
2019-03-08,P003,P006,0.0,
2019-03-08,P003,P008,0.0,
2019-03-08,P003,P009,1.0,34.41708333333333
2019-03-08,P004,P001,17.0,30.41979711328976
2019-03-08,P004,P002,12.0,28.50552372685185
2019-03-08,P004,P003,11.0,15.934107744107745
2019-03-08,P004,P005,0.0,
2019-03-08,P004,P006,24.0,12.772689525462964
2019-03-08,P004,P008,2.0,19.9003125
2019-03-08,P004,P009,11.0,14.380131523569021
2019-03-08,P004,P011,0.0,
2019-03-08,P005,P001,0.0,
2019-03-08,P005,P004,2.0,41.84336226851852
2019-03-08,P006,P001,0.0,
2019-03-08,P006,P004,17.0,13.6823720043573
2019-03-08,P006,P008,0.0,
2019-03-08,P006,P009,3.0,11.0909375
2019-03-08,P008,P002,2.0,14.313778935185185
2019-03-08,P008,P003,0.0,
2019-03-08,P008,P004,2.0,19.48994212962963
2019-03-08,P008,P006,0.0,
2019-03-08,P009,P004,2.0,20.71839699074074
2019-03-08,P009,P005,1.0,48.09178240740741
2019-03-08,P009,P006,0.0,
2019-03-08,P011,P001,0.0,
2019-03-08,P011,P004,0.0,
2019-03-08,P011,P009,1.0,32.91565972222222
2019-03-15,P001,P003,1.0,29.898564814814815
2019-03-15,P001,P004,15.0,36.213569444444445
2019-03-15,P001,P005,2.0,21.635185185185186
2019-03-15,P001,P006,1.0,50.44430555555556
2019-03-15,P002,P003,3.0,4.961311728395061
