week_ending_friday,region_type,region_id,region_short,emodnet_density_mean,emodnet_density_max,emodnet_density_sum,emodnet_n_valid_px
2020-09-04,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-09-11,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-09-18,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-09-25,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-10-02,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-10-09,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-10-16,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-10-23,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-10-30,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-11-06,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-11-13,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-11-20,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-11-27,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-12-04,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-12-11,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-12-18,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2020-12-25,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-01-01,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-01-08,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-01-15,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-01-22,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-01-29,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-02-05,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-02-12,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-02-19,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-02-26,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-03-05,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-03-12,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-03-19,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-03-26,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-04-02,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-04-09,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-04-16,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-04-23,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2021-04-30,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
