week_ending_friday,gfw_cape_total_hours,gfw_cape_total_vessels,gfw_cape_cargo_hours,gfw_cape_bunker_hours,gfw_cape_other_hours,gfw_cape_nontanker_hours,gfw_cape_other_share,gfw_cape_total_hours_mom_pct,gfw_cape_dwell_hours_per_vessel,gfw_hormuz_total_hours,gfw_hormuz_total_vessels,gfw_hormuz_cargo_hours,gfw_hormuz_bunker_hours,gfw_hormuz_other_hours,gfw_hormuz_nontanker_hours,gfw_hormuz_other_share,gfw_hormuz_total_hours_mom_pct,gfw_hormuz_dwell_hours_per_vessel,gfw_malacca_total_hours,gfw_malacca_total_vessels,gfw_malacca_cargo_hours,gfw_malacca_bunker_hours,gfw_malacca_other_hours,gfw_malacca_nontanker_hours,gfw_malacca_other_share,gfw_malacca_total_hours_mom_pct,gfw_malacca_dwell_hours_per_vessel,gfw_mandeb_total_hours,gfw_mandeb_total_vessels,gfw_mandeb_cargo_hours,gfw_mandeb_bunker_hours,gfw_mandeb_other_hours,gfw_mandeb_nontanker_hours,gfw_mandeb_other_share,gfw_mandeb_total_hours_mom_pct,gfw_mandeb_dwell_hours_per_vessel,gfw_panama_total_hours,gfw_panama_total_vessels,gfw_panama_cargo_hours,gfw_panama_bunker_hours,gfw_panama_other_hours,gfw_panama_nontanker_hours,gfw_panama_other_share,gfw_panama_total_hours_mom_pct,gfw_panama_dwell_hours_per_vessel,gfw_suez_total_hours,gfw_suez_total_vessels,gfw_suez_cargo_hours,gfw_suez_bunker_hours,gfw_suez_other_hours,gfw_suez_nontanker_hours,gfw_suez_other_share,gfw_suez_total_hours_mom_pct,gfw_suez_dwell_hours_per_vessel,gfw_all_total_hours_sum,pw_cape_n_tanker,pw_cape_n_total,pw_cape_capacity_tanker,pw_cape_capacity,pw_cape_tanker_share,pw_cape_tanker_cap_share,pw_cape_avg_tanker_size,pw_cape_n_tanker_wow_pct,pw_cape_capacity_tanker_4w_ma,pw_hormuz_n_tanker,pw_hormuz_n_total,pw_hormuz_capacity_tanker,pw_hormuz_capacity,pw_hormuz_tanker_share,pw_hormuz_tanker_cap_share,pw_hormuz_avg_tanker_size,pw_hormuz_n_tanker_wow_pct,pw_hormuz_capacity_tanker_4w_ma,pw_malacca_n_tanker,pw_malacca_n_total,pw_malacca_capacity_tanker,pw_malacca_capacity,pw_malacca_tanker_share,pw_malacca_tanker_cap_share,pw_malacca_avg_tanker_size,pw_malacca_n_tanker_wow_pct,pw_malacca_capacity_tanker_4w_ma,pw_mandeb_n_tanker,pw_mandeb_n_total,pw_mandeb_capacity_tanker,pw_mandeb_capacity,pw_mandeb_tanker_share,pw_mandeb_tanker_cap_share,pw_mandeb_avg_tanker_size,pw_mandeb_n_tanker_wow_pct,pw_mandeb_capacity_tanker_4w_ma,pw_panama_n_tanker,pw_panama_n_total,pw_panama_capacity_tanker,pw_panama_capacity,pw_panama_tanker_share,pw_panama_tanker_cap_share,pw_panama_avg_tanker_size,pw_panama_n_tanker_wow_pct,pw_panama_capacity_tanker_4w_ma,pw_suez_n_tanker,pw_suez_n_total,pw_suez_capacity_tanker,pw_suez_capacity,pw_suez_tanker_share,pw_suez_tanker_cap_share,pw_suez_avg_tanker_size,pw_suez_n_tanker_wow_pct,pw_suez_capacity_tanker_4w_ma,pw_all_n_tanker_sum,pw_all_n_total_sum,pw_all_tanker_share,pw_exp_hubs_export_vol,pw_imp_hubs_import_vol,pw_tanker_exp_imp_net,pw_tanker_exp_imp_asym,pw_tanker_exp_imp_log_ratio,pw_tanker_exp_imp_asym_4w_ma,pw_exp_hubs_export_vol_wow_pct,avail_gfw,avail_pw_chokepoints,avail_pw_ports,avail_shipping
2012-04-13,13769.0,1196.0,7705.0,40.0,4966.0,7745.0,0.36066526254629966,-3.192012936792521,11.512541806020067,8806.0,1688.0,2148.0,8.0,6078.0,2156.0,0.6902112196229844,-4.974641199956831,5.216824644549763,96818.0,5885.0,35847.0,2172.0,55042.0,38019.0,0.5685099878121836,-37.20456609158127,16.451656754460494,4367.0,1153.0,2189.0,3.0,2130.0,2192.0,0.48774902679184795,-15.28612997090204,3.787510841283608,25663.0,1304.0,9861.0,299.0,11888.0,10160.0,0.46323500759848807,-20.377897055629667,19.68021472392638,5314.0,1237.0,2538.0,2.0,2668.0,2540.0,0.5020700037636432,-10.764063811922753,4.295877122069523,154737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
2012-04-20,13769.0,1196.0,7705.0,40.0,4966.0,7745.0,0.36066526254629966,-3.192012936792521,11.512541806020067,8806.0,1688.0,2148.0,8.0,6078.0,2156.0,0.6902112196229844,-4.974641199956831,5.216824644549763,96818.0,5885.0,35847.0,2172.0,55042.0,38019.0,0.5685099878121836,-37.20456609158127,16.451656754460494,4367.0,1153.0,2189.0,3.0,2130.0,2192.0,0.48774902679184795,-15.28612997090204,3.787510841283608,25663.0,1304.0,9861.0,299.0,11888.0,10160.0,0.46323500759848807,-20.377897055629667,19.68021472392638,5314.0,1237.0,2538.0,2.0,2668.0,2540.0,0.5020700037636432,-10.764063811922753,4.295877122069523,154737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
2012-04-27,13769.0,1196.0,7705.0,40.0,4966.0,7745.0,0.36066526254629966,-3.192012936792521,11.512541806020067,8806.0,1688.0,2148.0,8.0,6078.0,2156.0,0.6902112196229844,-4.974641199956831,5.216824644549763,96818.0,5885.0,35847.0,2172.0,55042.0,38019.0,0.5685099878121836,-37.20456609158127,16.451656754460494,4367.0,1153.0,2189.0,3.0,2130.0,2192.0,0.48774902679184795,-15.28612997090204,3.787510841283608,25663.0,1304.0,9861.0,299.0,11888.0,10160.0,0.46323500759848807,-20.377897055629667,19.68021472392638,5314.0,1237.0,2538.0,2.0,2668.0,2540.0,0.5020700037636432,-10.764063811922753,4.295877122069523,154737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
2012-05-04,14999.0,1220.0,8724.0,33.0,5646.0,8757.0,0.37642509500633375,8.933110610792362,12.294262295081968,5582.0,1576.0,1569.0,16.0,3673.0,1585.0,0.6580078824793981,-36.611401317283665,3.5418781725888326,78518.0,5662.0,30672.0,1909.0,43063.0,32581.0,0.5484474897475738,-18.901443946373607,13.867537972447899,3311.0,1162.0,1725.0,0.0,1540.0,1725.0,0.46511627906976744,-24.18136020151134,2.8493975903614457,16500.0,1292.0,5764.0,177.0,8317.0,5941.0,0.5040606060606061,-35.70510072867552,12.770897832817337,3771.0,1149.0,1717.0,10.0,1977.0,1727.0,0.5242641209228321,-29.036507339104254,3.2819843342036554,122681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
2012-05-11,14999.0,1220.0,8724.0,33.0,5646.0,8757.0,0.37642509500633375,8.933110610792362,12.294262295081968,5582.0,1576.0,1569.0,16.0,3673.0,1585.0,0.6580078824793981,-36.611401317283665,3.5418781725888326,78518.0,5662.0,30672.0,1909.0,43063.0,32581.0,0.5484474897475738,-18.901443946373607,13.867537972447899,3311.0,1162.0,1725.0,0.0,1540.0,1725.0,0.46511627906976744,-24.18136020151134,2.8493975903614457,16500.0,1292.0,5764.0,177.0,8317.0,5941.0,0.5040606060606061,-35.70510072867552,12.770897832817337,3771.0,1149.0,1717.0,10.0,1977.0,1727.0,0.5242641209228321,-29.036507339104254,3.2819843342036554,122681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
2012-05-18,14999.0,1220.0,8724.0,33.0,5646.0,8757.0,0.37642509500633375,8.933110610792362,12.294262295081968,5582.0,1576.0,1569.0,16.0,3673.0,1585.0,0.6580078824793981,-36.611401317283665,3.5418781725888326,78518.0,5662.0,30672.0,1909.0,43063.0,32581.0,0.5484474897475738,-18.901443946373607,13.867537972447899,3311.0,1162.0,1725.0,0.0,1540.0,1725.0,0.46511627906976744,-24.18136020151134,2.8493975903614457,16500.0,1292.0,5764.0,177.0,8317.0,5941.0,0.5040606060606061,-35.70510072867552,12.770897832817337,3771.0,1149.0,1717.0,10.0,1977.0,1727.0,0.5242641209228321,-29.036507339104254,3.2819843342036554,122681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
2012-05-25,14999.0,1220.0,8724.0,33.0,5646.0,8757.0,0.37642509500633375,8.933110610792362,12.294262295081968,5582.0,1576.0,1569.0,16.0,3673.0,1585.0,0.6580078824793981,-36.611401317283665,3.5418781725888326,78518.0,5662.0,30672.0,1909.0,43063.0,32581.0,0.5484474897475738,-18.901443946373607,13.867537972447899,3311.0,1162.0,1725.0,0.0,1540.0,1725.0,0.46511627906976744,-24.18136020151134,2.8493975903614457,16500.0,1292.0,5764.0,177.0,8317.0,5941.0,0.5040606060606061,-35.70510072867552,12.770897832817337,3771.0,1149.0,1717.0,10.0,1977.0,1727.0,0.5242641209228321,-29.036507339104254,3.2819843342036554,122681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
2012-06-01,18485.0,1199.0,10500.0,16.0,6132.0,10516.0,0.3317284284555045,23.241549436629107,15.417014178482068,8410.0,1738.0,2328.0,48.0,5738.0,2376.0,0.6822829964328181,50.662844858473655,4.838895281933256,123076.0,6199.0,44913.0,3062.0,69952.0,47975.0,0.5683642627319705,56.748770982449884,19.854170027423777,5161.0,1283.0,2721.0,9.0,2319.0,2730.0,0.44933152489827555,55.8743581999396,4.022603273577553,36571.0,1318.0,13387.0,257.0,18991.0,13644.0,0.5192912416942386,121.64242424242424,27.74734446130501,5136.0,1238.0,2536.0,49.0,2448.0,2585.0,0.4766355140186916,36.19729514717582,4.148626817447496,196839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
2012-06-08,18485.0,1199.0,10500.0,16.0,6132.0,10516.0,0.3317284284555045,23.241549436629107,15.417014178482068,8410.0,1738.0,2328.0,48.0,5738.0,2376.0,0.6822829964328181,50.662844858473655,4.838895281933256,123076.0,6199.0,44913.0,3062.0,69952.0,47975.0,0.5683642627319705,56.748770982449884,19.854170027423777,5161.0,1283.0,2721.0,9.0,2319.0,2730.0,0.44933152489827555,55.8743581999396,4.022603273577553,36571.0,1318.0,13387.0,257.0,18991.0,13644.0,0.5192912416942386,121.64242424242424,27.74734446130501,5136.0,1238.0,2536.0,49.0,2448.0,2585.0,0.4766355140186916,36.19729514717582,4.148626817447496,196839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
2012-06-15,18485.0,1199.0,10500.0,16.0,6132.0,10516.0,0.3317284284555045,23.241549436629107,15.417014178482068,8410.0,1738.0,2328.0,48.0,5738.0,2376.0,0.6822829964328181,50.662844858473655,4.838895281933256,123076.0,6199.0,44913.0,3062.0,69952.0,47975.0,0.5683642627319705,56.748770982449884,19.854170027423777,5161.0,1283.0,2721.0,9.0,2319.0,2730.0,0.44933152489827555,55.8743581999396,4.022603273577553,36571.0,1318.0,13387.0,257.0,18991.0,13644.0,0.5192912416942386,121.64242424242424,27.74734446130501,5136.0,1238.0,2536.0,49.0,2448.0,2585.0,0.4766355140186916,36.19729514717582,4.148626817447496,196839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
