comparison,small,large,valid_test,p_value,CW_stat,CW_p,DM_stat,DM_p
RS incr. (M4_Deep_gated vs M3_Deep_gated),M3_Deep_gated,M4_Deep_gated,CW(nested),0.7818663041670473,-0.7785117342946948,0.7818663041670473,1.6449432796611996,0.9493955964484768
shipping incr. (M3_Deep_gated vs M1_Deep),M1_Deep,M3_Deep_gated,CW(nested),0.0005708072250246,3.253079767844142,0.0005708072250246,-1.7293636105440724,0.0424747367274283
rs incr. (m2_deep_gated vs fin),M1_Deep,M2_Deep_gated,CW(nested),0.018701620412172,2.0813351405876057,0.018701620412172,0.0546523829390735,0.5217709838537485
full rep vs M1_Flat,M1_Flat_Ridge,M4_Deep_gated,DM(non-nested),0.2389903562791369,2.5457801425190487,0.0054516918283372,-0.7105972442159405,0.2389903562791369
fin+rs rep vs M1_Flat,M1_Flat_Ridge,M2_Deep_gated,DM(non-nested),0.4851151915899936,1.50766654708978,0.0658199457324569,-0.0373558557309329,0.4851151915899936
rs-rep vs M1_Flat,M1_Flat_Ridge,M_rs_deep,DM(non-nested),0.4572924772135197,1.909213081855132,0.0281173046971047,-0.107363181731516,0.4572924772135197
shipping-rep vs M1_Flat,M1_Flat_Ridge,M_ship_GNN,DM(non-nested),0.1062510611833495,3.0184087698386737,0.0012705294858657,-1.2498324856566068,0.1062510611833495
concat rep vs M1_Flat,M1_Flat_Ridge,M4_Deep_Concat,DM(non-nested),0.6497723845310719,0.8375803235343217,0.2011332237601359,0.3851376501091087,0.6497723845310719
gating vs concat,M4_Deep_Concat,M4_Deep_gated,DM(non-nested),0.216330603847047,1.5141575885100005,0.0649929377537033,-0.7858857599056713,0.216330603847047
