,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8
BSI_port,0.0970024046626324,0.1437459761170249,0.12348615635489739,0.06808337807912887,0.05204367463959029,0.02235817519072348,0.01144246118415695,0.06002372203270346,0.002436434982271512,-0.06336668178736898,-0.04300970190764951,-0.029783377525455353,-0.03057434411734151,-0.0026076205465967494,-0.0230829882763575,-0.02461636073443586,-0.053510893103010194
BSI_refinery,-0.0336802955033918,-0.024579647370960512,-0.024367104132381027,-0.03105764317824084,-0.020451299588380448,-0.048971856859238355,-0.048328721691240716,-0.01877418742277336,-0.058594586137979625,-0.028045774481983546,-0.03722606060149771,-0.001367051341984212,0.05169083435489186,0.05743794189829358,0.04461745485948759,0.011327640499493375,0.05578992026709073
BSI_terminal,-0.01872621192675144,-0.06548241383468847,-0.03880213597066328,-0.05775679781414361,-0.07858147246777221,-0.01858731182646495,0.0007090864801868347,-0.023760077414687362,0.07864082085247176,0.09781763542835063,0.08236055928250789,0.07339985507323164,0.08106966739596025,0.03886277131039581,0.09255789394946701,0.10689030949865341,0.05047030922355635
NDBI_port,0.043846782215756386,0.06864830248199169,0.04219796783966908,0.04333137482329586,0.0373510536656385,0.04969529511206893,0.029140762518774236,0.06901881535018824,0.029869711857989575,-0.03590878609117705,-0.002325776880438734,0.007482551686946084,-0.017047082892381476,0.01618689155262364,0.01606455236264898,0.021810217506535622,0.034965917374457325
NDBI_refinery,0.000750579214702308,-0.009132963117108393,0.017873248321624596,0.0021910054030898586,0.05004500729059688,0.0449001405245346,0.032493458644859086,0.05692697358347934,0.020128512389290414,-0.018319525283739726,-0.02329608995352551,-0.00678277669718071,-0.006655724663965139,0.002485627881470821,-0.03012385536547963,-0.09246602214632856,-0.033454198962615034
NDBI_terminal,0.009394859951208239,0.021534145080131177,0.02358413895788853,-0.00018958881087613675,-0.04925414645378117,-0.060384405359476735,-0.058414472408903954,-0.07064600401672762,-0.017493467672123786,-0.004978361626284644,-0.0081225886051132,-0.02791054663717168,0.02479760793047291,0.044350648570827315,0.04582972717888975,0.0470364298634317,0.05061358995144366
NDVI_port,-0.09417126830841031,-0.09343288717648836,-0.12550548901718458,-0.09230667513500702,-0.13306923714199537,-0.13501577713309543,-0.10248571562136295,-0.1101726472030175,-0.033519005254463205,0.00871827664347095,-0.004303074087245935,-0.0037955290191708964,-0.004980881667728461,-0.007843449522180685,-0.010131331203955278,0.03232668647428622,0.05257675587639751
NDVI_refinery,-0.062231890759658064,-0.0308645816345343,-0.07661945746060497,-0.06299165384711075,-0.04290201617075257,-0.09043791905299355,-0.08236677176502648,-0.04478734135974446,-0.06628902362964978,0.0019945186782884205,0.007164904454510288,0.0368585776455885,0.04302313834731563,0.00014359262055689036,-0.008047499154944307,-0.04011514043060678,-0.08886660522816082
NDVI_terminal,0.03096557598585017,0.0014196398350754028,0.01763526503162198,0.012091511126361594,-0.03822202133803229,-0.012069235939496992,-0.0012667015167799876,-0.05285616250181055,0.05298191461766486,0.09419296104397763,0.07281596094030796,0.10524973335951641,0.1042405018638002,0.06204094940663897,0.1279361187818168,0.11555294342370409,0.035309095913723755
NDWI_port,0.09069461647468392,0.08525421443156607,0.11677269002864743,0.0932784019063363,0.1327314259966688,0.13637659369012853,0.0923629196636665,0.09497079499946308,-0.0031184115057920577,-0.05175625889784721,-0.037106495904250705,-0.03279177341843469,-0.028289834543209796,-0.01063267803789132,-0.01685149083087795,-0.052259082402719786,-0.036615331296498105
NDWI_refinery,0.07427974488507816,0.05188174254163491,0.10059826303899613,0.08987498627585883,0.09446428671203487,0.14349175339898648,0.13830033466036118,0.0895192932115013,0.09958752293164155,0.008205209539107515,0.0006317620877194079,-0.038593636202092614,-0.08200414428824228,-0.04102949455593228,-0.04706836834628669,-0.006525847597966844,0.05024406257968271
NDWI_terminal,0.01433918673745148,0.061704711673256175,0.018658758623692685,0.019718408947522838,0.04428129719371052,-0.011425919318292335,-0.023567660450392602,-0.00583030695877525,-0.0929611854158055,-0.12564424373245975,-0.10930978327480587,-0.13972450302356929,-0.11218937611609676,-0.06306262166613907,-0.12979967479476226,-0.11960057261456063,-0.030851683375810103
NTL_port,0.08997517925121505,0.09846462059949929,0.0644064766068652,0.06567699419757694,-0.022181663417822663,-0.019118439699614357,-0.02312631633018008,-0.10034182853865785,-0.07201067150793636,-0.06699814354696863,-0.09713744917192865,-0.09561660597520552,-0.06881117368471494,-0.04788750394012213,-0.015027035040646388,-0.0065718962658297235,-0.0035414601692147323
NTL_refinery,-0.05915899133723565,-0.09727686104391361,-0.07902708682692555,-0.08997106663984505,-0.09437206859160352,-0.046912335253554475,-0.059019155996029894,-0.05585521939100223,-0.04200343305249004,-0.045870572270366824,-0.04398096320027337,-0.09467928150155087,-0.09319396316070921,-0.08348129704161836,-0.10125233714013256,-0.07560972893817909,-0.05327245209935262
NTL_terminal,-0.03888365668552937,-0.008319865841034835,-0.040277056889611126,-0.029878776138835578,-0.040778922974996745,-0.0938751722748392,-0.1025624687085688,-0.13635038579052883,-0.14567320066829628,-0.09976551893602699,-0.07971571053433024,-0.08046804847519896,-0.06320247884579468,-0.08082576976285476,-0.07868657008894683,-0.07989686239980257,-0.06980893649102628
