site_id,site_name,site_type,month,year,filename,file_exists,excluded,pixel_valid,valid_mask,n_scenes,mean_cloud,patch_px,crs,exclude_reason
P001,Rotterdam,port,2022_05,2022,S2_P001_Rotterdam_2022_05.tif,1,0,1,1,1,18.494089,640,EPSG:32631,
P001,Rotterdam,port,2022_06,2022,S2_P001_Rotterdam_2022_06.tif,1,0,1,1,2,18.376784,640,EPSG:32631,
P001,Rotterdam,port,2022_07,2022,S2_P001_Rotterdam_2022_07.tif,1,0,1,1,4,5.6703225,640,EPSG:32631,
P001,Rotterdam,port,2022_08,2022,S2_P001_Rotterdam_2022_08.tif,1,0,1,1,5,26.914585,640,EPSG:32631,
P001,Rotterdam,port,2022_09,2022,S2_P001_Rotterdam_2022_09.tif,1,0,1,1,3,44.890045333333326,640,EPSG:32631,
P001,Rotterdam,port,2022_11,2022,S2_P001_Rotterdam_2022_11.tif,1,0,1,1,2,37.9250305,640,EPSG:32631,
P001,Rotterdam,port,2022_12,2022,S2_P001_Rotterdam_2022_12.tif,1,0,1,1,4,33.7401675,640,EPSG:32631,
P001,Rotterdam,port,2023_01,2023,S2_P001_Rotterdam_2023_01.tif,1,0,1,1,1,29.149425,640,EPSG:32631,
P001,Rotterdam,port,2023_02,2023,S2_P001_Rotterdam_2023_02.tif,1,0,1,1,1,0.147133,640,EPSG:32631,
P001,Rotterdam,port,2023_03,2023,S2_P001_Rotterdam_2023_03.tif,1,0,1,1,2,27.604325499999998,640,EPSG:32631,
P001,Rotterdam,port,2023_04,2023,S2_P001_Rotterdam_2023_04.tif,1,0,1,1,3,28.924801666666667,640,EPSG:32631,
P001,Rotterdam,port,2023_05,2023,S2_P001_Rotterdam_2023_05.tif,1,0,1,1,2,35.735457000000004,640,EPSG:32631,
P001,Rotterdam,port,2023_06,2023,S2_P001_Rotterdam_2023_06.tif,1,0,1,1,5,14.3936228,640,EPSG:32631,
P001,Rotterdam,port,2023_07,2023,S2_P001_Rotterdam_2023_07.tif,1,0,1,1,1,50.954813,640,EPSG:32631,
P001,Rotterdam,port,2023_08,2023,S2_P001_Rotterdam_2023_08.tif,1,0,1,1,3,28.124028999999997,640,EPSG:32631,
P001,Rotterdam,port,2023_09,2023,S2_P001_Rotterdam_2023_09.tif,1,0,1,1,1,0.021612,640,EPSG:32631,
P001,Rotterdam,port,2023_10,2023,S2_P001_Rotterdam_2023_10.tif,1,0,1,1,2,43.947636,640,EPSG:32631,
P001,Rotterdam,port,2023_11,2023,S2_P001_Rotterdam_2023_11.tif,1,0,1,1,2,57.335832999999994,640,EPSG:32631,
P001,Rotterdam,port,2023_12,2023,S2_P001_Rotterdam_2023_12.tif,1,0,1,1,2,51.179990000000004,640,EPSG:32631,
P001,Rotterdam,port,2024_01,2024,S2_P001_Rotterdam_2024_01.tif,1,0,1,1,1,2.392932,640,EPSG:32631,
P001,Rotterdam,port,2024_03,2024,S2_P001_Rotterdam_2024_03.tif,1,0,1,1,2,12.773396499999999,640,EPSG:32631,
P001,Rotterdam,port,2024_04,2024,S2_P001_Rotterdam_2024_04.tif,1,0,1,1,2,33.3085465,640,EPSG:32631,
P001,Rotterdam,port,2024_05,2024,S2_P001_Rotterdam_2024_05.tif,1,0,1,1,1,11.940564,640,EPSG:32631,
P001,Rotterdam,port,2024_06,2024,S2_P001_Rotterdam_2024_06.tif,1,0,1,1,3,21.38574,640,EPSG:32631,
P001,Rotterdam,port,2024_07,2024,S2_P001_Rotterdam_2024_07.tif,1,0,1,1,2,23.6812615,640,EPSG:32631,
P001,Rotterdam,port,2024_08,2024,S2_P001_Rotterdam_2024_08.tif,1,0,1,1,5,22.113565,640,EPSG:32631,
